ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	43,31,36	8,2,2	27,29,34	1,2,4	182	149
4	0,2,0	0,0,1	0,0,0	0,0,1	298	149
5	7,14,7	51,75,70	2,6,17	66,53,45	180	149
8	4,7,12	2,2,1	1,9,9	3,4,8	298	149
9	10,10,10	15,9,4	10,1,18	2,7,1	185	149
10	88,76,58	9,10,8	51,71,83	10,9,8	157	149
12	14,8,12	172,129,162	14,7,22	132,135,134	205	149
13	14,14,15	172,129,162	16,10,27	132,135,134	298	149
14	3,6,5	2,0,2	3,3,5	0,0,0	298	149
15	4,1,1	2,0,0	0,0,0	7,5,2	298	149
16	552,650,530	18,13,14	616,577,591	12,16,20	298	149
17	6,9,8	0,0,0	12,10,15	1,2,0	272	149
18	43,60,71	19,17,21	29,46,32	12,15,9	282	149
19	8316,8225,8432	10,13,13	8689,7890,8882	14,14,18	272	149
20	67,94,154	0,1,10	93,86,70	3,6,3	169	149
21	19,47,55	0,0,2	14,26,16	0,0,0	244	149
23	223,178,239	0,0,0	94,142,146	0,2,0	200	149
24	1,8,1	5,2,7	2,3,3	3,3,7	298	149
25	0,0,1	754,693,736	4,6,3	834,742,887	199	149
29	3219,2927,3050	31,27,38	2629,2939,3332	41,41,45	298	149
32	0,2,1	234,202,141	1,4,1	173,171,187	298	149
33	5,2,3	0,2,1	0,6,11	2,0,0	298	149
34	4,0,2	1,0,4	0,0,0	1,0,0	267	149
35	184,168,186	221,209,185	217,254,281	174,194,197	166	149
37	96,73,134	0,0,2	126,72,119	0,0,0	298	149
42	115,95,108	30,38,41	91,91,101	17,16,22	298	149
56	3,4,0	34,47,34	0,0,0	35,59,25	298	149
57	4,2,1	19,11,11	0,0,0	8,13,20	225	149
60	8,2,7	0,0,0	3,9,9	1,0,1	181	149
61	1,1,2	0,0,1	3,1,2	0,0,0	298	149
63	14,7,10	165,182,146	7,11,9	152,164,194	224	149
66	219,180,240	0,0,0	159,144,228	0,1,1	298	149
67	836,826,726	4,4,0	803,830,874	1,3,0	204	149
68	361,393,328	0,0,0	378,374,417	0,0,5	204	149
69	177,139,178	4,2,4	174,113,152	4,4,0	298	149
70	16,4,9	270,219,206	16,12,18	270,211,236	180	149
71	10,5,8	270,219,206	11,9,18	270,211,236	191	149
72	2,4,2	8,3,3	2,0,5	7,3,5	160	149
73	175,95,173	0,0,0	111,118,139	3,0,0	200	149
75	14,32,23	0,1,0	17,33,33	0,6,0	298	149
76	6,1,0	120,118,124	2,1,4	106,138,126	164	149
77	2070,1886,2471	0,0,1	1750,1569,1939	0,0,0	180	149
78	82,91,92	4,0,4	107,79,77	0,7,10	180	149
79	5942,5007,6437	4,0,4	4830,4247,5205	0,7,10	298	149
80	5960,5007,6473	44,33,39	4826,4286,5239	51,51,39	298	149
81	378,381,289	0,0,0	390,331,387	0,2,0	298	149
82	2,3,1	8,8,5	0,3,2	6,2,9	290	149
83	67,44,48	8,15,10	31,28,29	12,8,14	208	149
85	135,142,154	2,0,0	126,134,131	0,2,0	171	149
86	1,5,0	28,46,29	0,2,1	19,36,30	215	149
91	146,164,185	55,99,74	159,162,170	86,74,107	277	149
92	6,3,9	0,0,0	7,8,8	0,0,4	218	149
93	737,783,588	0,11,4	679,636,718	1,5,1	162	149
95	61,42,71	60,50,69	47,72,100	39,51,42	298	149
96	1,6,7	17,24,23	2,2,1	11,17,19	172	149
98	22,7,15	1,0,0	5,5,4	0,0,0	298	149
99	4,2,7	1,0,0	2,1,2	0,0,0	222	149
100	32,33,20	853,800,800	16,25,31	871,814,870	253	149
106	8,25,13	22,29,25	16,3,11	19,18,12	240	149
110	1038,1051,1006	575,562,518	1004,961,1136	509,478,571	176	149
111	4,6,12	424,349,375	1,2,11	315,350,384	203	149
112	2,3,9	424,349,375	1,2,7	315,350,384	298	149
113	0,1,3	2,4,6	1,2,1	1,2,5	298	149
115	73,63,75	1,0,0	58,60,54	0,0,1	298	149
119	112,91,108	0,0,0	109,99,84	0,2,0	298	149
120	8,2,2	209,174,147	1,2,2	116,96,119	235	149
121	0,3,0	37,31,34	0,4,0	33,40,34	181	149
123	1,0,2	25,24,18	1,7,1	27,21,22	298	149
124	1,0,2	25,24,18	1,7,1	27,21,22	298	149
126	71,104,94	0,3,3	98,94,88	0,1,1	183	149
127	3,1,0	38,43,34	0,0,0	40,42,38	153	149
128	0,3,0	4,0,1	0,0,0	1,1,0	179	149
132	9,9,18	0,1,0	19,11,7	0,0,0	185	149
133	34,28,55	4,0,0	43,43,42	0,0,0	185	149
139	0,0,1	0,0,1	2,0,1	0,0,0	298	149
141	28,29,25	0,0,3	31,38,36	3,0,3	153	149
142	4,6,10	0,0,0	3,2,1	0,2,0	298	149
143	21,8,9	4,7,9	5,6,6	10,5,7	156	149
144	36,28,28	6,3,1	35,37,34	2,1,0	153	149
145	16,10,16	0,0,0	14,11,10	1,0,0	298	149
147	936,843,806	3,1,0	753,781,834	0,0,2	270	149
148	9,15,12	3,2,0	3,4,10	0,0,3	196	149
149	14,27,23	99,93,65	5,11,16	109,90,88	196	149
151	29,13,12	0,4,2	18,15,19	1,0,3	208	149
152	1,0,0	1,0,2	2,0,1	2,2,2	165	149
153	76,67,66	0,0,2	63,55,81	0,0,0	159	149
156	9,25,16	0,0,0	2,13,7	0,0,1	298	149
157	308,342,326	5,1,1	291,299,281	5,4,3	227	149
158	1,1,3	48,48,46	1,0,1	35,32,47	180	149
160	22,8,15	74,62,77	11,12,5	49,50,44	298	149
162	8,13,7	0,0,1	3,9,8	1,2,1	153	149
165	33,19,39	321,304,269	16,16,32	265,259,282	202	149
167	21,5,8	5,7,15	10,18,25	16,5,16	153	149
168	25,9,16	7,2,2	19,21,28	3,8,8	298	149
169	38,23,20	23,31,29	20,33,42	17,18,12	298	149
170	29,20,14	23,31,29	16,27,25	17,18,12	298	149
171	28,24,14	2,1,0	19,28,20	2,4,3	298	149
174	1,0,0	0,0,0	0,0,1	0,0,1	256	149
176	175,116,131	0,3,0	126,101,135	0,0,0	264	149
177	54,44,36	3,0,0	46,69,58	0,0,1	226	149
178	91,77,135	18,10,13	73,86,124	5,4,10	226	149
183	1129,946,828	9,7,3	916,807,999	10,8,14	298	149
184	2,0,3	18,7,8	5,5,2	7,6,2	184	149
185	7493,6679,6901	3,11,4	5524,5321,6268	11,3,18	298	149
186	2,4,0	48,33,35	1,2,2	38,54,37	158	149
187	4,2,5	141,114,124	4,0,0	98,87,108	287	149
188	203,154,207	0,0,1	156,123,145	0,0,0	298	149
189	1,0,2	17,12,12	0,1,0	12,14,14	183	149
190	596,486,480	0,0,0	454,473,479	0,0,2	298	149
191	36,43,38	4,2,0	25,31,47	0,2,1	298	149
195	4,6,12	40,32,46	0,0,1	30,54,55	198	149
196	31,33,46	0,2,4	30,20,45	0,0,0	152	149
199	2875,2534,2089	3,0,4	3073,2914,3508	0,4,1	298	149
200	3,0,0	117,112,71	1,0,1	124,99,110	159	149
202	66,70,81	12,8,14	68,67,68	9,6,16	202	149
203	13,8,13	1,0,0	5,10,11	0,0,0	298	149
204	2,0,0	11,7,11	0,2,0	5,9,8	246	149
205	81,92,78	0,0,0	78,65,100	0,5,1	181	149
206	534,411,440	5,5,5	399,425,528	5,8,3	198	149
208	119,109,126	8,11,10	125,117,138	8,5,4	162	149
210	516,492,380	0,0,0	395,485,519	5,0,0	298	149
211	1,2,5	0,0,0	3,1,0	5,0,0	189	149
212	372,317,295	0,2,5	302,294,352	1,7,7	190	149
214	27,13,11	0,2,5	14,10,16	1,7,7	164	149
216	5348,4405,4064	0,2,0	4377,3741,4804	0,0,0	298	149
217	877,713,704	4,0,5	755,701,827	11,8,7	298	149
218	1,3,5	159,133,89	9,7,4	168,115,166	151	149
219	188,152,173	159,133,89	163,128,183	168,115,166	167	149
220	188,150,170	1,1,2	156,123,180	2,2,1	165	149
222	464,381,427	1,0,0	398,344,413	2,3,1	298	149
223	2329,1917,1884	1,2,0	1549,1407,1774	0,0,2	298	149
224	246,258,231	1,0,1	174,166,190	0,0,2	298	149
225	236,251,227	3,0,1	172,159,188	0,1,0	298	149
226	3,4,2	3,0,1	3,3,5	0,1,0	154	149
227	172,140,142	1630,1267,1184	145,115,203	1031,908,1115	298	149
228	169,149,145	2,0,0	143,117,191	0,0,0	298	149
229	1677,1321,1235	2,0,0	1059,931,1141	0,0,0	298	149
231	158,161,210	0,0,0	120,142,122	0,1,0	298	149
232	3,9,7	70,49,58	6,3,4	41,45,54	154	149
233	2391,2453,2077	109,106,111	2404,2352,2740	94,106,101	224	149
234	809,674,708	0,0,2	665,568,648	0,0,0	298	149
236	368,297,282	7,9,4	225,203,268	2,11,4	153	149
237	9,5,6	99,153,144	3,2,4	105,74,96	211	149
238	19,32,19	50,37,37	25,23,24	49,33,40	298	149
239	47,46,67	390,370,375	49,49,48	387,320,354	236	149
241	0,0,1	0,0,0	1,1,1	1,0,0	298	149
243	51,33,28	2,0,0	27,27,34	0,0,0	224	149
247	42,52,59	9,8,8	45,37,62	11,16,14	215	149
248	96,86,80	3,4,2	100,115,115	6,0,2	164	149
250	18,25,16	41,42,34	12,10,14	42,37,31	298	149
252	1,0,0	26,28,16	0,0,0	16,31,29	161	149
254	19,10,20	0,0,2	10,12,13	0,0,0	159	149
256	113,86,112	0,0,2	103,88,94	0,0,0	156	149
259	1,1,1	245,263,230	2,1,1	262,317,251	298	149
263	128,111,105	0,0,0	90,80,107	0,0,1	298	149
264	863,967,943	5,6,6	739,857,854	6,5,6	270	149
265	28,32,38	0,0,2	40,36,33	0,0,0	298	149
266	3,3,2	5,3,9	3,1,6	3,2,5	153	149
267	1,5,7	5,3,9	3,8,12	3,2,5	160	149
268	21,22,26	5,3,9	13,14,19	3,2,5	193	149
269	0,2,5	2,0,0	3,7,6	3,0,0	156	149
270	20,19,24	2,0,0	13,13,13	3,0,0	189	149
271	20,18,22	0,1,3	10,9,7	0,3,0	182	149
274	132,112,119	0,0,1	129,128,132	0,2,0	298	149
275	51,52,77	670,560,556	60,47,39	550,518,605	277	149
276	671,560,556	0,0,0	550,519,605	2,0,0	298	149
277	12,8,10	351,317,308	22,9,6	316,267,351	153	149
279	16,44,30	127,102,110	16,20,27	83,86,70	182	149
280	10,9,10	58,45,44	19,15,15	37,27,57	298	149
282	74,64,70	0,1,0	67,64,62	0,0,2	174	149
283	3,7,6	62,79,74	11,2,5	47,42,56	298	149
284	14,15,21	1,2,0	16,20,11	2,0,0	157	149
285	0,0,0	8,6,9	1,0,0	6,2,6	171	149
286	2,2,1	18,18,25	1,0,0	16,25,13	228	149
287	133,119,168	18,13,26	134,132,168	11,19,22	223	149
288	366,313,496	166,132,156	337,328,483	114,90,98	257	149
289	262,215,360	166,132,156	225,221,345	114,90,98	183	149
290	186,146,179	1,0,2	121,98,108	0,0,0	292	149
292	331,244,266	8,18,16	225,202,273	12,7,13	166	149
293	33,40,25	0,0,0	21,18,35	1,0,0	159	149
294	14651,13369,15822	338,360,367	10448,10379,13651	227,269,274	159	149
295	73,87,51	338,360,367	41,55,75	227,269,274	298	149
296	40,47,27	14618,13329,15797	23,37,41	10429,10361,13617	298	149
297	33,43,27	3,1,4	19,18,35	0,1,0	159	149
298	13292,10692,14013	3,1,4	9359,8769,10887	0,1,0	298	149
299	13259,10652,13989	0,3,2	9341,8751,10853	0,0,1	298	149
300	1,4,3	5,7,9	5,5,5	0,8,2	153	149
301	33,40,25	5,1,0	19,18,61	0,0,0	159	149
302	68,86,47	5,1,0	39,58,75	0,0,0	298	149
303	30459,24292,24261	5,1,0	25674,22183,27442	0,0,0	298	149
304	35,46,23	0,0,0	21,40,41	0,0,27	298	149
305	30426,24252,24237	0,0,0	25656,22165,27408	0,0,27	298	149
306	30427,24271,24268	0,0,2	25691,22179,27427	0,3,3	298	149
307	117,78,134	30381,24195,24196	110,94,131	25631,22117,27349	173	149
308	33,40,25	0,12,0	23,18,34	0,0,0	159	149
309	64039,57675,46621	0,12,0	59241,51707,66199	0,0,0	298	149
310	64006,57635,46597	0,0,0	59223,51689,66165	4,0,0	298	149
311	63,64,56	0,0,0	35,48,59	0,0,2	298	149
312	52,59,46	0,0,0	33,50,62	0,0,2	298	149
