ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	20,12,21	2,0,0	23,26,13	0,0,1	298	149
4	2,2,2	22,16,25	3,1,2	9,15,7	298	149
5	6,17,18	87,86,100	11,22,17	42,28,55	298	149
7	0,0,1	2,1,0	0,0,0	2,0,1	298	149
8	22,33,19	431,349,439	24,16,31	281,336,305	298	149
9	103,123,124	203,262,182	74,88,98	218,245,227	298	149
10	24,21,17	176,196,162	15,18,20	154,164,209	298	149
11	185,193,168	0,0,0	158,156,213	2,0,2	298	149
15	0,0,0	2,0,0	1,0,0	0,0,0	298	149
16	2,5,7	15,9,4	6,0,15	2,7,1	298	149
19	16,14,18	0,1,2	15,10,24	2,3,2	298	149
20	4,1,1	2,0,0	0,0,0	7,5,2	298	149
23	121,147,166	19,17,21	105,124,119	12,15,9	298	149
24	429,510,401	9411,9388,9280	332,359,367	9748,8933,10032	298	149
25	140,208,135	8102,7911,8084	173,161,190	8724,7974,8966	242	149
31	24,12,10	28,51,32	18,10,26	24,36,23	273	149
33	0,0,0	0,1,1	0,1,0	0,3,1	298	149
34	0,0,0	0,4,2	0,0,1	2,2,4	298	149
35	70,77,53	17,27,7	52,54,48	15,9,12	298	149
36	4,5,6	1,7,1	4,9,15	2,0,0	298	149
38	68,81,54	32,15,17	48,49,53	33,33,19	298	149
39	64,73,71	4,8,7	38,47,41	4,2,3	298	149
45	83,70,72	39,51,38	91,85,74	46,47,54	298	149
47	0,0,0	2,0,5	2,2,0	4,2,0	273	149
48	12,2,8	100,95,85	4,4,6	72,111,103	298	149
50	12,11,4	1,0,4	6,2,5	1,0,0	298	149
52	1,1,2	34,34,60	1,5,1	43,37,40	298	149
54	4,4,6	294,280,278	10,3,3	308,297,345	298	149
55	0,1,1	118,83,108	6,1,5	103,93,106	298	149
56	16,11,28	99,83,65	9,13,15	67,69,71	236	149
58	2,0,1	51,63,19	7,3,0	35,44,38	298	149
59	6,16,12	8,4,9	17,12,10	6,2,7	298	149
60	10,11,7	36,13,36	12,15,9	30,24,29	298	149
61	18,5,13	120,116,120	3,10,9	109,108,140	293	149
65	33,37,21	117,132,96	15,31,21	112,71,143	231	149
66	0,4,0	0,6,2	0,5,4	1,0,9	253	149
67	0,4,0	0,0,0	0,5,1	0,1,0	238	149
68	15,9,3	28,14,20	9,6,4	14,24,19	256	149
72	14235,14063,11163	44,22,38	10579,10337,11531	14,20,36	236	149
76	2,14,1	123,108,109	11,7,1	102,103,92	298	149
77	8,16,4	495,457,463	6,9,11	484,386,463	298	149
78	22,15,15	80,72,87	6,7,7	92,70,62	298	149
79	4,2,6	229,197,207	6,10,10	186,197,266	298	149
80	7,9,10	175,136,175	16,0,9	144,124,148	298	149
81	75,71,75	691,704,580	82,110,85	630,572,758	298	149
82	1,4,2	11,7,3	2,2,1	8,7,10	298	149
83	8,18,9	527,445,412	12,6,7	480,503,630	298	149
84	20,20,13	176,133,177	20,7,19	165,139,187	294	149
85	19,21,14	1,0,0	23,9,19	0,0,0	298	149
86	21,26,20	270,219,206	33,25,35	270,211,236	298	149
87	14,30,23	8,3,3	27,18,28	7,3,5	298	149
88	14,26,21	2,0,0	26,18,23	1,0,0	298	149
91	15,14,12	0,0,0	11,8,13	0,0,1	298	149
92	0,0,0	20,14,18	0,1,2	24,15,21	231	149
94	0,3,0	3,2,11	0,0,3	6,1,4	298	149
95	901,779,789	0,0,1	509,685,844	0,0,0	298	149
96	915,778,825	2032,1828,2418	499,721,877	1694,1541,1901	298	149
97	1022,851,917	2478,2028,2676	578,796,976	1863,1690,2061	298	149
