ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	1021,877,812	2,0,0	1108,967,1152	0,0,1	2403	149
4	2,3,4	22,16,25	3,1,3	9,15,7	2022	149
5	17,20,27	87,86,100	17,25,23	42,28,55	3144	149
7	0,0,1	2,1,0	0,2,0	2,0,1	714	149
8	54,95,74	431,349,439	53,37,69	281,336,305	2371	149
9	249,259,261	203,262,182	178,225,227	218,245,227	817	149
10	42,36,31	176,196,162	27,19,27	154,164,209	1730	149
11	468,465,444	0,0,0	431,402,542	2,0,2	1192	149
15	0,0,0	2,0,0	2,0,0	0,0,0	1158	149
16	2,5,7	15,9,4	6,0,15	2,7,1	322	149
19	19,17,23	0,1,2	18,10,24	2,3,2	512	149
20	4,3,1	2,0,0	0,0,0	7,5,2	652	149
23	306,344,378	19,17,21	223,267,301	12,15,9	1437	149
24	1420,1580,1506	9411,9388,9280	1065,1114,1260	9748,8933,10032	3166	149
25	140,208,135	8102,7911,8084	173,161,190	8724,7974,8966	242	149
31	24,12,10	28,51,32	18,13,27	24,36,23	273	149
33	0,0,0	0,1,1	0,1,0	0,3,1	1223	149
34	0,0,0	0,4,2	0,0,1	2,2,4	1432	149
35	86,86,65	17,27,7	64,59,56	15,9,12	432	149
36	10,5,11	1,7,1	4,11,22	2,0,0	573	149
38	298,284,298	32,15,17	206,207,285	33,33,19	1336	149
39	158,196,183	4,8,7	114,141,130	4,2,3	752	149
45	98,76,78	39,51,38	99,100,80	46,47,54	372	149
47	0,0,0	2,0,5	2,2,0	4,2,0	273	149
48	40,24,40	100,95,85	27,43,35	72,111,103	2176	149
50	28,25,13	1,0,4	14,16,12	1,0,0	722	149
52	3,5,6	34,34,60	5,13,11	43,37,40	3944	149
54	5,4,6	294,280,278	12,3,4	308,297,345	1432	149
55	0,1,1	118,83,108	6,1,5	103,93,106	1223	149
56	16,11,28	99,83,65	9,13,15	67,69,71	236	149
58	3,0,9	51,63,19	7,3,0	35,44,38	848	149
59	429,422,321	8,4,9	386,380,465	6,2,7	1045	149
60	18,24,14	36,13,36	20,21,18	30,24,29	503	149
61	18,5,13	120,116,120	3,10,9	109,108,140	293	149
65	33,37,21	117,132,96	15,31,21	112,71,143	231	149
66	0,4,0	0,6,2	0,5,4	1,0,9	253	149
67	0,4,0	0,0,0	0,5,1	0,1,0	238	149
68	15,9,3	28,14,20	9,6,4	14,24,19	256	149
72	14241,14070,11169	44,22,38	10585,10342,11540	14,20,36	236	149
76	6,27,4	123,108,109	14,13,5	102,103,92	998	149
