ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1	0,0,1	0,0,0	2,2,0	1,0,0	215	149
6	0,0,0	1,0,0	0,1,0	0,0,0	152	149
11	16,7,12	1,0,2	9,11,11	2,2,1	152	149
12	14,9,27	80,52,43	5,10,9	26,27,44	170	149
13	3,3,2	41,35,23	1,8,7	22,24,20	204	149
14	4,3,3	41,35,23	1,5,7	22,24,20	298	149
15	1,1,1	0,0,0	0,0,2	0,3,1	298	149
16	0,1,1	11,3,1	1,1,0	3,5,2	169	149
17	0,2,0	114,107,110	1,0,0	96,81,91	196	149
18	11,5,8	0,0,0	3,2,5	0,0,1	152	149
19	71,46,54	2,4,4	42,36,57	0,4,4	298	149
20	1,0,0	907,716,949	1,0,0	764,798,998	166	149
21	394,500,579	2,1,6	351,487,434	2,5,3	151	149
22	2,4,10	15,19,23	7,0,2	19,34,16	152	149
23	10,8,6	36,30,57	17,9,7	32,32,38	281	149
26	0,0,0	3,7,4	0,0,1	10,4,7	177	149
27	0,0,0	5,5,3	0,0,2	11,5,6	213	149
34	0,0,2	0,2,0	1,0,0	0,0,0	236	149
36	35,19,32	0,0,1	37,29,29	0,0,0	267	149
37	24,17,24	9,15,8	17,14,12	3,11,8	152	149
38	2,0,0	0,1,0	0,0,3	1,1,3	298	149
39	0,0,0	0,0,1	0,0,1	3,0,0	223	149
40	1,0,0	0,0,1	0,2,1	0,0,0	152	149
41	9,4,10	2,0,0	9,10,5	1,1,0	154	149
42	39,23,35	0,2,2	30,31,58	0,0,1	298	149
43	0,2,1	1,0,4	1,1,1	1,3,1	191	149
45	124,155,143	0,0,0	123,125,110	0,0,1	224	149
46	203,244,240	0,0,0	210,196,206	1,0,1	155	149
47	124,155,144	0,0,1	122,125,110	0,0,0	224	149
48	515,617,548	63,73,60	448,478,555	55,61,71	185	149
49	578,682,614	55,92,88	510,537,612	56,85,88	224	149
50	126,138,126	55,92,88	117,120,128	56,85,88	188	149
52	2256,2166,2168	7,2,5	1939,1964,2281	7,3,3	271	149
53	38,29,60	1922,1992,2127	16,30,39	1716,1704,1906	184	149
54	326,335,327	1,0,0	244,245,282	1,0,0	298	149
58	106,87,70	88,102,87	87,89,95	75,96,135	298	149
59	517,566,487	96,80,71	478,516,638	64,61,81	155	149
60	4,3,0	0,1,0	1,0,4	1,0,1	298	149
61	131,113,133	14,14,21	89,117,153	8,4,7	230	149
62	128,109,131	49,35,27	89,117,151	45,27,20	230	149
