ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
8	50,39,36	10,11,4	24,29,39	7,4,1	246	149
9	58,60,28	191,134,204	60,41,59	195,154,226	296	149
10	12,8,10	4,10,7	3,7,9	4,3,10	298	149
11	10,5,6	9,16,8	10,4,9	6,5,6	298	149
12	6,7,4	0,0,0	8,1,4	0,1,0	291	149
14	6,7,4	3,0,2	8,1,4	1,0,2	272	149
15	24,35,21	34,21,32	25,16,30	18,23,30	230	149
16	49,42,36	2,4,4	40,23,42	0,4,4	298	149
17	50,43,35	48,28,31	35,23,45	25,23,29	298	149
18	13,10,5	71,55,55	6,8,6	48,42,61	266	149
19	15,13,13	3,0,0	5,2,8	1,0,1	269	149
21	81,66,101	348,270,241	81,94,94	278,237,311	298	149
22	2,0,1	0,1,0	1,2,1	2,2,1	250	149
23	0,0,1	1,4,7	0,0,1	8,4,6	255	149
24	0,0,0	43,37,32	3,3,1	41,32,39	298	149
28	1,3,2	4,1,8	9,2,3	7,6,18	298	149
33	0,0,2	0,2,0	2,0,0	0,0,0	298	149
37	1,0,0	1,0,0	0,0,0	0,0,3	298	149
43	46,35,37	76,41,107	37,34,44	59,46,69	298	149
44	15,11,18	1922,1992,2127	6,3,22	1716,1704,1906	298	149
45	1,4,0	24,22,42	1,0,0	11,27,17	298	149
46	13,27,27	0,1,2	30,41,32	0,0,0	274	149
47	4,2,0	1,0,0	7,3,4	4,0,1	298	149
52	247,183,221	7,5,8	229,265,229	5,7,7	272	149
57	2,1,6	13,5,6	2,4,2	8,11,1	298	149
59	0,1,0	20,24,17	0,0,0	28,16,20	267	149
60	3,4,3	5,12,2	2,7,3	2,2,4	258	149
61	10,2,6	1,3,0	3,7,5	0,0,1	283	149
62	11,10,15	4,0,3	7,14,5	0,5,0	298	149
64	14,18,21	1,0,0	14,19,18	1,1,0	298	149
65	3,5,3	0,0,0	2,3,2	3,2,0	241	149
66	52,91,99	9,14,17	42,49,45	20,13,13	298	149
67	155,200,161	3173,2945,2628	209,224,213	2704,2544,3018	298	149
69	155,164,132	8,6,11	153,135,146	11,21,20	224	149
70	3,5,1	6,1,4	4,0,2	8,11,13	298	149
77	18,26,18	2,2,1	12,23,19	1,0,0	298	149
78	0,1,0	1,2,1	0,0,3	2,1,0	298	149
83	2,0,2	53,55,53	0,2,2	73,41,52	298	149
84	21,10,11	6,5,5	14,16,11	3,3,3	298	149
86	0,0,1	7,10,4	0,0,3	7,10,15	241	149
87	0,2,0	2,0,0	0,1,3	0,1,0	222	149
88	0,2,1	0,1,0	0,1,3	0,1,0	267	149
89	11,13,13	0,2,2	12,7,6	3,2,0	232	149
90	11,13,13	191,167,193	12,7,6	166,117,170	247	149
91	0,3,1	68,35,35	1,0,2	50,25,57	235	149
92	1915,1750,1359	0,1,1	1724,1675,2082	5,1,1	298	149
93	74,101,60	259,225,196	108,86,123	266,223,254	298	149
94	21,17,20	125,93,87	21,16,26	119,103,110	281	149
95	109,125,133	75,76,63	116,126,134	56,53,57	298	149
96	43,27,42	9,12,4	23,28,17	11,2,8	296	149
97	86,109,74	0,0,0	73,76,67	1,0,1	298	149
101	3,2,6	82,65,110	2,5,4	88,103,70	298	149
102	2,11,4	13,13,6	3,2,5	10,15,15	231	149
103	3,8,3	15,8,13	17,14,26	14,12,17	298	149
105	16,14,19	0,2,0	7,10,12	3,0,2	298	149
106	0,4,5	2,3,0	6,0,3	2,0,2	209	149
107	1,10,5	136,107,120	7,0,4	109,106,93	230	149
108	0,3,0	57,39,33	3,3,1	55,37,45	235	149
110	91,96,105	266,280,251	51,79,71	265,239,282	298	149
111	89,103,116	8,7,2	59,87,73	4,1,8	298	149
112	4,7,1	468,354,278	3,5,1	490,444,476	298	149
113	2,0,0	1,3,5	0,0,0	3,3,2	297	149
114	12,8,11	0,0,0	12,13,14	0,0,1	298	149
116	47,49,50	24,17,27	44,69,49	20,24,24	229	149
117	5,4,1	0,1,0	5,2,2	0,0,1	298	149
118	24,29,31	30,48,31	33,30,26	30,37,40	298	149
119	24,31,30	0,0,2	33,30,26	0,1,0	298	149
120	16,18,23	0,0,0	19,18,16	2,0,0	298	149
121	12,3,2	18,11,17	2,3,4	18,22,23	298	149
123	4,5,6	2,0,0	3,6,9	0,0,0	298	149
124	34,24,29	0,1,1	27,29,26	1,2,0	298	149
125	7,15,10	72,84,54	8,14,7	67,28,82	231	149
128	3,4,5	55,47,46	4,3,4	58,34,48	217	149
130	1051,989,1021	2,0,0	895,796,886	0,0,0	151	149
135	81,89,110	752,637,763	52,70,79	577,582,531	215	149
136	13,6,5	0,0,0	14,25,9	1,0,0	298	149
137	9,9,3	6,4,5	6,2,10	5,2,3	220	149
138	1,0,1	3,1,2	2,3,0	9,5,7	298	149
139	27,41,32	4,0,1	20,31,29	1,1,0	298	149
