ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
4	32,39,32	0,0,0	15,23,21	0,0,1	521	149
10	7,5,5	0,4,0	5,5,13	0,0,0	170	149
11	5,2,2	9,16,8	2,4,5	6,5,6	236	149
12	5,2,2	9,16,8	2,3,5	6,5,6	249	149
13	8,2,4	9,16,8	3,3,7	6,5,6	255	149
15	3,0,2	0,0,0	1,0,2	0,1,0	168	149
17	59,45,45	2,4,4	41,32,43	0,4,4	272	149
18	68,48,60	1,0,1	43,51,52	0,0,0	319	149
22	417,333,292	3,6,3	354,322,387	11,3,8	394	149
23	319,242,241	1,2,1	279,236,320	0,1,2	167	149
25	0,6,7	0,0,0	7,3,4	1,0,0	340	149
28	0,0,1	3,0,1	1,0,0	1,3,2	163	149
31	3386,2816,2468	0,0,0	3459,3103,3917	0,2,1	254	149
32	5,4,5	500,493,362	7,2,8	533,539,608	222	149
33	0,0,1	2,8,7	0,0,0	0,1,1	190	149
38	11,16,19	0,5,5	28,10,7	1,2,0	977	149
39	2,1,2	33,39,22	3,2,8	32,30,39	168	149
40	15,10,16	47,34,34	5,16,13	50,45,32	168	149
49	15,11,14	11,5,9	5,7,10	5,6,7	281	149
50	0,0,0	5,3,2	1,0,0	2,1,4	152	149
51	0,0,0	3,3,1	0,2,3	2,2,5	180	149
53	45,38,53	1338,1201,1338	26,19,33	1301,1164,1414	681	149
54	2,0,0	25,33,48	0,0,0	38,40,23	153	149
55	0,1,0	55,41,38	0,0,0	42,43,61	254	149
58	24,34,21	22,26,30	26,27,49	33,15,17	274	149
59	69,56,66	3,1,1	60,56,41	3,1,1	208	149
60	19,18,20	3,1,1	22,12,10	3,1,1	214	149
61	2,0,1	52,38,47	0,1,0	38,45,31	155	149
69	126,181,90	402,475,382	155,134,157	456,512,539	161	149
70	0,1,1	6,7,7	4,3,8	0,2,3	161	149
72	3,14,2	19,26,29	2,2,1	10,14,4	155	149
74	28,20,30	0,1,0	28,27,20	0,0,0	362	149
77	159,216,202	2,10,7	157,161,147	3,8,2	158	149
78	164,201,199	4,2,11	103,105,107	0,1,0	158	149
79	10,9,8	8,7,6	9,12,8	7,7,12	158	149
80	3,1,0	2,1,2	1,2,1	0,1,0	158	149
83	19,12,21	21,28,28	20,28,17	27,24,18	175	149
84	22,13,25	12,17,14	25,33,20	7,20,12	214	149
85	24,29,32	12,17,14	32,29,21	7,20,12	188	149
89	35,41,23	0,3,0	53,21,34	0,0,0	176	149
91	2,0,2	1,0,0	0,7,4	0,0,0	456	149
92	0,9,6	1,3,0	2,2,1	0,1,0	408	149
94	0,2,2	2,0,1	1,5,6	1,0,0	450	149
95	0,2,2	191,167,193	3,2,0	166,117,170	164	149
96	48,52,52	560,515,438	96,91,63	459,477,591	160	149
97	2151,1944,1559	0,1,1	1964,1878,2323	5,1,1	282	149
100	119,152,112	354,324,347	95,111,94	313,282,355	565	149
101	41,56,42	11,13,23	36,46,39	3,8,11	187	149
102	86,61,90	1,0,4	54,61,77	2,1,4	191	149
103	3,5,8	16,7,4	4,5,8	16,8,5	152	149
104	2,1,4	23,28,30	1,0,2	11,24,24	167	149
105	332,389,356	1,0,0	256,270,287	0,0,0	916	149
108	267,288,262	8,7,2	275,247,286	4,1,8	153	149
110	17,16,24	5,6,1	17,26,23	0,2,1	523	149
112	22,25,29	10,11,17	25,31,32	6,12,10	807	149
114	10,15,6	10,11,17	8,7,10	6,12,10	433	149
115	3,2,1	10,11,17	6,1,2	6,12,10	203	149
116	5,5,5	0,0,0	8,5,5	0,2,0	155	149
117	676,639,778	0,0,0	645,615,650	1,0,0	312	149
120	6,6,7	0,0,0	8,3,8	4,1,0	164	149
121	128,149,123	58,67,52	93,130,99	50,47,51	156	149
122	1,0,0	5,1,3	0,0,0	0,3,2	153	149
123	19,4,21	43,43,28	13,4,17	29,20,34	296	149
124	9,9,6	25,14,17	10,7,10	24,32,26	208	149
131	2,1,0	24,24,14	0,0,0	22,23,15	153	149
134	0,1,0	1,0,1	0,0,4	5,1,1	262	149
135	0,2,0	1,0,1	1,0,4	5,1,1	240	149
137	19,6,15	1,0,0	6,4,4	0,0,0	579	149
138	3,1,6	1,0,0	2,0,0	0,0,0	222	149
139	6,2,4	71,81,63	1,5,1	65,86,75	224	149
140	1,2,2	228,214,222	0,3,0	246,219,247	253	149
141	39,45,44	0,0,0	30,44,30	0,0,1	2483	149
142	0,3,0	1,0,1	0,0,0	0,0,2	179	149
144	59,61,72	2,0,0	47,71,57	0,0,0	171	149
145	124,101,100	0,0,0	114,107,112	0,0,2	204	149
146	6,5,6	121,108,90	5,6,8	127,106,107	191	149
147	32,38,37	1238,1288,913	39,40,26	1280,1211,1157	354	149
148	13,6,3	5,2,1	4,1,3	0,0,3	223	149
150	64,90,101	198,206,197	70,44,52	149,187,186	155	149
153	28,26,21	0,0,1	25,20,43	1,2,0	155	149
155	0,0,1	41,52,62	0,3,0	42,45,42	271	149
159	7,0,0	95,96,97	0,0,0	74,52,72	235	149
163	27,35,30	0,1,0	18,25,37	0,0,0	1634	149
164	6,3,6	0,1,0	5,6,5	0,0,0	185	149
165	17,11,20	2,0,0	19,22,25	0,0,0	185	149
166	0,0,2	14,9,9	1,1,0	11,4,8	316	149
167	0,0,2	14,9,9	1,1,0	11,4,8	317	149
169	78,86,83	1,0,0	49,38,45	0,0,0	1253	149
171	33,21,32	5,13,7	21,16,35	12,10,16	158	149
172	94,47,81	0,0,0	43,43,51	1,0,0	200	149
176	10,25,14	0,1,0	6,19,11	0,3,0	371	149
177	11,13,10	0,0,0	22,15,14	0,4,1	215	149
178	751,671,655	0,0,0	616,620,643	0,0,2	270	149
179	1,0,1	1,1,0	1,0,0	0,0,3	196	149
180	4,4,5	29,31,19	2,2,4	41,37,35	196	149
181	4,1,0	71,70,72	1,1,1	70,78,67	164	149
182	6,8,20	128,137,120	4,9,11	145,118,135	301	149
183	2,0,1	152,158,135	0,0,0	161,131,158	374	149
184	1,0,4	226,221,199	1,2,1	178,192,174	163	149
185	3,7,7	33,61,52	2,5,5	43,34,36	200	149
188	1,5,10	0,0,0	1,5,6	0,2,0	223	149
190	35,37,44	0,0,1	29,24,40	0,0,0	3182	149
192	153,173,143	2,5,6	176,150,164	3,3,4	236	149
196	11,7,2	2,0,1	12,7,6	5,2,0	156	149
197	12,11,7	1,2,3	8,7,9	3,4,3	197	149
198	0,1,4	0,0,1	0,2,2	2,0,1	153	149
199	12,9,4	1,2,3	7,8,6	3,4,3	156	149
200	6,0,6	3,2,0	1,0,3	2,1,0	153	149
204	0,3,8	0,0,0	4,1,2	0,1,0	208	149
208	16,5,6	0,2,0	9,13,9	1,0,1	208	149
209	1,0,0	0,0,0	0,0,0	2,0,1	165	149
210	0,2,0	27,32,26	0,0,0	22,25,10	160	149
212	366,380,291	0,5,2	369,296,383	1,3,0	162	149
213	2,6,4	11,14,13	3,0,4	12,12,12	261	149
214	41,26,45	24,20,27	39,38,67	16,16,15	389	149
215	0,0,5	11,16,9	1,0,0	4,5,9	172	149
217	415,448,301	7,5,5	432,399,461	6,3,4	175	149
218	16,12,9	2,0,0	18,22,15	1,0,2	211	149
219	2873,2773,2650	13,8,12	2464,2795,3120	18,19,22	386	149
220	138,136,104	0,0,0	146,132,153	2,0,0	284	149
226	3,3,4	24,41,40	2,3,3	38,25,24	180	149
227	4,2,1	6,1,2	2,3,2	10,0,1	180	149
228	29,41,54	0,1,0	34,27,51	0,0,1	1619	149
231	0,0,1	704,623,594	4,3,1	750,650,800	199	149
232	3,5,11	1079,943,919	3,6,6	1177,1102,1275	263	149
233	11,15,5	16,22,22	4,2,4	21,13,22	509	149
234	39,45,41	22,11,21	25,20,29	16,9,7	1846	149
235	1,6,1	5,3,4	2,1,1	1,1,3	354	149
236	68,58,79	0,0,1	74,54,79	0,2,1	4011	149
237	9,14,8	10,7,4	7,10,9	3,2,1	201	149
240	50,37,38	6,6,6	32,33,59	6,8,6	157	149
242	2,3,6	100,82,117	6,0,5	89,98,82	205	149
243	7,20,12	100,82,117	10,2,11	89,98,82	762	149
244	5,17,8	0,0,2	4,2,6	0,0,0	706	149
245	2,2,1	1,0,1	0,0,0	2,1,2	389	149
246	490,543,522	7,9,6	498,448,484	6,8,11	1566	149
247	2,7,8	0,0,0	5,2,9	1,0,0	272	149
248	25,39,58	10,6,12	21,26,17	8,4,4	282	149
249	6268,6184,6366	3,4,12	6623,5991,6525	11,8,6	272	149
250	32,52,77	0,1,5	53,36,33	1,2,1	169	149
251	10,26,36	0,0,2	12,18,11	0,0,0	244	149
254	109,76,122	0,0,0	39,66,82	0,1,0	200	149
255	6,6,10	1,3,0	5,4,3	3,0,4	982	149
257	0,0,0	11,14,23	2,0,0	12,14,12	182	149
258	1,1,13	4,10,4	7,5,8	7,6,3	593	149
260	6,17,16	158,133,91	8,4,8	111,105,120	1041	149
261	9,8,13	0,1,0	2,8,12	1,0,0	665	149
262	1,0,0	1,0,2	0,0,0	1,0,0	267	149
263	0,0,1	43,29,37	0,1,0	34,40,36	153	149
264	112,90,102	124,109,104	109,131,137	105,106,99	166	149
284	67,59,105	0,0,2	105,61,93	0,0,0	4011	149
286	579,483,482	1,0,0	489,440,514	0,0,0	400	149
287	4,3,1	1,2,2	3,2,5	2,2,0	185	149
288	45,26,48	5,10,7	49,32,30	3,6,3	176	149
290	18,5,15	5,6,9	16,22,25	4,0,10	319	149
295	5,3,5	11,12,8	1,5,4	2,7,3	376	149
296	1,1,3	432,378,344	4,2,1	392,383,435	234	149
305	1,4,12	26,22,29	3,4,1	12,14,10	393	149
306	100,76,86	16,12,14	72,80,83	18,13,16	238	149
307	130,99,110	2,0,0	111,109,98	0,0,0	197	149
310	11,10,11	6,2,6	2,1,8	1,2,0	339	149
311	10,2,15	54,36,39	6,7,9	37,33,34	187	149
316	4,4,4	775,815,694	3,0,3	803,812,867	338	149
317	10,12,17	1,0,0	13,9,15	0,0,0	363	149
318	3,1,1	9,2,3	3,0,3	5,6,13	338	149
319	47,48,36	3,3,3	46,59,57	4,2,1	363	149
320	53,50,44	4,4,6	49,60,62	3,1,4	494	149
321	9,5,11	4,4,6	7,3,6	3,1,4	280	149
322	7,3,11	4,2,4	4,7,10	3,4,7	280	149
323	67,55,55	1200,940,940	27,44,54	853,784,894	171	149
324	3,3,4	3,4,3	2,5,5	1,2,5	161	149
325	51,49,58	27,25,31	29,47,29	22,21,29	287	149
327	1,0,2	0,0,0	1,0,1	0,1,0	159	149
328	65,85,63	0,0,0	54,55,57	0,1,0	189	149
330	10,10,12	1,5,3	7,8,16	7,0,5	189	149
331	107,120,124	1,5,3	76,79,90	7,0,5	2474	149
332	99,113,118	2,3,6	70,78,82	1,7,8	2434	149
333	0,1,0	142,104,136	0,0,0	68,98,98	197	149
334	183,185,125	4,0,5	163,135,131	6,3,5	1039	149
337	2,4,6	94,86,70	2,3,2	88,70,71	230	149
340	8,3,3	1,1,2	0,2,3	1,3,0	226	149
341	2,4,4	2,2,4	6,5,8	0,0,1	160	149
342	2,3,2	0,1,1	3,5,5	0,4,1	160	149
344	1,3,2	0,0,0	3,3,4	0,1,0	160	149
346	486,440,454	0,0,0	379,423,418	0,0,1	2334	149
349	79,102,107	3,2,4	69,63,74	5,4,4	701	149
350	1,3,0	131,120,111	3,0,3	153,118,172	177	149
351	1,0,0	2,0,0	0,0,1	0,0,0	449	149
352	7,13,13	2,0,0	11,12,13	0,1,0	267	149
353	0,3,2	56,52,38	0,0,2	46,50,73	153	149
354	127,91,111	6,5,5	94,79,109	3,6,1	297	149
355	126,155,133	5,1,1	132,114,122	2,5,3	268	149
356	78,114,110	18,24,29	135,120,151	14,12,12	550	149
357	78,116,110	51,91,101	132,120,151	46,61,60	550	149
359	115,93,95	15,17,35	71,53,52	15,15,20	189	149
360	179,143,145	6,2,4	108,87,84	7,7,2	566	149
361	41,65,56	11,25,11	31,37,31	12,10,11	205	149
362	42,60,57	0,2,2	46,38,44	0,1,2	157	149
363	356,340,274	1,1,1	316,290,328	2,0,1	151	149
364	47,36,52	0,0,1	38,51,48	1,1,0	592	149
365	200,170,181	0,0,0	178,132,140	0,0,1	592	149
366	44,58,61	0,0,1	49,47,36	2,1,5	215	149
369	0,0,0	15,12,26	1,0,1	15,16,24	195	149
372	0,0,0	103,112,100	0,4,0	106,94,128	247	149
373	2,1,0	103,112,100	0,3,0	106,94,128	442	149
374	2,1,0	0,0,0	0,1,0	0,2,0	344	149
375	12,14,13	211,190,209	12,14,20	174,208,235	203	149
393	211,206,231	3,2,0	156,117,185	6,2,1	389	149
395	1,1,1	0,0,0	0,4,2	0,1,0	162	149
396	26,15,18	0,0,2	16,33,22	1,1,2	162	149
400	104,121,127	4,9,6	89,94,86	4,2,4	166	149
412	1,3,3	60,80,42	1,3,5	53,67,61	323	149
417	33,26,18	17,16,29	21,20,19	9,6,11	292	149
418	0,0,1	1,3,12	0,1,0	6,7,6	245	149
419	2,2,2	109,85,99	1,1,4	118,124,135	224	149
420	240,274,190	3,1,0	253,243,270	0,0,1	200	149
421	2,3,3	121,116,110	0,5,4	131,118,131	192	149
424	1,0,0	0,1,0	1,2,1	0,0,0	402	149
426	287,301,277	1,1,0	227,247,266	0,0,0	727	149
428	166,184,156	7,3,1	111,114,153	1,1,4	174	149
429	50,45,49	1,0,0	43,54,73	0,0,0	799	149
431	1,0,0	0,0,0	0,0,0	1,0,0	284	149
432	2,3,3	10,7,8	3,3,4	7,7,5	184	149
433	6,9,9	112,98,105	6,3,9	85,93,107	184	149
439	1,0,0	5,9,5	0,0,0	0,2,4	154	149
442	0,0,2	6,2,3	0,0,0	3,14,6	210	149
443	200,177,177	1430,1441,1149	237,263,311	1534,1487,1879	161	149
444	8469,7074,6077	1,4,3	7452,6566,7661	2,2,4	168	149
445	0,1,0	7,1,6	0,1,0	3,1,0	189	149
446	4,2,4	10,13,28	2,0,0	9,8,9	225	149
447	5,5,1	6,2,1	0,5,3	0,1,2	160	149
449	2,0,0	8,2,2	0,1,1	2,1,3	194	149
457	1150,1346,1184	0,0,0	1075,1182,1169	0,1,0	534	149
458	394,935,761	1,0,1	1085,1032,1304	0,0,0	326	149
461	13,1,6	34,27,34	8,8,5	31,31,22	373	149
465	6,7,9	1,0,0	8,3,10	0,0,0	221	149
466	0,0,0	7,10,18	0,0,1	3,8,4	444	149
473	0,0,0	1,4,2	2,0,1	1,0,1	161	149
476	1,1,0	2,0,3	0,1,1	0,0,0	267	149
477	469,452,379	1,4,0	298,270,349	0,0,1	276	149
479	26,22,26	7,1,7	16,15,13	2,4,6	381	149
480	12,8,7	1,0,0	2,4,3	0,2,1	381	149
481	97,112,72	154,141,131	88,85,93	127,121,138	164	149
482	10,7,10	3,2,2	7,6,6	0,0,4	164	149
483	25,52,48	203,353,394	28,30,16	183,229,162	177	149
484	1,1,1	0,0,1	0,1,0	0,0,0	157	149
485	53,40,57	7,4,6	27,38,32	3,2,3	157	149
487	105,113,107	101,132,90	150,153,195	157,158,172	236	149
489	0,0,0	19,17,22	1,0,0	27,6,11	169	149
491	0,8,1	0,0,0	2,2,4	1,2,1	427	149
493	8,13,6	15,7,4	12,11,9	10,13,17	162	149
498	0,1,2	2,2,5	3,1,1	1,4,3	333	149
499	0,0,3	107,114,96	0,1,0	76,72,86	1469	149
500	15,6,7	0,1,4	4,4,2	5,1,3	195	149
501	61,39,49	0,1,4	40,44,33	5,1,3	208	149
