ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	0,0,0	28,27,33	0,2,0	18,38,9	197	922
3	3,1,8	3,1,0	2,9,0	2,5,2	284	305
7	60,91,87	22,21,15	70,55,62	21,9,16	331	326
8	20,10,16	12,11,18	12,16,15	13,9,20	268	302
9	8,11,23	160,134,183	11,9,4	97,78,91	249	463
10	2,0,0	9,2,1	1,1,0	0,6,1	212	371
11	24,25,30	7,5,6	27,23,21	4,5,0	191	161
12	21,25,30	7,5,6	27,21,19	4,5,0	205	161
13	3,1,0	7,5,6	1,2,3	4,5,0	311	161
14	23,22,24	47,84,41	34,30,23	58,59,48	255	225
15	2,3,6	0,0,0	2,4,4	1,0,0	173	200
19	0,2,0	0,3,4	5,1,0	4,3,1	295	261
23	1074,1029,1072	603,642,711	1034,949,1047	566,573,620	302	264
24	23,20,21	604,643,711	12,9,16	566,570,621	302	264
25	1801,1775,1750	622,592,637	1539,1566,1829	495,485,508	321	302
26	154,185,153	25,45,51	119,150,117	30,27,31	380	206
27	56,54,28	152,142,146	34,25,22	118,141,150	201	279
28	89,169,130	126,155,165	96,99,110	100,98,91	251	298
29	81,72,99	75,94,118	68,78,69	83,63,54	298	278
30	32,54,54	7,9,8	22,21,28	9,9,6	228	192
31	480,459,495	2259,2133,2097	408,405,461	2049,1940,2328	219	307
33	527,534,488	602,632,500	492,558,588	553,526,637	255	322
34	476,457,437	842,778,782	344,355,415	581,617,719	260	193
35	144,111,148	1902,1821,1669	77,86,74	1441,1538,1782	248	260
36	66,69,101	641,609,579	75,71,63	492,467,599	256	248
37	153,163,141	107,76,77	149,135,178	69,60,112	267	239
38	137,152,162	198,200,194	124,127,130	202,215,226	191	288
39	17,17,27	145,163,196	9,14,13	136,126,126	224	789
40	10,18,7	155,159,133	5,9,10	165,119,138	272	341
43	9,12,12	17,12,14	11,12,12	14,13,10	253	208
44	2,13,8	25,14,19	2,7,8	17,14,12	260	233
45	0,3,2	16,26,18	0,3,4	10,10,7	260	200
47	90,80,74	157,132,167	38,53,63	105,120,133	258	250
48	14,16,20	55,68,57	8,11,12	35,48,48	263	306
49	109,139,127	19,27,17	120,77,110	24,21,25	306	270
52	177,205,148	1897,1925,2103	194,162,215	1739,1621,1751	198	271
54	12,8,13	14,34,26	13,3,8	10,20,5	253	219
55	14026,10943,11028	381,299,254	12517,10481,12472	295,262,331	217	272
56	5,7,9	1,1,3	8,1,3	1,0,0	254	170
59	17,28,30	130,107,129	12,18,23	112,98,83	215	209
60	47,37,39	625,407,497	30,41,34	376,318,389	209	290
61	87,78,75	70,73,56	102,63,97	57,55,62	313	279
62	13,11,12	2,0,1	21,14,16	0,1,0	228	271
63	13,8,20	1,0,0	12,14,13	0,0,1	525	220
64	13,8,20	0,0,1	12,14,13	0,0,0	525	216
65	13,8,20	1,0,0	12,14,13	0,0,0	525	247
66	12,8,20	2,0,0	12,14,13	0,0,1	525	220
67	12,8,20	1,0,0	12,14,13	0,0,0	525	216
68	12,8,20	1,0,1	12,14,13	0,0,0	525	247
69	12,8,20	18,13,8	12,14,13	9,6,14	525	271
70	12,8,20	2,0,1	12,14,13	1,1,0	525	247
72	12,8,19	18,13,9	12,14,13	9,6,15	525	271
73	12,8,19	2,1,3	12,14,13	1,5,0	525	226
74	1,0,0	1,0,0	0,0,1	0,0,0	220	247
75	2,0,0	1,0,1	0,0,1	0,0,0	220	247
76	2,0,0	18,13,8	0,0,1	9,6,14	220	271
77	2,0,0	2,0,1	0,0,1	1,1,0	220	247
78	2,0,0	3,0,2	0,0,0	0,1,0	220	271
81	1,0,0	18,13,8	0,0,0	9,6,14	216	271
82	1,0,0	2,0,1	0,0,0	1,1,0	216	247
85	1,2,0	3,0,2	0,0,0	0,1,0	216	271
86	1,0,1	18,13,8	0,0,0	9,6,14	247	271
87	1,0,1	2,0,1	0,0,0	1,1,0	247	247
88	17,12,7	5,9,3	9,5,14	3,2,4	271	226
89	18,13,9	2,1,3	9,6,15	1,5,0	271	226
90	2,4,4	3,4,1	4,0,3	3,0,4	384	260
91	11,14,13	10,5,7	28,18,19	5,10,9	262	258
92	11,14,13	4,0,4	28,18,19	4,3,4	262	258
93	18,22,22	10,15,22	35,23,32	22,11,25	262	227
94	0,0,6	5,6,5	2,0,3	6,6,13	291	262
95	71,50,64	19,11,23	42,56,49	25,11,8	291	262
96	82,66,76	18,22,23	66,80,94	31,17,26	280	291
97	0,0,1	18,22,19	1,2,0	30,19,24	280	291
98	62,44,45	18,22,19	50,59,80	30,19,24	202	291
99	62,44,45	0,0,1	50,59,80	1,2,0	202	280
100	60,43,46	65,48,63	51,58,80	37,55,46	202	280
101	360,391,401	6150,5990,5936	304,348,396	6001,5854,6422	271	245
102	2,0,0	2,0,0	1,0,0	0,0,0	233	260
103	1,0,5	11,8,12	3,1,0	5,7,10	285	277
104	43,42,30	0,0,4	31,28,64	2,2,2	322	285
105	12,9,9	34,36,32	3,7,9	25,26,34	359	269
107	294,293,350	646,681,708	270,293,295	580,659,631	260	306
108	758,872,930	1280,1652,1735	667,749,806	1239,1349,1423	287	266
109	0,0,3	757,923,1066	0,1,5	736,895,874	295	262
110	166,146,115	138,88,112	148,148,143	138,117,117	217	257
111	131,95,88	122,132,92	115,91,106	140,106,133	225	278
112	45,52,38	14,9,19	40,62,48	5,11,7	218	185
113	15,28,28	20,31,45	33,23,17	17,29,13	262	255
117	145,148,152	150,167,131	155,132,161	144,142,147	330	301
118	143,140,141	150,167,131	145,124,157	144,142,147	326	301
119	1,0,0	0,4,1	1,1,0	6,4,4	188	215
120	12,9,11	124,105,101	17,7,8	125,110,139	204	245
121	3158,2855,2803	521,401,336	3138,2972,3291	478,413,485	233	251
122	9,4,6	342,276,306	13,6,12	240,246,302	195	320
123	319,253,377	320,266,397	222,223,258	260,267,297	355	225
124	183,181,181	287,336,244	154,147,151	207,263,259	273	253
125	171,194,192	281,307,269	146,138,173	221,223,232	307	273
126	235,216,182	11,7,7	250,224,246	20,11,14	227	284
127	677,664,681	264,250,246	580,593,674	248,203,214	298	208
130	368,339,305	147,175,157	241,224,265	87,82,88	269	887
131	368,339,305	197,188,170	241,224,265	94,91,107	269	223
132	100,79,72	641,610,517	46,49,38	486,463,562	260	307
133	6,9,6	107,106,113	6,7,6	158,121,142	291	301
134	75,67,75	107,106,114	95,84,84	156,124,144	291	301
135	10,9,21	38,60,55	14,6,16	50,60,48	250	845
