ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
8	50,39,40	10,11,4	24,31,41	7,4,1	246	149
9	58,60,28	191,134,204	60,41,59	195,154,226	296	149
10	96,78,92	4,10,7	67,66,70	4,3,10	1141	149
11	11,9,6	9,16,8	10,4,9	6,5,6	378	149
12	6,7,4	0,0,0	8,1,4	0,1,0	291	149
14	6,7,4	3,0,2	8,1,4	1,0,2	272	149
15	24,35,21	34,21,32	25,16,30	18,23,30	230	149
16	83,63,55	2,4,4	66,34,64	0,4,4	557	149
17	72,48,44	48,28,31	50,27,53	25,23,29	434	149
18	13,10,5	71,55,55	6,8,6	48,42,61	266	149
19	15,13,13	3,0,0	5,2,8	1,0,1	269	149
21	86,66,104	348,270,241	82,95,94	278,237,311	349	149
22	2,0,1	0,1,0	1,2,1	2,2,1	250	149
23	0,0,1	1,4,7	0,0,1	8,4,6	255	149
24	0,0,0	43,37,32	3,3,1	41,32,39	341	149
28	1,3,3	4,1,8	10,2,4	7,6,18	408	149
33	0,0,2	0,2,0	2,0,0	0,0,0	460	149
37	1,0,0	1,0,0	0,0,0	0,0,3	304	149
43	2292,1981,2003	76,41,107	1975,1835,2111	59,46,69	2889	149
44	15,11,18	1922,1992,2127	6,3,22	1716,1704,1906	344	149
45	1,4,0	24,22,42	1,0,0	11,27,17	309	149
46	13,27,27	0,1,2	30,42,32	0,0,0	274	149
47	25,22,32	1,0,0	31,31,30	4,0,1	3532	149
52	248,183,222	7,5,8	229,265,229	5,7,7	272	149
57	3,1,8	13,5,6	4,9,3	8,11,1	512	149
59	0,1,0	20,24,17	0,0,0	28,16,20	267	149
60	3,4,3	5,12,2	2,7,3	2,2,4	258	149
61	10,2,6	1,3,0	3,7,5	0,0,1	283	149
62	20,12,23	4,0,3	10,20,6	0,5,0	659	149
64	94,98,71	1,0,0	84,69,86	1,1,0	888	149
65	3,5,3	0,0,0	2,3,2	3,2,0	241	149
66	1213,1831,1874	9,14,17	773,970,845	20,13,13	3420	149
67	222,297,255	3173,2945,2628	302,305,285	2704,2544,3018	679	149
69	155,164,132	8,6,11	153,135,146	11,21,20	224	149
70	3,5,1	6,1,4	4,0,2	8,11,13	316	149
77	52,94,66	2,2,1	58,67,67	1,0,0	983	149
78	24,30,14	1,2,1	7,10,16	2,1,0	3782	149
83	2,0,2	53,55,53	0,7,3	73,41,52	376	149
84	25,10,11	6,5,5	15,23,12	3,3,3	356	149
86	0,0,1	7,10,4	0,0,3	7,10,15	241	149
87	0,2,0	2,0,0	0,1,3	0,1,0	222	149
88	0,2,1	0,1,0	0,1,3	0,1,0	267	149
89	11,13,13	0,2,2	12,7,6	3,2,0	232	149
90	11,13,13	191,167,193	12,7,6	166,117,170	247	149
91	0,3,1	68,35,35	1,0,2	50,25,57	235	149
92	1970,1822,1426	0,1,1	1803,1746,2194	5,1,1	496	149
