ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	20,12,21	2,0,0	17,17,16	0,0,0	298	149
3	29,18,14	4,0,14	36,13,25	9,2,10	252	149
4	2,2,2	22,16,25	9,2,1	21,27,26	298	149
5	6,17,18	87,86,100	18,12,29	99,90,85	298	149
7	0,0,1	2,1,0	0,0,0	6,0,3	298	149
8	24,33,19	431,349,439	29,17,24	345,285,305	298	149
9	105,123,124	204,262,182	152,118,101	201,202,220	298	149
10	26,21,19	177,196,162	15,13,19	178,145,196	298	149
11	185,194,168	0,0,0	171,176,191	0,1,2	298	149
16	2,5,7	15,9,4	10,7,4	21,23,13	298	149
17	0,0,0	8,5,3	1,1,1	15,6,10	286	149
19	16,14,18	0,1,2	19,9,8	3,0,2	298	149
20	4,1,1	2,0,1	0,1,2	0,1,1	298	149
23	131,160,171	19,17,21	129,114,105	15,14,13	298	149
24	493,582,475	9810,9624,9604	448,418,444	11001,9617,10204	298	149
25	282,338,255	13803,14187,12595	354,275,300	15984,15015,14694	242	149
31	24,12,13	30,53,36	11,8,17	30,43,53	273	149
35	70,76,54	17,27,7	55,72,69	15,12,12	298	149
36	4,4,6	1,7,1	7,1,9	1,0,1	298	149
38	70,81,54	32,14,17	50,34,65	27,23,25	298	149
39	64,73,71	4,8,7	83,36,85	10,1,11	298	149
42	8,12,6	9,5,3	9,7,14	6,8,8	298	149
45	85,70,72	39,51,38	119,68,93	47,46,59	298	149
47	0,0,0	2,0,5	4,0,0	1,0,3	273	149
48	9,2,6	100,95,86	2,2,3	97,67,102	298	149
49	3,12,7	0,1,0	6,8,3	0,0,0	298	149
50	11,8,4	1,0,4	3,4,1	3,0,0	298	149
52	1,1,4	36,34,60	2,3,0	47,51,37	298	149
54	4,4,6	294,280,278	3,2,5	260,282,281	298	149
55	0,1,1	118,83,108	0,3,3	81,82,100	298	149
56	16,11,28	99,83,65	15,14,26	68,87,66	236	149
58	3,1,1	53,63,20	2,5,1	55,81,55	298	149
59	6,16,11	8,4,9	9,6,8	6,0,9	298	149
60	9,11,7	37,13,36	13,7,18	25,26,17	298	149
61	18,5,13	120,116,120	5,4,8	136,131,98	293	149
62	7,4,4	3,3,5	3,4,4	2,2,0	298	149
65	36,37,22	117,132,96	39,20,38	104,93,103	231	149
66	0,4,1	0,6,2	1,3,2	5,4,3	253	149
68	16,11,3	28,14,21	12,4,8	18,34,38	256	149
72	14244,14062,11172	44,22,38	13127,13920,13061	26,22,29	236	149
73	1,2,2	0,3,0	4,1,1	1,2,3	298	149
75	79,95,135	0,0,0	84,66,78	0,1,0	298	149
76	4,14,2	124,108,109	3,7,5	121,91,106	298	149
77	8,16,4	495,457,462	5,3,7	485,485,433	298	149
78	22,15,15	80,72,87	5,7,8	61,76,71	298	149
79	4,2,6	229,197,207	4,9,7	193,237,235	298	149
80	11,14,13	175,136,175	28,23,21	127,132,149	298	149
81	79,76,80	692,705,579	126,126,108	589,623,532	298	149
82	5,9,6	11,7,3	19,5,4	11,5,8	298	149
83	12,23,12	527,446,413	28,9,9	442,547,465	298	149
84	28,28,21	175,134,177	39,10,17	138,181,153	294	149
85	27,28,18	1,0,0	30,23,29	0,0,0	298	149
86	52,55,43	269,219,206	76,65,82	252,242,230	298	149
87	54,75,62	8,3,3	103,75,95	3,4,7	298	149
88	83,91,79	2,0,0	135,111,126	0,0,0	298	149
91	15,12,10	0,0,0	10,8,13	1,1,1	298	149
92	0,0,0	20,14,19	0,0,4	23,33,15	231	149
93	4,0,2	0,0,0	0,0,0	1,0,0	298	149
94	0,3,0	3,2,11	0,0,2	2,3,7	298	149
95	895,780,791	0,0,1	724,808,1129	0,0,1	298	149
96	909,781,827	2031,1829,2418	763,815,1185	2217,1777,2063	298	149
97	1016,854,920	2477,2028,2676	841,911,1275	2314,2101,2313	298	149
98	678,530,512	155,147,155	453,588,887	186,184,221	298	149
99	886,750,665	0,0,0	683,827,1029	1,0,2	298	149
100	1310,1105,1134	354,355,269	1025,1171,1350	397,392,447	298	149
101	11,6,19	24,17,11	17,12,4	16,15,12	269	149
102	45,32,35	16,12,3	55,66,57	15,3,9	284	149
103	90,63,75	8,15,10	86,108,86	17,11,7	298	149
104	1,1,0	1,1,1	1,0,0	1,0,0	298	149
105	0,1,1	2,0,2	3,0,1	2,3,0	298	149
107	65,53,62	178,106,217	49,36,40	137,115,118	298	149
108	14,12,6	6,5,2	10,12,10	3,9,3	255	149
109	32,25,14	256,220,241	32,42,20	208,193,206	298	149
110	0,3,1	24,27,34	2,3,1	16,27,24	298	149
111	3,0,3	0,0,0	0,2,1	0,1,0	298	149
112	4,16,18	0,0,1	4,5,17	0,0,1	298	149
114	27,30,21	46,41,34	29,29,34	32,22,33	231	149
115	13,18,21	13,15,9	14,11,7	13,21,16	298	149
116	1,5,8	16,19,21	5,7,8	18,25,10	288	149
117	9,10,13	33,25,15	17,13,14	23,19,27	222	149
118	179,130,171	418,352,316	218,150,207	321,416,352	228	149
119	21,16,17	2,0,3	17,12,14	2,3,1	298	149
120	20,11,22	0,0,0	23,14,11	0,2,1	298	149
121	3,4,6	17,13,2	2,13,10	18,19,28	298	149
123	33,21,29	37,29,58	18,30,21	42,35,45	298	149
124	5,5,3	0,0,0	6,9,1	0,1,0	298	149
125	88,79,84	71,41,56	114,89,70	52,53,47	298	149
126	125,101,99	1235,1067,927	97,92,112	1081,1245,1068	298	149
127	15,11,23	0,0,0	11,6,23	0,1,0	298	149
128	3,0,4	3,7,5	0,0,6	6,3,3	298	149
129	95,65,55	5,3,3	87,81,98	11,14,9	298	149
