ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	43,31,36	8,2,2	52,31,45	11,1,4	182	149
3	59,33,65	1,2,0	66,35,68	2,2,2	254	149
5	7,15,12	51,75,70	18,12,20	97,40,67	180	149
6	8,12,5	12,4,6	17,11,21	12,0,6	180	149
9	361,462,419	0,0,0	434,387,417	0,0,2	150	149
10	13,17,22	2,2,1	2,6,11	5,6,7	1843	149
11	10,10,10	15,9,4	24,12,13	21,23,13	185	149
12	88,76,58	9,10,8	60,77,81	1,5,13	157	149
14	14,8,12	172,129,161	14,6,8	123,128,130	205	149
15	27,27,27	172,129,161	20,18,12	123,128,130	762	149
16	15,19,17	2,0,2	6,12,4	0,0,0	706	149
17	4,2,1	2,0,1	3,0,0	0,1,1	389	149
18	803,902,809	18,13,14	854,821,731	30,16,20	1566	149
19	43,60,72	19,17,21	50,33,38	15,14,13	282	149
20	10835,10714,10600	10,13,15	12215,11097,11298	13,24,19	272	149
21	67,94,154	0,1,10	125,65,94	2,0,5	169	149
22	19,47,55	0,0,2	46,19,51	1,0,1	244	149
24	1,8,1	7,3,7	3,9,3	3,5,6	354	149
25	4,3,5	1306,1132,1177	13,7,7	1363,1273,1360	199	149
26	20,17,23	2377,2113,1938	32,22,17	2545,2410,2518	263	149
29	5680,5574,5329	31,27,38	6381,6132,6484	36,25,23	386	149
32	18,42,35	234,203,141	23,26,28	179,224,158	1041	149
33	23,21,24	0,2,1	21,14,22	0,0,4	665	149
34	5,0,2	1,0,4	0,0,0	3,0,0	267	149
35	184,168,186	221,208,185	265,167,228	159,136,168	166	149
37	98,78,139	0,0,2	115,90,101	2,1,0	4011	149
38	8,4,10	8,6,6	5,6,3	2,2,8	161	149
42	117,98,108	30,38,41	82,105,117	56,31,29	304	149
43	45,25,41	3,3,8	31,28,22	3,7,0	181	149
56	7,4,2	34,47,34	4,0,0	35,36,42	450	149
57	4,2,3	19,11,11	0,0,7	7,7,6	225	149
62	14,7,10	165,182,146	6,9,15	189,174,137	224	149
65	251,200,270	0,0,0	190,204,199	0,2,1	1254	149
66	837,826,726	4,4,0	888,763,952	3,2,0	204	149
68	218,158,212	4,2,4	189,188,235	0,3,4	3231	149
69	21,8,11	269,219,206	14,15,23	252,242,230	180	149
70	15,9,11	269,219,206	16,11,19	252,242,230	191	149
71	2,4,3	8,3,3	5,0,3	3,4,7	160	149
72	177,96,174	0,0,0	119,118,122	0,1,2	200	149
73	0,0,1	1,0,0	0,1,0	0,0,0	196	149
74	14,32,24	0,1,0	31,32,16	0,0,4	371	149
75	6,1,0	120,118,122	13,11,4	143,79,151	164	149
76	2069,1887,2474	0,0,1	2281,1828,2113	0,0,1	180	149
77	82,91,95	4,0,4	96,96,104	6,7,8	180	149
78	7999,7024,8747	4,0,4	8353,7250,8188	6,7,8	2993	149
79	7961,6966,8691	44,33,39	8289,7199,8138	32,45,54	2962	149
80	399,396,304	0,0,0	448,428,498	1,0,2	534	149
81	2,3,1	8,8,5	1,1,2	9,0,5	290	149
82	67,44,48	8,15,10	53,48,39	17,11,7	208	149
84	136,142,154	2,0,0	198,146,153	4,0,2	171	149
85	1,5,0	28,47,29	2,0,3	39,51,39	215	149
90	146,164,186	55,99,74	150,123,152	88,85,66	277	149
91	6,3,9	0,0,0	12,7,4	0,2,1	218	149
92	736,783,588	0,11,4	809,665,755	11,4,2	162	149
93	10,14,16	73,57,93	8,8,11	67,66,64	261	149
94	105,72,129	65,50,70	135,117,124	47,53,49	389	149
95	1,6,7	17,24,23	6,3,1	19,9,20	172	149
97	34,11,19	1,0,0	17,5,9	0,0,0	579	149
98	4,2,7	1,0,0	6,1,2	0,0,0	222	149
99	33,33,20	852,800,800	36,31,34	786,714,729	253	149
105	139,174,118	0,0,0	195,146,158	0,0,2	920	149
106	9,25,15	22,29,25	14,4,9	20,25,48	240	149
110	1040,1050,1003	575,559,515	1183,1073,1066	560,596,582	176	149
111	3,6,11	405,349,360	14,8,7	366,451,384	203	149
112	7,9,14	405,349,360	15,10,6	366,451,384	1032	149
113	6,7,9	2,4,6	12,6,3	11,4,4	978	149
115	100,95,102	1,0,0	110,90,120	0,0,0	2483	149
119	113,92,107	0,0,0	118,148,100	0,0,2	350	149
120	9,2,2	222,188,158	6,8,1	186,225,190	235	149
121	0,3,0	38,32,34	2,1,2	48,36,47	181	149
123	1,0,2	25,24,18	2,2,4	25,29,33	316	149
124	1,0,2	25,24,18	2,2,4	25,29,33	317	149
126	71,106,95	0,3,3	89,65,112	1,2,0	183	149
127	3,1,0	39,43,33	0,0,0	39,44,52	153	149
128	0,3,0	5,0,1	0,0,1	0,1,3	179	149
132	9,9,18	0,1,0	8,22,9	0,0,0	185	149
133	34,28,55	4,0,0	21,46,23	0,0,1	185	149
135	0,4,0	0,0,0	1,0,1	2,0,0	153	149
139	9,5,24	0,0,1	8,4,5	0,0,0	562	149
141	2,6,8	0,0,3	5,4,4	0,2,0	153	149
142	150,129,137	0,0,0	162,112,196	1,0,1	1203	149
143	25,13,18	4,8,9	18,18,12	4,4,5	156	149
144	10,5,11	6,3,1	10,6,10	4,0,2	153	149
145	176,140,149	0,0,0	175,121,215	1,1,0	1203	149
147	1550,1413,1377	3,1,0	1492,1514,1467	2,0,0	270	149
148	2,7,12	3,2,0	18,13,8	2,0,3	196	149
149	7,19,23	97,93,62	23,29,13	105,93,94	196	149
150	2,7,15	21,34,27	18,15,6	17,8,19	196	149
152	30,13,13	0,4,2	19,22,26	3,2,2	208	149
153	1,0,0	1,0,2	1,0,0	0,1,3	165	149
154	76,67,66	0,0,2	87,82,75	2,0,0	159	149
156	8,3,9	0,1,0	9,7,10	0,0,0	560	149
157	6,9,8	0,0,0	15,6,12	0,2,0	184	149
160	308,343,326	5,1,1	334,266,371	3,5,7	227	149
161	1,1,3	48,48,46	1,1,2	69,22,39	180	149
163	21,10,15	74,62,77	28,15,22	78,59,70	373	149
165	25,14,28	0,1,2	22,30,19	4,1,0	245	149
166	8,13,7	0,0,1	4,1,11	1,0,1	153	149
168	3,6,4	17,16,15	4,2,1	14,9,35	184	149
169	8,15,14	241,198,228	9,4,9	208,188,193	184	149
170	33,19,39	324,306,275	34,17,25	309,264,296	202	149
172	21,5,8	5,7,15	22,12,20	14,7,7	153	149
173	35,18,22	7,2,2	43,31,37	8,6,5	438	149
174	57,41,35	23,31,31	67,41,69	19,18,17	604	149
175	29,25,15	23,31,31	32,16,37	19,18,17	315	149
176	28,29,15	2,1,0	35,18,37	3,7,1	315	149
177	0,1,2	3,1,0	0,2,8	11,6,3	159	149
181	175,116,132	0,3,0	104,128,112	0,0,0	264	149
182	56,44,36	3,0,0	79,56,66	0,2,1	226	149
183	91,78,138	18,12,14	126,95,107	9,16,8	226	149
186	14,18,12	1,0,0	18,10,12	0,0,0	221	149
189	1934,1611,1432	9,7,3	1635,1947,1664	4,12,8	755	149
190	1,0,2	18,7,7	2,0,6	5,8,8	184	149
191	9469,8509,8639	3,11,4	7662,7411,7522	2,0,3	935	149
192	2074,1938,1790	0,0,0	1755,1837,1842	0,0,3	935	149
193	2,4,0	48,34,35	12,2,4	47,44,53	158	149
194	4,2,5	141,114,124	1,4,4	101,104,102	287	149
195	236,182,231	0,0,1	169,163,165	0,0,0	601	149
196	1,0,2	17,12,12	1,0,0	10,20,15	183	149
197	36,43,38	4,2,0	47,45,37	1,2,1	317	149
201	4,6,12	40,32,46	6,5,5	48,34,37	198	149
202	31,33,46	0,2,4	43,32,41	0,0,0	152	149
205	2905,2575,2123	3,0,4	2346,2799,2545	5,5,5	326	149
206	3,0,0	117,113,72	1,1,1	112,112,108	159	149
208	66,70,81	12,8,14	80,55,74	13,11,16	202	149
209	22,23,20	1,0,0	15,20,16	0,0,0	983	149
210	2,1,0	11,7,11	3,2,4	8,13,6	246	149
211	81,92,78	0,0,0	78,113,38	0,0,1	181	149
212	519,396,433	5,5,5	422,557,394	1,11,7	198	149
213	119,109,126	8,11,10	111,110,112	10,10,12	162	149
214	514,492,375	0,0,0	522,496,542	1,0,0	258	149
215	515,494,380	0,0,0	525,497,542	2,1,2	298	149
216	1,2,5	0,0,0	4,1,0	2,1,2	189	149
217	372,317,295	0,2,5	348,296,292	2,7,2	190	149
219	27,13,11	0,2,5	9,7,13	2,7,2	164	149
220	1,23,7	25,19,26	20,8,9	41,32,41	185	149
221	5250,4368,4021	0,2,0	4554,5688,4578	0,0,0	356	149
222	902,734,716	4,0,5	763,711,693	12,19,8	337	149
223	1,3,5	7,4,2	6,6,9	8,7,0	151	149
224	472,425,393	7,4,2	387,452,503	8,7,0	167	149
225	472,423,390	1,1,2	382,447,496	1,1,2	165	149
226	12,25,8	0,0,0	19,15,6	3,3,8	168	149
227	600,501,528	1,0,0	611,686,562	0,2,0	411	149
228	2650,2251,2195	1,2,0	2144,2133,2139	0,0,0	1737	149
229	321,340,276	1,0,1	335,295,327	0,0,1	327	149
230	323,344,277	3,0,1	338,298,333	0,0,0	332	149
231	3,4,2	3,0,1	3,3,7	0,0,0	154	149
232	260,218,211	1629,1268,1184	205,202,172	1242,1325,1287	821	149
233	445,396,447	2,0,0	309,270,267	0,0,0	1814	149
234	1844,1483,1455	2,0,0	1376,1424,1411	0,0,0	1142	149
235	475,497,479	0,0,0	511,419,497	0,0,1	332	149
237	3,9,7	70,50,58	3,6,10	39,34,45	154	149
238	3321,3360,2961	134,134,148	3240,3286,3413	166,130,121	224	149
239	828,702,735	0,0,2	598,622,617	0,0,0	751	149
241	368,297,281	7,9,4	260,305,250	11,8,2	153	149
242	9,4,6	99,153,146	1,2,3	120,89,95	211	149
243	187,216,215	50,37,37	201,269,212	75,55,57	550	149
244	48,49,67	380,367,369	42,33,40	410,287,351	236	149
248	43,20,23	2,2,0	32,36,46	4,0,2	224	149
249	54,31,30	2,0,0	38,34,33	0,0,1	224	149
253	62,81,101	45,45,34	62,45,58	36,30,54	215	149
254	97,86,80	3,4,2	105,93,88	6,2,0	164	149
256	20,29,17	41,42,34	24,19,18	41,28,34	329	149
258	1,0,0	26,28,16	1,0,0	22,26,22	161	149
259	0,0,0	97,76,92	0,2,0	80,88,72	152	149
260	20,10,20	0,0,2	12,24,13	0,0,0	159	149
262	117,86,112	0,0,2	92,110,85	0,0,0	156	149
265	4,4,4	253,268,235	7,9,5	300,311,263	431	149
266	215,253,238	0,0,4	280,247,267	0,0,0	564	149
267	464,517,469	0,0,4	574,549,525	0,0,0	282	149
269	916,1070,1033	5,6,6	1203,764,1064	13,4,5	270	149
270	36,44,49	0,0,2	63,32,31	0,0,0	335	149
271	3,3,2	5,3,9	3,8,3	8,4,6	153	149
272	1,5,7	5,3,9	6,8,4	8,4,6	160	149
273	21,22,26	5,3,9	24,28,17	8,4,6	193	149
274	0,2,5	2,0,0	3,0,3	0,0,2	156	149
275	20,19,24	2,0,0	21,20,16	0,0,2	189	149
276	20,18,22	0,1,3	18,20,16	0,0,3	182	149
278	210,144,155	0,0,0	149,155,163	1,2,0	184	149
279	180,145,171	0,0,1	178,154,166	0,0,0	785	149
280	53,53,86	669,557,556	69,59,52	618,552,591	277	149
281	12,8,10	351,317,309	11,17,12	373,300,339	153	149
283	16,44,30	127,102,110	20,27,26	101,78,103	182	149
284	10,13,10	58,46,44	31,27,37	39,45,40	321	149
286	75,64,70	0,1,0	85,91,59	0,0,1	174	149
287	33,20,13	62,79,74	20,19,16	91,89,63	424	149
288	14,15,21	1,2,0	18,20,20	0,0,0	157	149
290	2,2,1	18,18,25	0,0,1	42,19,15	228	149
291	162,144,194	18,13,26	183,150,145	23,27,19	223	149
292	409,354,540	167,132,156	480,342,426	112,119,136	257	149
293	265,223,372	167,132,156	320,219,300	112,119,136	183	149
