ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2	1286,1067,1010	2,0,0	1185,1128,1091	0,0,0	2403	149
3	29,18,14	4,0,14	36,13,25	9,2,10	252	149
4	10,5,7	22,16,25	10,7,7	21,27,26	2022	149
5	28,27,43	87,86,100	42,19,68	99,90,85	3144	149
7	0,0,1	2,1,0	0,0,0	6,0,3	714	149
8	54,95,74	431,349,439	69,33,75	345,285,305	2371	149
9	251,259,262	204,262,182	300,225,238	201,202,220	817	149
10	48,46,47	177,196,162	34,38,53	178,145,196	1730	149
11	469,466,448	0,0,0	492,471,517	0,1,2	1192	149
16	2,5,7	15,9,4	10,7,4	21,23,13	322	149
17	0,0,0	8,5,3	1,1,1	15,6,10	286	149
19	19,17,23	0,1,2	19,11,8	3,0,2	512	149
20	4,3,1	2,0,1	6,3,4	0,1,1	652	149
23	317,357,386	19,17,21	279,235,218	15,14,13	1437	149
24	1485,1647,1580	9810,9624,9604	1258,1050,1188	11001,9617,10204	3166	149
25	282,338,255	13803,14187,12595	354,275,300	15984,15015,14694	242	149
31	24,12,13	30,53,36	11,8,17	30,43,53	273	149
35	86,85,66	17,27,7	63,80,84	15,12,12	432	149
36	10,4,11	1,7,1	8,1,13	1,0,1	573	149
38	301,284,299	32,14,17	240,217,255	27,23,25	1336	149
39	158,196,183	4,8,7	242,143,224	10,1,11	752	149
42	190,179,221	9,5,3	176,180,177	6,8,8	3721	149
45	100,76,78	39,51,38	135,75,106	47,46,59	372	149
47	0,0,0	2,0,5	4,0,0	1,0,3	273	149
48	45,26,50	100,95,86	35,31,58	97,67,102	2176	149
49	16,40,35	0,1,0	23,26,29	0,0,0	989	149
50	27,22,13	1,0,4	26,9,7	3,0,0	722	149
52	3,5,8	36,34,60	10,3,2	47,51,37	3944	149
54	5,4,8	294,280,278	5,2,10	260,282,281	1432	149
55	0,1,1	118,83,108	0,4,3	81,82,100	1223	149
56	16,11,28	99,83,65	15,14,27	68,87,66	236	149
58	5,1,11	53,63,20	4,5,4	55,81,55	848	149
59	429,422,320	8,4,9	253,314,260	6,0,9	1045	149
60	17,24,14	37,13,36	24,12,22	25,26,17	503	149
61	18,5,13	120,116,120	5,4,8	136,131,98	293	149
62	10,9,7	3,3,5	4,7,5	2,2,0	689	149
65	36,37,22	117,132,96	39,20,38	104,93,103	231	149
66	0,4,1	0,6,2	1,3,2	5,4,3	253	149
68	16,11,3	28,14,21	12,4,8	18,34,38	256	149
72	14250,14069,11178	44,22,38	13132,13925,13068	26,22,29	236	149
73	2,2,2	0,3,0	4,1,1	1,2,3	324	149
75	1624,1801,2040	0,0,0	1550,1368,1640	0,1,0	3427	149
76	16,27,12	124,108,109	12,7,18	121,91,106	998	149
77	8,18,4	495,457,462	5,4,8	485,485,433	366	149
78	32,19,25	80,72,87	9,13,20	61,76,71	1062	149
79	4,2,7	229,197,207	4,10,8	193,237,235	629	149
80	51,32,43	175,136,175	79,45,83	127,132,149	3186	149
81	82,82,80	692,705,579	134,130,112	589,623,532	373	149
82	5,11,7	11,7,3	27,6,9	11,5,8	744	149
83	15,31,17	527,446,413	38,15,16	442,547,465	929	149
84	28,28,21	175,134,177	39,10,17	138,181,153	294	149
85	658,653,649	1,0,0	1090,1045,1166	0,0,0	1787	149
86	629,623,617	269,219,206	1057,1028,1140	252,242,230	1494	149
87	616,618,609	8,3,3	1046,1017,1124	3,4,7	1463	149
88	616,614,606	2,0,0	1041,1017,1121	0,0,0	1452	149
91	29,32,32	0,0,0	35,19,62	1,1,1	577	149
92	0,0,0	20,14,19	0,0,4	23,33,15	231	149
93	4,2,4	0,0,0	4,0,2	1,0,0	785	149
94	0,3,0	3,2,11	0,0,2	2,3,7	443	149
95	2891,2720,3033	0,0,1	3126,2778,3487	0,0,1	2955	149
96	2849,2661,2977	2031,1829,2418	3060,2726,3437	2217,1777,2063	2924	149
97	2966,2754,3085	2477,2028,2676	3172,2843,3542	2314,2101,2313	2927	149
98	683,537,517	155,147,155	457,590,899	186,184,221	448	149
99	956,819,732	0,0,0	745,891,1118	1,0,2	852	149
100	1331,1133,1158	354,355,269	1042,1198,1378	397,392,447	467	149
101	11,6,23	24,17,11	17,12,4	16,15,12	269	149
102	45,32,36	16,12,3	57,67,58	15,3,9	284	149
103	96,64,81	8,15,10	95,112,88	17,11,7	343	149
104	1,1,0	1,1,1	1,0,0	1,0,0	823	149
105	7,15,8	2,0,2	10,5,5	2,3,0	1632	149
107	110,98,121	178,106,217	102,77,72	137,115,118	632	149
108	14,12,6	6,5,2	10,12,10	3,9,3	255	149
109	32,27,18	256,220,241	33,44,20	208,193,206	357	149
110	4,16,1	24,27,34	5,3,1	16,27,24	714	149
111	7,8,10	0,0,0	6,2,1	0,1,0	2420	149
112	25,41,58	0,0,1	30,60,45	0,0,1	2336	149
114	27,30,21	46,41,34	29,29,34	32,22,33	231	149
115	19,20,25	13,15,9	21,20,10	13,21,16	451	149
116	1,5,8	16,19,21	5,7,8	18,25,10	288	149
117	9,10,13	33,25,15	17,13,14	23,19,27	222	149
118	179,130,171	418,352,316	218,150,207	321,416,352	228	149
119	59,88,59	2,0,3	73,39,57	2,3,1	1381	149
120	63,91,65	0,0,0	83,43,60	0,2,1	1450	149
121	3,6,9	17,13,2	3,13,10	18,19,28	428	149
123	35,25,32	37,29,58	20,33,22	42,35,45	313	149
124	5,5,3	0,0,0	6,9,2	0,1,0	507	149
125	100,99,105	71,41,56	130,118,96	52,53,47	801	149
126	157,125,119	1235,1067,927	116,110,135	1081,1245,1068	371	149
127	41,60,84	0,0,0	31,39,49	0,1,0	742	149
128	4,1,4	3,7,5	1,0,6	6,3,3	897	149
129	257,229,153	5,3,3	244,256,327	11,14,9	1402	149
136	32,35,26	49,67,52	43,52,52	67,45,56	823	149
137	176,177,265	46,60,58	269,201,287	55,42,54	2437	149
139	8,0,5	17,9,16	2,6,1	10,8,15	1560	149
140	812,813,797	575,559,515	909,823,832	560,596,582	1840	149
141	118,117,128	346,353,332	151,133,130	425,386,362	1813	149
142	20,33,31	405,349,360	42,30,28	366,451,384	2362	149
143	19,31,26	2,4,6	40,26,25	11,4,4	2308	149
144	13,24,17	0,0,0	30,20,22	2,0,0	1479	149
145	131,102,128	0,0,0	122,107,169	0,3,3	226	149
146	147,117,149	13,11,7	147,131,185	15,9,6	267	149
148	8,5,4	389,370,316	5,16,7	449,501,382	230	149
149	198,186,225	16,3,11	241,157,228	4,4,19	230	149
150	30,32,28	33,54,54	49,22,53	36,19,31	2365	149
151	12,27,23	336,358,317	10,14,17	310,338,313	629	149
152	211,203,198	32,25,26	284,256,229	40,49,53	1071	149
153	3,15,14	125,112,100	14,9,11	114,127,108	225	149
155	191,252,214	15,10,7	195,179,195	4,7,9	385	149
156	49,46,66	0,0,1	37,72,58	1,0,1	559	149
157	101,73,72	8,13,16	93,80,85	11,6,15	231	149
159	2,0,0	2,0,1	0,3,2	0,1,0	394	149
161	382,320,364	1,0,0	417,378,410	3,0,0	5425	149
162	0,2,7	4,1,3	8,4,2	0,1,2	395	149
163	6,4,14	0,0,1	8,4,4	0,0,0	481	149
164	13,8,20	0,0,1	10,22,6	0,0,0	1013	149
165	10,6,13	6,3,17	2,18,4	0,0,3	600	149
167	24,34,21	846,697,702	23,30,28	766,737,715	235	149
168	0,1,0	2,2,0	0,1,2	0,1,1	784	149
172	101,60,63	2,2,3	84,95,91	0,1,2	632	149
174	0,1,0	2,0,0	0,0,1	0,0,0	348	149
175	13,9,11	0,4,2	14,9,10	3,2,2	424	149
176	0,2,2	17,6,4	6,4,0	11,17,16	365	149
178	11,18,18	89,50,82	36,28,22	52,52,46	632	149
179	2,3,4	47,49,42	10,0,8	34,44,48	348	149
180	2,3,2	0,0,0	2,2,4	0,2,0	395	149
181	2,2,0	6,8,6	1,1,0	14,5,8	360	149
