ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
7643	"ENSG00000183878.15"	"UTY"	chrY	-	13306037	13306253	13306185	13306253	13305398	13305547
7644	"ENSG00000206159.11"	"GYG2P1"	chrY	-	12421439	12421587	12421549	12421587	12420315	12420454
7645	"ENSG00000067646.12"	"ZFY"	chrY	+	2935280	2935635	2935280	2935446	2953908	2953997
7646	"ENSG00000067646.12"	"ZFY"	chrY	+	2935380	2935769	2935380	2935635	2953908	2953997
7647	"ENSG00000214827.11"	"MTCP1"	chrX	-	155070693	155071136	155070948	155071136	155065905	155066057
7648	"ENSG00000214827.11"	"MTCP1"	chrX	-	155070693	155071136	155070963	155071136	155065905	155066057
7649	"ENSG00000214827.11"	"MTCP1"	chrX	-	155070948	155071136	155070963	155071136	155065905	155066057
7650	"ENSG00000182712.16"	"CMC4"	chrX	-	155065485	155065789	155065618	155065789	155063965	155064033
7651	"ENSG00000182712.16"	"CMC4"	chrX	-	155070693	155071136	155070942	155071136	155063965	155064033
7652	"ENSG00000182712.16"	"CMC4"	chrX	-	155070693	155071136	155070948	155071136	155063965	155064033
7653	"ENSG00000182712.16"	"CMC4"	chrX	-	155070693	155071136	155070963	155071136	155063965	155064033
7654	"ENSG00000182712.16"	"CMC4"	chrX	-	155070942	155071136	155070948	155071136	155063965	155064033
7655	"ENSG00000182712.16"	"CMC4"	chrX	-	155070942	155071136	155070963	155071136	155063965	155064033
7656	"ENSG00000182712.16"	"CMC4"	chrX	-	155070948	155071136	155070963	155071136	155063965	155064033
7657	"ENSG00000185010.15"	"F8"	chrX	-	155022409	155022487	155022431	155022487	154999478	154999600
7658	"ENSG00000269335.5"	"IKBKG"	chrX	+	154541198	154541391	154541198	154541386	154551987	154552189
7659	"ENSG00000269335.5"	"IKBKG"	chrX	+	154558531	154558706	154558531	154558650	154560406	154560559
7660	"ENSG00000269335.5"	"IKBKG"	chrX	+	154558531	154558706	154558531	154558650	154561687	154561784
7661	"ENSG00000071889.16"	"FAM3A"	chrX	-	154507401	154507490	154507405	154507490	154507246	154507329
7662	"ENSG00000071889.16"	"FAM3A"	chrX	-	154515909	154516160	154515910	154516160	154515759	154515812
7663	"ENSG00000071889.16"	"FAM3A"	chrX	-	154515909	154516160	154516004	154516160	154515759	154515812
7664	"ENSG00000071889.16"	"FAM3A"	chrX	-	154515910	154516116	154515968	154516116	154515759	154515812
7665	"ENSG00000071889.16"	"FAM3A"	chrX	-	154515910	154516116	154516004	154516116	154515759	154515812
7666	"ENSG00000071889.16"	"FAM3A"	chrX	-	154515968	154516116	154516004	154516116	154515759	154515812
7667	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154463390	154463519	154463390	154463508	154463589	154463690
7668	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154467059	154467471	154467059	154467313	154467544	154467688
7669	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154468081	154468224	154468081	154468134	154468302	154468559
7670	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154468662	154468738	154468662	154468729	154468822	154468969
7671	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154468870	154469215	154468870	154469086	154469378	154469482
7672	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154469416	154469784	154469416	154469482	154469976	154470167
7673	"ENSG00000071859.15"	"FAM50A"	chrX	+	154444140	154444346	154444140	154444340	154445632	154445717
7674	"ENSG00000071859.15"	"FAM50A"	chrX	+	154444140	154444385	154444140	154444340	154445632	154445717
7675	"ENSG00000071859.15"	"FAM50A"	chrX	+	154444140	154444626	154444140	154444340	154445632	154445717
7676	"ENSG00000071859.15"	"FAM50A"	chrX	+	154444140	154444385	154444140	154444346	154445632	154445717
7677	"ENSG00000071859.15"	"FAM50A"	chrX	+	154444140	154444626	154444140	154444346	154445632	154445717
7678	"ENSG00000071859.15"	"FAM50A"	chrX	+	154444140	154444626	154444140	154444385	154445632	154445717
7679	"ENSG00000071859.15"	"FAM50A"	chrX	+	154444458	154444909	154444458	154444626	154445632	154445717
7680	"ENSG00000071859.15"	"FAM50A"	chrX	+	154445442	154445721	154445442	154445713	154445811	154445911
7681	"ENSG00000071859.15"	"FAM50A"	chrX	+	154445632	154445717	154445632	154445713	154445811	154445911
