ID...1	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID...12	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
5	ENSG00000157601	MX1	chr21	+	41445999	41449295	41445999	41446141	41449136	41449295	5	28,27,43	87,86,100	23,35,30	42,28,55	3144	149	0.00101309721713	0.0258520700585	0.015,0.015,0.02	0.025,0.056,0.025	-0.019
20	ENSG00000182093	GET1	chr21	+	39405913	39406731	39405913	39406058	39406561	39406731	20	4,3,1	2,0,1	0,0,0	8,5,2	652	149	0.00125829283912	0.0306320352147	0.314,1.0,0.186	0.0,0.0,0.0	0.5
78	ENSG00000100412	ACO2	chr22	+	41525192	41526453	41525192	41525348	41526261	41526453	78	32,19,25	80,72,87	10,7,15	92,70,62	1062	149	0.000493330526271	0.0151769498825	0.053,0.036,0.039	0.015,0.014,0.033	0.022
114	ENSG00000100429	HDAC10	chr22	-	50245674	50246092	50245674	50245827	50245909	50246092	114	27,30,21	46,41,34	26,39,57	25,23,32	231	149	0.000302528574012	0.0106500934616	0.275,0.321,0.285	0.401,0.522,0.535	-0.192
129	ENSG00000100416	TRMU	chr22	+	46355443	46357337	46355443	46355588	46356841	46357337	129	257,229,153	5,3,3	286,269,302	17,9,16	1402	149	0.000668550569736	0.0189683557198	0.845,0.89,0.844	0.641,0.761,0.667	0.17
155	ENSG00000100360	IFT27	chr22	-	36758210	36764036	36758210	36758409	36763918	36764036	155	265,250,220	0,0,0	281,294,320	6,1,2	5658	149	0.00000179958356827	0.000215197064356	1.0,1.0,1.0	0.552,0.886,0.808	0.251
184	ENSG00000067048	DDX3Y	chrY	+	12914883	12915227	12914883	12914982	12915066	12915227	184	169,137,201	350,482,492	99,77,117	413,415,461	233	149	0.00000762381802955	0.000670143552289	0.236,0.154,0.207	0.133,0.106,0.14	0.073
225	ENSG00000170889	RPS9	chr19	+	54206275	54206724	54206275	54206462	54206552	54206724	225	132,102,82	34,36,37	110,96,124	15,21,22	239	149	0.00125814526568	0.0306320352147	0.708,0.639,0.58	0.821,0.74,0.778	-0.137
226	ENSG00000170889	RPS9	chr19	+	54206552	54207647	54206552	54206724	54207397	54207647	226	222,181,205	101,98,89	204,182,257	42,34,66	822	149	0.000000058577267481	0.0000112358275477	0.285,0.251,0.295	0.468,0.492,0.414	-0.181
252	ENSG00000132024	CC2D1A	chr19	+	13926977	13928030	13926977	13927077	13927892	13928030	252	248,207,226	4,0,5	200,212,232	11,8,7	964	149	0.00127139619905	0.030819765368	0.906,1.0,0.875	0.738,0.804,0.837	0.134
258	ENSG00000011243	AKAP8L	chr19	-	15397713	15398766	15397713	15397855	15398629	15398766	258	260,281,274	122,95,94	193,179,226	115,94,165	923	149	0.0000886513548879	0.00426541367457	0.256,0.323,0.32	0.213,0.235,0.181	0.09
274	ENSG00000125656	CLPP	chr19	+	6361868	6362542	6361868	6361940	6362445	6362542	274	32,28,39	398,352,449	38,53,50	288,250,347	654	149	0.0000365111548754	0.00223924636553	0.018,0.018,0.019	0.029,0.046,0.032	-0.017
283	ENSG00000071564	TCF3	chr19	-	1615284	1615821	1615284	1615515	1615685	1615821	283	102,93,146	2,8,3	85,97,108	1,0,2	319	149	0.00223587574985	0.045449024844	0.96,0.844,0.958	0.975,1.0,0.962	-0.058
301	ENSG00000129351	ILF3	chr19	+	10681218	10682192	10681218	10681329	10681992	10682192	301	1008,935,954	680,681,794	904,1099,1194	485,529,672	812	149	0.000171883691146	0.00699777192728	0.214,0.201,0.181	0.255,0.276,0.246	-0.06
331	ENSG00000123815	COQ8B	chr19	-	40716586	40716882	40716586	40716703	40716861	40716882	331	3,3,1	13,17,11	15,1,3	6,3,5	307	149	0.0019835788417	0.0418765639837	0.101,0.079,0.042	0.548,0.139,0.226	-0.23
349	ENSG00000142541	RPL13A	chr19	+	49489849	49490864	49489849	49489922	49490778	49490864	349	1634,1670,1220	0,0,0	1642,1549,1827	0,0,27	1005	149	0.0000274658353374	0.00181300438424	1.0,1.0,1.0	1.0,1.0,0.909	0.03
354	ENSG00000142541	RPL13A	chr19	+	49489849	49491547	49489849	49490864	49491424	49491547	354	814,809,772	17,5,14	825,781,881	9,0,0	709	149	0.00000732671031689	0.000650302425021	0.91,0.971,0.921	0.951,1.0,1.0	-0.05
375	ENSG00000099860	GADD45B	chr19	+	2476355	2476630	2476355	2476431	2476528	2476630	375	1,6,1	10,1,3	6,5,7	4,0,0	246	149	0.00192584331986	0.0412289154169	0.057,0.784,0.168	0.476,1.0,1.0	-0.489
391	ENSG00000142546	NOSIP	chr19	-	49557089	49558978	49557089	49558199	49558896	49558978	391	32,20,18	3,1,6	29,20,10	1,0,0	846	149	0.0000125191356133	0.000967018637373	0.653,0.779,0.346	0.836,1.0,1.0	-0.353
394	ENSG00000104872	PIH1D1	chr19	-	49447826	49448010	49447826	49447908	49448000	49448010	394	58,23,44	470,465,400	75,68,62	472,418,508	241	149	0.00141093105124	0.0331342723455	0.071,0.03,0.064	0.089,0.091,0.07	-0.028
438	ENSG00000130813	SHFL	chr19	+	10089110	10089378	10089110	10089208	10089306	10089378	438	23,22,18	39,54,38	13,13,16	14,9,9	247	149	0.00123810135585	0.0302574982201	0.262,0.197,0.222	0.359,0.466,0.517	-0.22
