ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
6	"ENSG00000231535.7"	"LINC00278"	chrY	+	3096994	3097056	3096997	3097056	3058656	3058784
45	"ENSG00000102081.14"	"FMR1"	chrX	+	147944868	147945051	147944943	147945051	147911950	147912230
47	"ENSG00000102081.14"	"FMR1"	chrX	+	147944868	147945051	147944943	147945051	147940575	147940662
54	"ENSG00000147274.14"	"RBMX"	chrX	-	136879016	136879453	136879016	136879123	136880596	136880722
60	"ENSG00000125676.20"	"THOC2"	chrX	-	123600568	123603748	123600568	123601338	123613398	123613556
61	"ENSG00000125676.20"	"THOC2"	chrX	-	123619400	123619517	123619400	123619436	123620092	123620205
62	"ENSG00000125676.20"	"THOC2"	chrX	-	123619400	123619517	123619400	123619436	123620187	123620670
67	"ENSG00000077713.19"	"SLC25A43"	chrX	+	119451849	119452143	119452008	119452143	119410189	119410362
68	"ENSG00000077713.19"	"SLC25A43"	chrX	+	119451849	119452143	119452008	119452143	119426181	119426354
89	"ENSG00000123562.17"	"MORF4L2"	chrX	-	103678498	103678620	103678498	103678600	103685170	103685260
91	"ENSG00000123562.17"	"MORF4L2"	chrX	-	103678498	103678651	103678498	103678620	103685170	103685260
101	"ENSG00000196440.11"	"ARMCX4"	chrX	+	101486022	101486092	101486025	101486092	101418909	101419000
102	"ENSG00000196440.11"	"ARMCX4"	chrX	+	101486022	101486092	101486025	101486092	101445997	101446044
117	"ENSG00000225470.8"	"JPX"	chrX	+	73999354	74000496	73999608	74000496	73944583	73944662
120	"ENSG00000225470.8"	"JPX"	chrX	+	73999354	74000496	73999608	74000496	73962734	73962801
121	"ENSG00000225470.8"	"JPX"	chrX	+	73994839	73994961	73994863	73994961	73984443	73984541
142	"ENSG00000184634.16"	"MED12"	chrX	+	71137557	71137635	71137560	71137635	71137186	71137392
180	"ENSG00000147155.11"	"EBP"	chrX	+	48523698	48524072	48523753	48524072	48522192	48522252
181	"ENSG00000147155.11"	"EBP"	chrX	+	48523698	48524072	48523922	48524072	48522192	48522252
182	"ENSG00000147155.11"	"EBP"	chrX	+	48523753	48524072	48523922	48524072	48522192	48522252
187	"ENSG00000102226.9"	"USP11"	chrX	+	47239350	47239907	47239789	47239907	47239069	47239179
194	"ENSG00000047634.15"	"SCML1"	chrX	+	17746014	17746098	17746017	17746098	17744070	17744219
195	"ENSG00000047634.15"	"SCML1"	chrX	+	17746014	17746098	17746017	17746098	17745455	17745539
202	"ENSG00000046651.15"	"OFD1"	chrX	+	13752703	13753441	13753367	13753441	13749426	13749533
212	"ENSG00000234129.8"	"AC073529.1"	chrX	-	11055935	11056041	11055935	11056036	11106900	11106990
225	"ENSG00000100239.16"	"PPP6R2"	chr22	+	50419345	50419462	50419348	50419462	50416091	50416157
232	"ENSG00000128159.12"	"TUBGCP6"	chr22	-	50219956	50221874	50219956	50220015	50222027	50222102
253	"ENSG00000100395.15"	"L3MBTL2"	chr22	+	41227088	41227869	41227803	41227869	41226661	41226744
260	"ENSG00000198792.13"	"TMEM184B"	chr22	-	38231243	38231399	38231243	38231334	38245934	38246100
280	"ENSG00000198089.16"	"SFI1"	chr22	+	31604868	31606430	31606327	31606430	31602211	31602293
281	"ENSG00000198089.16"	"SFI1"	chr22	+	31604868	31606430	31606327	31606430	31604308	31604404
285	"ENSG00000183963.18"	"SMTN"	chr22	+	31082909	31083002	31082915	31083002	31080675	31080754
291	"ENSG00000183963.18"	"SMTN"	chr22	+	31099061	31099896	31099744	31099896	31098666	31098840
319	"ENSG00000180957.18"	"PITPNB"	chr22	-	27896551	27896634	27896551	27896626	27897800	27897892
323	"ENSG00000100109.17"	"TFIP11"	chr22	-	26510616	26510692	26510616	26510667	26512098	26512175
324	"ENSG00000100109.17"	"TFIP11"	chr22	-	26510616	26510702	26510616	26510667	26512098	26512175
336	"ENSG00000100031.19"	"GGT1"	chr22	+	24609961	24610033	24609964	24610033	24603183	24603335
338	"ENSG00000100031.19"	"GGT1"	chr22	+	24610249	24610531	24610357	24610531	24607953	24608023
339	"ENSG00000100031.19"	"GGT1"	chr22	+	24609961	24610033	24609964	24610033	24608989	24609231
340	"ENSG00000100031.19"	"GGT1"	chr22	+	24610249	24610531	24610357	24610531	24608989	24609231
349	"ENSG00000131002.12"	"TXLNGY"	chrY	+	19593398	19597665	19597590	19597665	19567349	19567570
