ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
3	"ENSG00000215424"	"MCM3AP-AS1"	chr21	+	46240833	46242999	46240836	46242999	46236223	46236326
5	"ENSG00000157578"	"LCA5L"	chr21	-	39429130	39429394	39429130	39429211	39444134	39444201
7	"ENSG00000157601"	"MX1"	chr21	+	41421837	41422095	41421974	41422095	41420609	41420817
12	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45269838	45270019
15	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44316243	44316339	44313637	44313682
25	"ENSG00000205581"	"HMGN1"	chr21	-	39347378	39347483	39347378	39347478	39347915	39347952
27	"ENSG00000205581"	"HMGN1"	chr21	-	39345145	39348339	39345145	39345274	39348421	39348451
28	"ENSG00000205581"	"HMGN1"	chr21	-	39348421	39348577	39348421	39348451	39348902	39349054
33	"ENSG00000185917"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36059821	36060242
41	"ENSG00000160298"	"C21orf58"	chr21	-	46301129	46302154	46301129	46301713	46302484	46302576
54	"ENSG00000205622"	NA	chr21	-	38923637	38923784	38923637	38923693	38926024	38926305
57	"ENSG00000241837"	"ATP5PO"	chr21	-	33906448	33907453	33906448	33906500	33909081	33909211
61	"ENSG00000237945"	"LINC00649"	chr21	+	33969236	33969598	33969240	33969598	33945809	33945895
62	"ENSG00000237945"	"LINC00649"	chr21	+	33969236	33969598	33969240	33969598	33967281	33967518
76	"ENSG00000100221"	"JOSD1"	chr22	-	38699802	38700618	38699802	38700123	38700799	38700943
77	"ENSG00000100221"	"JOSD1"	chr22	-	38699802	38700618	38699802	38700123	38700903	38700930
83	"ENSG00000100038"	"TOP3B"	chr22	-	21975639	21975807	21975639	21975744	21975980	21976187
102	"ENSG00000100412"	"ACO2"	chr22	+	41527287	41528022	41527900	41528022	41526261	41526453
104	"ENSG00000239900"	"ADSL"	chr22	+	40349831	40353117	40353072	40353117	40346528	40346656
105	"ENSG00000239900"	"ADSL"	chr22	+	40349831	40353117	40353072	40353117	40346528	40346711
107	"ENSG00000239900"	"ADSL"	chr22	+	40361487	40363071	40362980	40363071	40361272	40361342
