ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000228927.10"	"TSPY3"	chrY	+	9398466	9398952	9398466	9398553	9398814	9398952
1	"ENSG00000168757.12"	"TSPY2"	chrY	+	6246222	6246754	6246222	6246355	6246616	6246754
2	"ENSG00000182378.14_PAR_Y"	"PLCXD1"	chrY	+	299096	303353	299096	299465	302836	303353
3	"ENSG00000182484.15"	"WASH6P"	chrX	+	156021998	156022459	156021998	156022145	156022313	156022459
4	"ENSG00000182484.15"	"WASH6P"	chrX	+	156021998	156022459	156021998	156022145	156022322	156022459
5	"ENSG00000182484.15"	"WASH6P"	chrX	+	156022313	156022834	156022313	156022459	156022698	156022834
6	"ENSG00000182484.15"	"WASH6P"	chrX	+	156022322	156022834	156022322	156022539	156022698	156022834
7	"ENSG00000184033.13"	"CTAG1B"	chrX	-	154617608	154618273	154617608	154617899	154618138	154618273
8	"ENSG00000071889.16"	"FAM3A"	chrX	-	154515759	154516242	154515759	154515812	154515909	154516242
9	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154449882	154449931
10	"ENSG00000102125.16"	"TAZ"	chrX	+	154412085	154413567	154412085	154412214	154413206	154413567
11	"ENSG00000102125.16"	"TAZ"	chrX	+	154413206	154413567	154413206	154413252	154413481	154413567
12	"ENSG00000102125.16"	"TAZ"	chrX	+	154413206	154413567	154413206	154413339	154413481	154413567
13	"ENSG00000102125.16"	"TAZ"	chrX	+	154413206	154413567	154413206	154413352	154413481	154413567
14	"ENSG00000102125.16"	"TAZ"	chrX	+	154413206	154413567	154413206	154413358	154413481	154413567
15	"ENSG00000102125.16"	"TAZ"	chrX	+	154419542	154419746	154419542	154419623	154419704	154419746
16	"ENSG00000102125.16"	"TAZ"	chrX	+	154419542	154420094	154419542	154419623	154420031	154420094
17	"ENSG00000102125.16"	"TAZ"	chrX	+	154419542	154420094	154419542	154419746	154420031	154420094
18	"ENSG00000102125.16"	"TAZ"	chrX	+	154420031	154420264	154420031	154420094	154420211	154420264
19	"ENSG00000102125.16"	"TAZ"	chrX	+	154420902	154421706	154420902	154421136	154421256	154421706
20	"ENSG00000102032.13"	"RENBP"	chrX	-	153944079	153944418	153944079	153944155	153944308	153944418
21	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932070	153932115	153932315	153932431
22	"ENSG00000089820.15"	"ARHGAP4"	chrX	-	153910170	153910611	153910170	153910404	153910505	153910611
23	"ENSG00000089820.15"	"ARHGAP4"	chrX	-	153913217	153913600	153913217	153913302	153913408	153913600
24	"ENSG00000180879.14"	"SSR4"	chrX	+	153798070	153798493	153798070	153798136	153798328	153798493
25	"ENSG00000184343.11"	"SRPK3"	chrX	+	153781115	153781346	153781115	153781145	153781282	153781346
26	"ENSG00000184343.11"	"SRPK3"	chrX	+	153783973	153784213	153783973	153784021	153784120	153784213
27	"ENSG00000184343.11"	"SRPK3"	chrX	+	153783973	153784213	153783973	153784024	153784120	153784213
28	"ENSG00000198753.12"	"PLXNB3"	chrX	+	153777527	153778095	153777527	153777688	153777947	153778095
29	"ENSG00000130822.15"	"PNCK"	chrX	-	153671284	153671672	153671284	153671360	153671548	153671672
30	"ENSG00000130822.15"	"PNCK"	chrX	-	153671284	153671672	153671284	153671433	153671552	153671672
31	"ENSG00000130822.15"	"PNCK"	chrX	-	153671879	153672200	153671879	153672018	153672125	153672200
32	"ENSG00000130822.15"	"PNCK"	chrX	-	153672565	153673078	153672565	153672666	153673008	153673078
33	"ENSG00000130822.15"	"PNCK"	chrX	-	153672565	153673078	153672565	153672697	153673008	153673078
34	"ENSG00000130822.15"	"PNCK"	chrX	-	153672565	153673078	153672565	153672784	153673008	153673078
35	"ENSG00000063587.14"	"ZNF275"	chrX	+	153346818	153352926	153346818	153347655	153347753	153352926
36	"ENSG00000183305.13"	"MAGEA2B"	chrX	+	152714846	152715157	152714846	152714928	152715078	152715157
37	"ENSG00000124260.12"	"MAGEA10"	chrX	-	152135760	152136080	152135760	152135834	152135989	152136080
38	"ENSG00000124260.12"	"MAGEA10"	chrX	-	152135760	152136080	152135760	152135834	152136061	152136080
39	"ENSG00000166049.11"	"PASD1"	chrX	+	151672182	151674186	151672182	151672661	151673927	151674186
40	"ENSG00000235703.6"	"LINC00894"	chrX	+	149945347	149948175	149945347	149945677	149945783	149948175
41	"ENSG00000203930.12"	"LINC00632"	chrX	+	140711620	140716289	140711620	140711656	140713516	140716289
42	"ENSG00000203930.12"	"LINC00632"	chrX	+	140772077	140775905	140772077	140774307	140774402	140775905
43	"ENSG00000147274.14"	"RBMX"	chrX	-	136872267	136875168	136872267	136872345	136875085	136875168
44	"ENSG00000147274.14"	"RBMX"	chrX	-	136879016	136879453	136879016	136879123	136879318	136879453
45	"ENSG00000147274.14"	"RBMX"	chrX	-	136879016	136879453	136879016	136879158	136879318	136879453
46	"ENSG00000198689.11"	"SLC9A6"	chrX	+	135985434	135985827	135985434	135985477	135985602	135985827
47	"ENSG00000165359.15"	"INTS6L"	chrX	+	135569336	135573033	135569336	135569431	135572814	135573033
48	"ENSG00000134597.16"	"RBMX2"	chrX	+	130411347	130411525	130411347	130411506	130411507	130411525
49	"ENSG00000102034.16"	"ELF4"	chrX	-	130069299	130069677	130069299	130069482	130069484	130069677
50	"ENSG00000102034.16"	"ELF4"	chrX	-	130081255	130081539	130081255	130081312	130081436	130081539
51	"ENSG00000125351.11"	"UPF3B"	chrX	-	119837756	119837932	119837756	119837916	119837920	119837932
52	"ENSG00000101843.19"	"PSMD10"	chrX	-	108087952	108088099	108087952	108087972	108088095	108088099
53	"ENSG00000188828.11"	"GLRA4"	chrX	-	103723855	103724301	103723855	103723938	103724077	103724301
54	"ENSG00000284800.1"	"AC235565.2"	chrX	-	102369585	102370152	102369585	102369736	102369962	102370152
55	"ENSG00000196440.11"	"ARMCX4"	chrX	+	101531643	101533459	101531643	101532012	101533083	101533459
56	"ENSG00000126953.8"	"TIMM8A"	chrX	-	101345660	101348401	101345660	101346660	101348060	101348401
57	"ENSG00000147180.16"	"ZNF711"	chrX	+	85246929	85247651	85246929	85247183	85247546	85247651
58	"ENSG00000187325.5"	"TAF9B"	chrX	-	78137748	78138098	78137748	78137883	78137961	78138098
59	"ENSG00000225470.8"	"JPX"	chrX	+	73944338	73944662	73944338	73944465	73944583	73944662
60	"ENSG00000225470.8"	"JPX"	chrX	+	73998767	74000496	73998767	73998844	73998953	74000496
61	"ENSG00000225470.8"	"JPX"	chrX	+	73998953	73999669	73998953	73999051	73999185	73999669
62	"ENSG00000225470.8"	"JPX"	chrX	+	73998767	74000496	73998767	73998844	73999354	74000496
63	"ENSG00000269502.5"	"DMRTC1"	chrX	-	72873549	72873942	72873549	72873697	72873881	72873942
64	"ENSG00000147099.21"	"HDAC8"	chrX	-	72329567	72330876	72329567	72330076	72330815	72330876
65	"ENSG00000147099.21"	"HDAC8"	chrX	-	72567581	72568030	72567581	72567796	72567888	72568030
66	"ENSG00000147162.14"	"OGT"	chrX	+	71544566	71548023	71544566	71544635	71547906	71548023
67	"ENSG00000147140.16"	"NONO"	chrX	+	71297835	71298508	71297835	71297938	71298468	71298508
68	"ENSG00000196338.12"	"NLGN3"	chrX	+	71167010	71167800	71167010	71167399	71167400	71167800
69	"ENSG00000184634.16"	"MED12"	chrX	+	71137725	71137943	71137725	71137780	71137855	71137943
70	"ENSG00000120509.10"	"PDZD11"	chrX	-	70289254	70289593	70289254	70289354	70289521	70289593
71	"ENSG00000169083.17"	"AR"	chrX	+	67680719	67681003	67680719	67680751	67680754	67681003
72	"ENSG00000126970.16"	"ZC4H2"	chrX	-	64919041	64919204	64919041	64919063	64919192	64919204
73	"ENSG00000235437.8"	"LINC01278"	chrX	-	63238992	63239830	63238992	63239059	63239786	63239830
74	"ENSG00000204271.13"	"SPIN3"	chrX	-	56978291	56978660	56978291	56978417	56978579	56978660
75	"ENSG00000204271.13"	"SPIN3"	chrX	-	56978291	56978660	56978291	56978421	56978579	56978660
76	"ENSG00000204271.13"	"SPIN3"	chrX	-	56978291	56978660	56978291	56978498	56978579	56978660
77	"ENSG00000204271.13"	"SPIN3"	chrX	-	56993786	56994949	56993786	56993888	56994722	56994949
78	"ENSG00000102349.18"	"KLF8"	chrX	+	56265179	56269489	56265179	56265744	56269377	56269489
79	"ENSG00000158578.21"	"ALAS2"	chrX	-	55020319	55020504	55020319	55020329	55020445	55020504
80	"ENSG00000067445.21"	"TRO"	chrX	+	54926582	54927105	54926582	54926625	54927042	54927105
81	"ENSG00000067445.21"	"TRO"	chrX	+	54928602	54928710	54928602	54928668	54928669	54928710
82	"ENSG00000067445.21"	"TRO"	chrX	+	54928602	54931031	54928602	54928710	54930740	54931031
83	"ENSG00000179222.17"	"MAGED1"	chrX	+	51897794	51898193	51897794	51897886	51898113	51898193
