ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
2	"ENSG00000183878.15"	"UTY"	chrY	-	13335562	13336335	13354785	13354833	13326220	13326350	13355002	13355398
7	"ENSG00000185973.11"	"TMLHE"	chrX	-	155524455	155524632	155545095	155545277	155513985	155514265	155612791	155612877
8	"ENSG00000269335.5"	"IKBKG"	chrX	+	154558531	154558650	154560406	154560559	154556164	154556376	154561687	154561784
9	"ENSG00000169057.22"	"MECP2"	chrX	-	154056940	154057254	154057742	154057842	154032206	154032557	154058398	154060358
11	"ENSG00000067829.19"	"IDH3G"	chrX	-	153790563	153790575	153790809	153790851	153789837	153790292	153794245	153794325
12	"ENSG00000067829.19"	"IDH3G"	chrX	-	153790563	153790575	153790795	153790851	153790194	153790292	153794245	153794356
13	"ENSG00000067829.19"	"IDH3G"	chrX	-	153790563	153790575	153790809	153790971	153790194	153790292	153794245	153794356
14	"ENSG00000063601.17"	"MTMR1"	chrX	+	150699194	150699300	150718624	150718700	150693365	150693676	150727214	150727309
19	"ENSG00000235703.6"	"LINC00894"	chrX	+	149942183	149942329	149943650	149943762	149941789	149941847	149944017	149944100
23	"ENSG00000147274.14"	"RBMX"	chrX	-	136875470	136875585	136876502	136876655	136875257	136875383	136877914	136878086
24	"ENSG00000147274.14"	"RBMX"	chrX	-	136875470	136875585	136876502	136876655	136875257	136875383	136879016	136879123
25	"ENSG00000147274.14"	"RBMX"	chrX	-	136876502	136876655	136877914	136878086	136875470	136875585	136879016	136879123
26	"ENSG00000134602.16"	"STK26"	chrX	+	132054630	132054861	132063432	132063489	132023507	132023659	132068214	132068323
27	"ENSG00000134597.16"	"RBMX2"	chrX	+	130403801	130403853	130409256	130409386	130402000	130402370	130411347	130411524
28	"ENSG00000101972.18"	"STAG2"	chrX	+	124077956	124078058	124081379	124081528	124076331	124076471	124083420	124083549
29	"ENSG00000101972.18"	"STAG2"	chrX	+	124081379	124081528	124083420	124083549	124077956	124078058	124086546	124086770
30	"ENSG00000101966.12"	"XIAP"	chrX	+	123891237	123891316	123892730	123892773	123888618	123888718	123900492	123900693
31	"ENSG00000125676.20"	"THOC2"	chrX	-	123613398	123613556	123613638	123613708	123611439	123611516	123614051	123614189
33	"ENSG00000158290.16"	"CUL4B"	chrX	-	120532421	120532594	120534480	120534586	120530101	120530254	120535829	120535943
34	"ENSG00000125351.11"	"UPF3B"	chrX	-	119841734	119841778	119843190	119843301	119841075	119841258	119845197	119845254
35	"ENSG00000125351.11"	"UPF3B"	chrX	-	119843190	119843301	119845197	119845296	119841734	119841778	119851494	119851601
36	"ENSG00000125351.11"	"UPF3B"	chrX	-	119845197	119845296	119851494	119851601	119843190	119843301	119851766	119851873
37	"ENSG00000018610.14"	"CXorf56"	chrX	-	119542504	119542594	119560267	119560385	119541327	119541420	119565231	119565401
38	"ENSG00000018610.14"	"CXorf56"	chrX	-	119544352	119544491	119545462	119545504	119542504	119542594	119560267	119560385
39	"ENSG00000131725.14"	"WDR44"	chrX	+	118387339	118387414	118392631	118393271	118378418	118378452	118394054	118394185
40	"ENSG00000131725.14"	"WDR44"	chrX	+	118436701	118436824	118441367	118441559	118432780	118432894	118442243	118442345
44	"ENSG00000101901.12"	"ALG13"	chrX	+	111689086	111689197	111708964	111709048	111684964	111685103	111711674	111711725
45	"ENSG00000101901.12"	"ALG13"	chrX	+	111689086	111689197	111711674	111711725	111684964	111685103	111712483	111712530
46	"ENSG00000101901.12"	"ALG13"	chrX	+	111713224	111713297	111717845	111717927	111708964	111709048	111718111	111718274
47	"ENSG00000101901.12"	"ALG13"	chrX	+	111721602	111721711	111723797	111723898	111720094	111720170	111724933	111725061
48	"ENSG00000101901.12"	"ALG13"	chrX	+	111727331	111727445	111727613	111727770	111726808	111727055	111728184	111728270
49	"ENSG00000101901.12"	"ALG13"	chrX	+	111727613	111727770	111728184	111728305	111727331	111727445	111730394	111730427
52	"ENSG00000123562.17"	"MORF4L2"	chrX	-	103678498	103678620	103684680	103684729	103676825	103677051	103685170	103685260
54	"ENSG00000196440.11"	"ARMCX4"	chrX	+	101444051	101444155	101486022	101486092	101418909	101419000	101487192	101487272
55	"ENSG00000241343.9"	"RPL36A"	chrX	+	101391754	101391822	101395334	101395457	101391113	101391564	101395727	101395795
56	"ENSG00000147202.18"	"DIAPH2"	chrX	+	96758153	96758258	96763099	96763120	96738585	96738762	96881578	96881718
59	"ENSG00000102390.11"	"PBDC1"	chrX	+	76173584	76173650	76174889	76174949	76173039	76173168	76175472	76175613
60	"ENSG00000102390.11"	"PBDC1"	chrX	+	76174889	76174949	76175472	76175613	76173584	76173650	76176880	76176992
61	"ENSG00000131269.19"	"ABCB7"	chrX	-	75069006	75069136	75069290	75069454	75065069	75065241	75070364	75070522
91	"ENSG00000147099.21"	"HDAC8"	chrX	-	72488932	72489041	72495155	72495268	72464558	72464731	72567888	72568030
92	"ENSG00000147099.21"	"HDAC8"	chrX	-	72488932	72489041	72495155	72495268	72473415	72474729	72567888	72568030
94	"ENSG00000147099.21"	"HDAC8"	chrX	-	72495155	72495268	72567888	72568030	72488932	72489041	72572056	72572109
97	"ENSG00000147099.21"	"HDAC8"	chrX	-	72567888	72568030	72568753	72568884	72495155	72495268	72572650	72572843
98	"ENSG00000147099.21"	"HDAC8"	chrX	-	72567888	72568030	72572056	72572109	72495155	72495268	72572650	72572843
99	"ENSG00000147099.21"	"HDAC8"	chrX	-	72568753	72568884	72572056	72572109	72495155	72495268	72572650	72572843
100	"ENSG00000285547.1"	"AL133500.1"	chrX	-	72568753	72568884	72572056	72572109	72567888	72568030	72572650	72572843
101	"ENSG00000147140.16"	"NONO"	chrX	+	71294226	71294348	71296564	71296660	71291778	71291972	71296850	71297047
105	"ENSG00000165591.6"	"FAAH2"	chrX	+	57331597	57331807	57341270	57341390	57310592	57310729	57378650	57378786
107	"ENSG00000072501.17"	"SMC1A"	chrX	-	53383096	53383253	53394777	53394888	53382505	53382660	53396226	53396378
108	"ENSG00000072501.17"	"SMC1A"	chrX	-	53403776	53403893	53405011	53405149	53403565	53403672	53405244	53405391
109	"ENSG00000072501.17"	"SMC1A"	chrX	-	53414757	53414870	53421894	53422040	53413231	53413435	53422491	53422728
110	"ENSG00000126756.12"	"UXT"	chrX	-	47657182	47657290	47657571	47657639	47652080	47652144	47657781	47657863
111	"ENSG00000069509.6"	"FUNDC1"	chrX	-	44527236	44527365	44538466	44538542	44523638	44524275	44541944	44542101
113	"ENSG00000147044.21"	"CASK"	chrX	-	41787177	41787283	41853114	41853227	41745523	41745601	41922929	41923007
117	"ENSG00000156313.14"	"RPGR"	chrX	-	38287093	38287245	38287860	38288041	38276586	38276772	38290958	38291024
