ID...1	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID...14	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
13	ENSG00000157578	LCA5L	chr21	-	39429130	39429394	39435419	39435542	39423419	39423490	39444134	39444201	13	2,2,2	1,1,0	0,10,2	4,4,1	272	298	0.00159389508482	0.0312334445211	0.687,0.687,1.0	0.0,0.733,0.687	0.318
42	ENSG00000205581	HMGN1	chr21	-	39345829	39345958	39347378	39347478	39345145	39345274	39348291	39348339	42	181,159,173	603,679,545	126,119,148	699,637,680	249	278	0.000809051731328	0.0184522701325	0.251,0.207,0.262	0.168,0.173,0.195	0.061
43	ENSG00000205581	HMGN1	chr21	-	39345829	39345958	39347378	39347483	39345145	39345274	39348291	39348339	43	298,244,270	603,679,545	200,162,231	699,637,680	254	278	0.000054516541791	0.00215752331914	0.351,0.282,0.352	0.238,0.218,0.271	0.086
44	ENSG00000205581	HMGN1	chr21	-	39345829	39345958	39347915	39347952	39345145	39345274	39348291	39348339	44	104,107,123	603,679,545	66,56,70	699,637,680	186	278	0.000000141965493028	0.0000155938309864	0.205,0.191,0.252	0.124,0.116,0.133	0.092
47	ENSG00000205581	HMGN1	chr21	-	39347246	39347292	39347915	39347952	39345145	39345274	39348291	39348339	47	104,107,123	10,10,9	66,56,70	10,13,18	186	195	0.000815044345395	0.0185444601283	0.916,0.918,0.935	0.874,0.819,0.803	0.091
60	ENSG00000183844	FAM3B	chr21	+	41345685	41345736	41346208	41346407	41338377	41338501	41347012	41347100	60	20,10,15	9,9,6	11,11,14	22,26,18	200	298	0.000422326916412	0.0110985663255	0.768,0.623,0.788	0.427,0.387,0.537	0.276
115	ENSG00000286129	NA	chr22	+	22307532	22307591	22308696	22308819	22307105	22307245	22309735	22309883	115	2,4,4	16,9,23	1,2,0	12,29,19	208	272	0.00235799287507	0.0420111087348	0.14,0.368,0.185	0.098,0.083,0.0	0.171
121	ENSG00000100207	TCF20	chr22	-	42179608	42179702	42209650	42215341	42169846	42169896	42270338	42270653	121	35,31,51	142,157,152	19,29,21	162,151,165	298	243	0.00113789849525	0.0240542753913	0.167,0.139,0.215	0.087,0.135,0.094	0.068
146	ENSG00000182944	EWSR1	chr22	+	29273737	29273864	29278130	29278216	29272379	29272431	29282389	29282557	146	46,133,94	330,319,284	121,133,137	295,298,274	276	235	0.00282025169742	0.0478425502885	0.106,0.262,0.22	0.259,0.275,0.299	-0.082
167	ENSG00000198911	SREBF2	chr22	+	41877941	41878123	41878658	41878758	41877228	41877421	41880715	41880992	167	175,177,210	4,8,10	138,166,171	2,1,3	298	249	0.00213642275535	0.0389790532883	0.973,0.949,0.946	0.983,0.993,0.979	-0.029
177	ENSG00000183597	TANGO2	chr22	+	20043354	20043443	20052464	20052584	20036758	20036854	20055942	20056013	177	48,38,62	22,17,30	35,45,29	27,39,33	238	269	0.00207920704001	0.038222782136	0.711,0.716,0.7	0.594,0.566,0.498	0.156
180	ENSG00000183597	TANGO2	chr22	+	20053436	20053551	20055942	20056013	20052464	20052584	20063337	20063442	180	46,48,52	39,21,39	38,22,28	38,48,49	264	220	0.00130026202799	0.0267283440555	0.496,0.656,0.526	0.455,0.276,0.323	0.208
189	ENSG00000100401	RANGAP1	chr22	-	41256190	41256290	41256710	41256824	41256020	41256105	41257947	41258106	189	388,288,418	3057,3072,2638	230,263,290	2769,2638,3175	263	249	0.00119169394947	0.0249465215036	0.107,0.082,0.13	0.073,0.086,0.08	0.027
191	ENSG00000100401	RANGAP1	chr22	-	41257947	41258106	41261445	41261580	41256190	41256290	41264663	41264843	191	115,119,137	1,2,3	94,95,89	12,4,4	284	298	0.000189691339792	0.00591401912993	0.992,0.984,0.98	0.892,0.961,0.959	0.048
194	ENSG00000100416	TRMU	chr22	+	46346421	46346544	46350345	46350463	46337778	46337944	46352120	46352174	194	105,83,105	217,195,165	54,60,78	189,186,219	272	267	0.00116653685588	0.0244992970159	0.322,0.295,0.384	0.219,0.24,0.259	0.094
195	ENSG00000100416	TRMU	chr22	+	46346421	46346544	46350349	46350463	46337778	46337944	46352120	46352174	195	105,83,105	217,195,166	54,60,78	187,185,219	272	263	0.00131181046197	0.0268915593242	0.319,0.292,0.379	0.218,0.239,0.256	0.092
268	ENSG00000228315	GUSBP11	chr22	-	23659864	23660000	23683724	23683867	23638486	23638942	23690235	23690356	268	11,5,2	8,8,10	3,1,0	22,7,14	292	285	0.000231181195986	0.00693407599019	0.573,0.379,0.163	0.117,0.122,0.0	0.292
269	ENSG00000228315	GUSBP11	chr22	-	23659864	23660000	23683724	23683867	23638486	23638942	23695172	23695517	269	5,2,1	8,8,7	2,0,0	19,9,11	292	285	0.000394499221478	0.0105716140984	0.379,0.196,0.122	0.093,0.0,0.0	0.201
275	ENSG00000228315	GUSBP11	chr22	-	23695172	23695517	23700725	23700845	23683724	23683867	23705428	23705541	275	2,5,1	2,2,3	0,0,1	5,5,2	269	298	0.00000956400278507	0.00051892724348	0.526,0.735,0.27	0.0,0.0,0.356	0.392
279	ENSG00000100325	ASCC2	chr22	-	29832244	29832342	29833540	29833614	29825621	29825780	29834488	29834550	279	14,18,13	170,166,135	5,2,6	163,147,158	223	247	0.000016767072421	0.000830051478395	0.084,0.107,0.096	0.033,0.015,0.04	0.066
292	ENSG00000131002	TXLNGY	chrY	+	19599738	19599831	19602215	19602311	19598551	19598639	19603796	19604051	292	41,35,37	44,50,36	16,13,24	44,51,40	242	245	0.00117221723545	0.0246025948847	0.485,0.415,0.51	0.269,0.205,0.378	0.186
299	ENSG00000160336	ZNF761	chr19	+	53445000	53445219	53446226	53446337	53431983	53432028	53447195	53447283	299	57,70,89	362,543,328	40,35,21	312,412,416	298	260	0.00000146923524569	0.000109324869307	0.121,0.101,0.191	0.101,0.069,0.042	0.067
311	ENSG00000174652	ZNF266	chr19	-	9434074	9434235	9434797	9434859	9420064	9420218	9435107	9435193	311	19,16,16	3,1,0	6,18,22	7,6,8	211	298	0.0000894461562783	0.00322982969303	0.899,0.958,1.0	0.548,0.809,0.795	0.235
349	ENSG00000257103	LSM14A	chr19	+	34208928	34209051	34215123	34215300	34196633	34196763	34215595	34215661	349	351,325,441	1036,1136,1125	271,235,240	1098,996,1040	272	298	0.000344388852827	0.00952733765012	0.271,0.239,0.3	0.213,0.205,0.202	0.063
446	ENSG00000142541	RPL13A	chr19	+	49490231	49490576	49490778	49490864	49489849	49489922	49491039	49491099	446	6937,6721,7462	43255,39841,31574	5040,5258,7029	40320,35388,45860	298	235	0.00111345500476	0.0236459084428	0.112,0.117,0.157	0.09,0.105,0.108	0.028
