ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000271254"	NA	chrKI270711.1	-	8603	8655	10139	10191	7816	7989	10910	11083
1	"ENSG00000271254"	NA	chrKI270711.1	-	9364	9537	10910	11083	8603	8655	11706	11758
2	"ENSG00000271254"	NA	chrKI270711.1	-	18896	18969	25166	25239	18226	18432	26290	26505
3	"ENSG00000155313"	"USP25"	chr21	+	15799756	15799843	15805120	15805258	15791501	15791664	15808808	15808885
4	"ENSG00000155313"	"USP25"	chr21	+	15805120	15805258	15808808	15808885	15799756	15799843	15811136	15811210
5	"ENSG00000155313"	"USP25"	chr21	+	15818697	15818846	15824965	15825061	15811136	15811210	15826203	15826365
6	"ENSG00000155313"	"USP25"	chr21	+	15833347	15833548	15842397	15842540	15831400	15831629	15864267	15864446
7	"ENSG00000155313"	"USP25"	chr21	+	15833347	15833548	15864267	15864446	15831400	15831629	15866265	15866344
8	"ENSG00000155313"	"USP25"	chr21	+	15842397	15842540	15864267	15864446	15833347	15833548	15866265	15866344
9	"ENSG00000160285"	"LSS"	chr21	-	46227551	46227690	46228433	46228599	46222629	46222738	46228731	46228774
10	"ENSG00000157578"	"LCA5L"	chr21	-	39429130	39429394	39435419	39435542	39423419	39423490	39444134	39444201
15	"ENSG00000186866"	"POFUT2"	chr21	-	45283382	45283527	45285268	45285328	45282348	45282459	45285677	45285928
16	"ENSG00000141959"	"PFKL"	chr21	+	44306680	44306754	44311005	44311083	44300052	44300190	44312104	44312294
17	"ENSG00000141959"	"PFKL"	chr21	+	44325152	44325264	44325960	44326060	44324855	44324917	44326158	44326264
19	"ENSG00000160191"	"PDE9A"	chr21	+	42686191	42686262	42697414	42697490	42653778	42653883	42698967	42699011
20	"ENSG00000160191"	"PDE9A"	chr21	+	42687916	42687994	42697414	42697490	42653778	42653883	42698967	42699011
23	"ENSG00000160191"	"PDE9A"	chr21	+	42687916	42687994	42698967	42699011	42686191	42686262	42732069	42732124
25	"ENSG00000160191"	"PDE9A"	chr21	+	42698967	42699011	42733355	42733426	42653778	42653883	42743775	42743860
26	"ENSG00000160191"	"PDE9A"	chr21	+	42698967	42699011	42732069	42732124	42687916	42687994	42733355	42733426
27	"ENSG00000160191"	"PDE9A"	chr21	+	42698967	42699011	42733355	42733426	42687916	42687994	42743775	42743860
30	"ENSG00000160191"	"PDE9A"	chr21	+	42733355	42733426	42743775	42743860	42653778	42653883	42751115	42751197
31	"ENSG00000160191"	"PDE9A"	chr21	+	42733355	42733426	42743775	42743860	42698967	42699011	42751115	42751197
32	"ENSG00000160188"	"RSPH1"	chr21	-	42482636	42482708	42485668	42485804	42477290	42477444	42486370	42486461
34	"ENSG00000285815"	"GET1-SH3BGR"	chr21	+	39475134	39475215	39499822	39499915	39462374	39462560	39508997	39509027
35	"ENSG00000285815"	"GET1-SH3BGR"	chr21	+	39499822	39499915	39508997	39509027	39475134	39475215	39511679	39511809
41	"ENSG00000205581"	"HMGN1"	chr21	-	39345829	39345958	39347915	39347952	39345145	39345274	39348291	39348339
44	"ENSG00000205581"	"HMGN1"	chr21	-	39347246	39347292	39347915	39347952	39345145	39345274	39348291	39348339
45	"ENSG00000205581"	"HMGN1"	chr21	-	39347378	39347478	39347915	39347952	39345145	39345274	39348291	39348339
46	"ENSG00000205581"	"HMGN1"	chr21	-	39347378	39347478	39347915	39347952	39345829	39345958	39348291	39348339
47	"ENSG00000205581"	"HMGN1"	chr21	-	39347378	39347483	39347915	39347952	39345145	39345274	39348291	39348339
48	"ENSG00000205581"	"HMGN1"	chr21	-	39347378	39347483	39348291	39348339	39345145	39345274	39348421	39348451
49	"ENSG00000205581"	"HMGN1"	chr21	-	39347378	39347483	39347915	39347952	39345829	39345958	39348291	39348339
50	"ENSG00000205581"	"HMGN1"	chr21	-	39347378	39347483	39348291	39348339	39345829	39345958	39348421	39348451
51	"ENSG00000205581"	"HMGN1"	chr21	-	39348291	39348339	39348421	39348451	39345145	39345274	39348544	39348577
52	"ENSG00000205581"	"HMGN1"	chr21	-	39348291	39348339	39348544	39348577	39345145	39345274	39348902	39349053
53	"ENSG00000205581"	"HMGN1"	chr21	-	39348291	39348339	39348421	39348577	39345145	39345274	39348902	39349054
54	"ENSG00000185658"	"BRWD1"	chr21	-	39238478	39238573	39247700	39247832	39236718	39236784	39250795	39250889
56	"ENSG00000183844"	"FAM3B"	chr21	+	41345685	41345736	41346208	41346407	41338377	41338501	41347012	41347100
57	"ENSG00000185917"	"SETD4"	chr21	-	36045581	36046011	36053582	36053620	36043685	36043956	36057108	36057204
58	"ENSG00000185917"	"SETD4"	chr21	-	36045581	36046011	36048307	36048396	36043781	36043956	36053582	36053620
59	"ENSG00000160199"	"PKNOX1"	chr21	+	43007490	43007618	43010052	43010224	43004325	43004432	43013067	43013238
60	"ENSG00000160214"	"RRP1"	chr21	+	43800516	43800614	43800861	43800881	43799569	43799649	43802273	43802387
61	"ENSG00000142168"	"SOD1"	chr21	+	31663789	31663886	31666448	31666518	31659692	31659841	31667257	31667375
66	"ENSG00000160299"	"PCNT"	chr21	+	46421969	46422124	46425830	46425971	46418203	46418306	46427621	46427795
67	"ENSG00000160305"	"DIP2A"	chr21	+	46484756	46484828	46490599	46490719	46458890	46459222	46496987	46497107
69	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46251528	46251682	46244806	46245197	46254391	46254526
70	"ENSG00000160294"	"MCM3AP"	chr21	-	46251528	46251682	46254391	46254526	46246306	46246886	46254775	46254844
71	"ENSG00000205622"	NA	chr21	-	38919317	38919516	38923425	38923513	38917299	38917400	38923637	38923693
72	"ENSG00000241837"	"ATP5PO"	chr21	-	33907340	33907453	33909081	33909211	33903934	33904021	33912288	33912399
73	"ENSG00000205726"	"ITSN1"	chr21	+	33755296	33755397	33761922	33761986	33751809	33751906	33765874	33766012
77	"ENSG00000275895"	"U2AF1L5"	chr21	-	6492130	6492197	6495992	6496080	6487362	6487412	6499128	6499202
79	"ENSG00000142192"	"APP"	chr21	-	25891721	25891868	25897572	25897673	25880549	25881771	25905023	25905077
80	"ENSG00000142192"	"APP"	chr21	-	25897572	25897673	25905023	25905077	25891721	25891868	25911740	25911962
81	"ENSG00000142192"	"APP"	chr21	-	25905023	25905077	25911740	25911962	25897572	25897673	25954589	25954689
84	"ENSG00000159147"	"DONSON"	chr21	-	33582164	33582246	33583487	33583666	33581950	33582055	33584589	33584768
85	"ENSG00000159147"	"DONSON"	chr21	-	33582164	33582246	33583487	33583666	33581950	33582055	33585977	33586181
101	"ENSG00000286129"	NA	chr22	+	22307532	22307591	22308696	22308819	22307105	22307245	22309735	22309883
102	"ENSG00000100038"	"TOP3B"	chr22	-	21968618	21968775	21970209	21970406	21967602	21967716	21970979	21971061
103	"ENSG00000100038"	"TOP3B"	chr22	-	21968618	21968775	21970209	21970406	21967602	21967716	21971876	21971951
104	"ENSG00000100038"	"TOP3B"	chr22	-	21970209	21970406	21970979	21971061	21968618	21968775	21971876	21971951
105	"ENSG00000100038"	"TOP3B"	chr22	-	21970209	21970406	21971876	21971951	21968618	21968775	21972611	21972718
106	"ENSG00000205560"	"CPT1B"	chr22	-	50576535	50576637	50576856	50577034	50576197	50576335	50577323	50577463
107	"ENSG00000100207"	"TCF20"	chr22	-	42179608	42179702	42209650	42215341	42169846	42169896	42270338	42270653
108	"ENSG00000099940"	"SNAP29"	chr22	+	20870336	20870533	20881048	20881134	20859006	20859347	20883470	20883569
109	"ENSG00000099940"	"SNAP29"	chr22	+	20881048	20881134	20883470	20883569	20870336	20870533	20887678	20887819
114	"ENSG00000288683"	NA	chr22	+	18083436	18083732	18121478	18121701	18079873	18080014	18124155	18124304
115	"ENSG00000239900"	"ADSL"	chr22	+	40349831	40350035	40353072	40353117	40346499	40346711	40354247	40354327
118	"ENSG00000184979"	"USP18"	chr22	+	18170752	18170920	18173149	18173281	18169843	18169939	18173792	18173842
119	"ENSG00000133460"	"SLC2A11"	chr22	+	23883771	23883873	23883873	23884024	23882758	23882869	23884301	23884429
120	"ENSG00000133460"	"SLC2A11"	chr22	+	23883771	23883873	23883948	23884024	23882758	23882869	23884301	23884429
121	"ENSG00000100029"	"PES1"	chr22	-	30581011	30581101	30581333	30581408	30580570	30580701	30581527	30581644
122	"ENSG00000100003"	"SEC14L2"	chr22	+	30407094	30407154	30407414	30407603	30406341	30406385	30409186	30409282
123	"ENSG00000100003"	"SEC14L2"	chr22	+	30415758	30415865	30415947	30416087	30410595	30410679	30416233	30416403
125	"ENSG00000186575"	"NF2"	chr22	+	29658188	29658264	29661204	29661339	29655593	29655676	29664989	29665064
126	"ENSG00000186575"	"NF2"	chr22	+	29661204	29661339	29664989	29665064	29658188	29658264	29668332	29668446
127	"ENSG00000186575"	"NF2"	chr22	+	29664989	29665064	29668332	29668446	29661204	29661339	29671825	29671948
128	"ENSG00000186575"	"NF2"	chr22	+	29668332	29668446	29671825	29671948	29664989	29665064	29673268	29673486
129	"ENSG00000186575"	"NF2"	chr22	+	29678195	29678323	29681438	29681601	29674835	29674941	29694751	29694945
130	"ENSG00000184117"	"NIPSNAP1"	chr22	-	29569192	29569287	29570161	29570207	29561791	29561862	29570404	29570532
131	"ENSG00000182944"	"EWSR1"	chr22	+	29273737	29273864	29278130	29278216	29272379	29272431	29282389	29282557
132	"ENSG00000182944"	"EWSR1"	chr22	+	29273740	29273864	29278130	29278216	29272379	29272431	29282389	29282557
133	"ENSG00000182944"	"EWSR1"	chr22	+	29278029	29278216	29282389	29282557	29273740	29273864	29286922	29287134
135	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29288786	29288986	29289062	29286922	29287134	29292136	29292169
137	"ENSG00000196588"	"MRTFA"	chr22	-	40423535	40423685	40424205	40424381	40420846	40421100	40429605	40429767
138	"ENSG00000196588"	"MRTFA"	chr22	-	40463220	40463286	40552105	40552367	40435498	40435554	40594673	40594735
139	"ENSG00000100151"	"PICK1"	chr22	+	38057752	38057850	38059233	38059345	38057403	38057587	38065001	38065130
140	"ENSG00000128346"	"C22orf23"	chr22	-	37945041	37945173	37951459	37951522	37944416	37944517	37953046	37953158
141	"ENSG00000128346"	"C22orf23"	chr22	-	37947280	37947463	37951459	37951522	37945041	37945173	37953046	37953158
142	"ENSG00000241484"	"ARHGAP8"	chr22	+	44802076	44802164	44808306	44808438	44786456	44786606	44814671	44814758
148	"ENSG00000133424"	"LARGE1"	chr22	-	33604434	33604558	33626243	33626326	33564847	33565019	33650366	33650668
150	"ENSG00000198911"	"SREBF2"	chr22	+	41866830	41867280	41868610	41868792	41833078	41833358	41870888	41871035
151	"ENSG00000198911"	"SREBF2"	chr22	+	41868610	41868792	41870888	41871035	41866830	41867280	41873797	41874019
152	"ENSG00000198911"	"SREBF2"	chr22	+	41870888	41871035	41873797	41874019	41868610	41868792	41875336	41875451
153	"ENSG00000198911"	"SREBF2"	chr22	+	41877941	41878123	41878658	41878758	41877228	41877421	41880715	41880992
154	"ENSG00000100429"	"HDAC10"	chr22	-	50248661	50248751	50249102	50249168	50248224	50248292	50249327	50249454
155	"ENSG00000100429"	"HDAC10"	chr22	-	50248661	50248751	50249102	50249168	50248365	50248472	50249327	50249454
156	"ENSG00000100429"	"HDAC10"	chr22	-	50248830	50248859	50249102	50249168	50248661	50248751	50249327	50249454
