ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
19	"ENSG00000229236.3"	"TTTY10"	chrY	-	20518270	20518329	20507351	20507456	20521131	20521300
20	"ENSG00000229236.3"	"TTTY10"	chrY	-	20518887	20519000	20518270	20518329	20521131	20521300
22	"ENSG00000229236.3"	"TTTY10"	chrY	-	20519035	20519233	20518270	20518329	20521131	20521300
31	"ENSG00000183878.15"	"UTY"	chrY	-	13335562	13336335	13326220	13326350	13354785	13354833
32	"ENSG00000183878.15"	"UTY"	chrY	-	13335562	13336335	13326220	13326350	13355002	13355398
33	"ENSG00000183878.15"	"UTY"	chrY	-	13354785	13354833	13326220	13326350	13355002	13355398
43	"ENSG00000183878.15"	"UTY"	chrY	-	13449016	13449066	13414734	13414793	13479253	13479317
44	"ENSG00000183878.15"	"UTY"	chrY	-	13470120	13470229	13449016	13449066	13479253	13479317
53	"ENSG00000231535.7"	"LINC00278"	chrY	+	3079283	3079341	3058656	3058784	3096997	3097056
55	"ENSG00000233070.1"	"ZFY-AS1"	chrY	-	2981837	2981927	2966843	2966939	3002312	3002626
56	"ENSG00000067646.12"	"ZFY"	chrY	+	2953908	2953997	2935280	2935446	2975094	2975244
85	"ENSG00000185973.11"	"TMLHE"	chrX	-	155511672	155511792	155506897	155507134	155513985	155514265
86	"ENSG00000185973.11"	"TMLHE"	chrX	-	155524455	155524632	155513985	155514265	155545095	155545277
87	"ENSG00000185973.11"	"TMLHE"	chrX	-	155545095	155545277	155524270	155524632	155612791	155612877
95	"ENSG00000185010.15"	"F8"	chrX	-	154987236	154987305	154984686	154984803	154992935	154993148
98	"ENSG00000269335.5"	"IKBKG"	chrX	+	154551987	154552189	154547306	154547745	154556164	154556376
99	"ENSG00000269335.5"	"IKBKG"	chrX	+	154558531	154558650	154556164	154556376	154560406	154560511
100	"ENSG00000269335.5"	"IKBKG"	chrX	+	154558534	154558650	154556164	154556376	154560406	154560559
103	"ENSG00000071889.16"	"FAM3A"	chrX	-	154507405	154507490	154507202	154507329	154508288	154508347
113	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154463589	154463690	154463390	154463519	154463950	154464074
114	"ENSG00000130827.6"	"PLXNA3"	chrX	+	154469687	154469784	154469378	154469482	154469976	154470167
115	"ENSG00000071859.15"	"FAM50A"	chrX	+	154445811	154445911	154445632	154445717	154446414	154446560
127	"ENSG00000102125.16"	"TAZ"	chrX	+	154420211	154420264	154419542	154420094	154420657	154420735
128	"ENSG00000196924.17"	"FLNA"	chrX	-	154351580	154351696	154350908	154351041	154351883	154351950
131	"ENSG00000196924.17"	"FLNA"	chrX	-	154353914	154354043	154353295	154353457	154354150	154354291
132	"ENSG00000196924.17"	"FLNA"	chrX	-	154354615	154354711	154354380	154354483	154354824	154354889
134	"ENSG00000196924.17"	"FLNA"	chrX	-	154366023	154366224	154365348	154365486	154366307	154366470
135	"ENSG00000169057.22"	"MECP2"	chrX	-	154039791	154039903	154032434	154032557	154048181	154048279
137	"ENSG00000169057.22"	"MECP2"	chrX	-	154039791	154039903	154032434	154032557	154056940	154057254
138	"ENSG00000169057.22"	"MECP2"	chrX	-	154039791	154039903	154032434	154032557	154092183	154092307
139	"ENSG00000169057.22"	"MECP2"	chrX	-	154039791	154039903	154032434	154032557	154097603	154097764
140	"ENSG00000169057.22"	"MECP2"	chrX	-	154048181	154048279	154032434	154032557	154048516	154049481
142	"ENSG00000169057.22"	"MECP2"	chrX	-	154056940	154057254	154032206	154032557	154057742	154057842
143	"ENSG00000169057.22"	"MECP2"	chrX	-	154056940	154057254	154032206	154032557	154058398	154060358
144	"ENSG00000169057.22"	"MECP2"	chrX	-	154056940	154057254	154032206	154032557	154092183	154092307
145	"ENSG00000169057.22"	"MECP2"	chrX	-	154056940	154057254	154039791	154039903	154092183	154092307
146	"ENSG00000169057.22"	"MECP2"	chrX	-	154057742	154057842	154032206	154032557	154058398	154060358
147	"ENSG00000169057.22"	"MECP2"	chrX	-	154057742	154057842	154032206	154032557	154092183	154092307
148	"ENSG00000169057.22"	"MECP2"	chrX	-	154057742	154057842	154056940	154057254	154058398	154060358
149	"ENSG00000169057.22"	"MECP2"	chrX	-	154057742	154057842	154056940	154057254	154092183	154092307
151	"ENSG00000169057.22"	"MECP2"	chrX	-	154058398	154058566	154032206	154032557	154097603	154097663
154	"ENSG00000169057.22"	"MECP2"	chrX	-	154092183	154092307	154039791	154039903	154097603	154097663
155	"ENSG00000169057.22"	"MECP2"	chrX	-	154092183	154092307	154058398	154058566	154097603	154097663
163	"ENSG00000102030.16"	"NAA10"	chrX	-	153934376	153934475	153933659	153934001	153934883	153934958
168	"ENSG00000089820.15"	"ARHGAP4"	chrX	-	153913217	153913302	153913023	153913051	153913408	153913600
178	"ENSG00000067829.19"	"IDH3G"	chrX	-	153786800	153786947	153785766	153786449	153787050	153787153
179	"ENSG00000067829.19"	"IDH3G"	chrX	-	153787822	153787955	153787390	153787597	153788074	153788135
181	"ENSG00000067829.19"	"IDH3G"	chrX	-	153790563	153790575	153789837	153790292	153790809	153790851
182	"ENSG00000067829.19"	"IDH3G"	chrX	-	153790809	153790851	153790563	153790575	153794245	153794325
183	"ENSG00000067829.19"	"IDH3G"	chrX	-	153790809	153790971	153790563	153790575	153794245	153794356
185	"ENSG00000198753.12"	"PLXNB3"	chrX	+	153771309	153771403	153770964	153771081	153771485	153771655
186	"ENSG00000185825.17"	"BCAP31"	chrX	-	153704820	153705101	153703958	153704094	153715541	153715689
187	"ENSG00000185825.17"	"BCAP31"	chrX	-	153723152	153723288	153720871	153720972	153724333	153724387
198	"ENSG00000183479.12"	"TREX2"	chrX	-	153457136	153457228	153456492	153456651	153462609	153462671
201	"ENSG00000147394.18"	"ZNF185"	chrX	+	152915137	152915203	152914709	152914833	152917130	152917169
225	"ENSG00000029993.15"	"HMGB3"	chrX	+	150986050	150986190	150985530	150985749	150987776	150987877
226	"ENSG00000029993.15"	"HMGB3"	chrX	+	150987127	150987302	150986050	150986190	150987776	150987877
227	"ENSG00000063601.17"	"MTMR1"	chrX	+	150699194	150699300	150693365	150693676	150718624	150718700
228	"ENSG00000063601.17"	"MTMR1"	chrX	+	150699194	150699300	150693365	150693676	150727214	150727309
238	"ENSG00000063601.17"	"MTMR1"	chrX	+	150718624	150718700	150693365	150693676	150727214	150727309
239	"ENSG00000063601.17"	"MTMR1"	chrX	+	150718624	150718700	150699194	150699300	150727214	150727309
241	"ENSG00000063601.17"	"MTMR1"	chrX	+	150744360	150744453	150737241	150737448	150755688	150755865
242	"ENSG00000063601.17"	"MTMR1"	chrX	+	150750729	150750843	150744360	150744453	150755688	150755865
246	"ENSG00000171100.14"	"MTM1"	chrX	+	150645682	150645871	150641268	150641418	150649715	150649901
248	"ENSG00000235703.6"	"LINC00894"	chrX	+	149941056	149941239	149940658	149940886	149944017	149944100
249	"ENSG00000235703.6"	"LINC00894"	chrX	+	149941789	149941847	149940658	149940886	149944017	149944100
251	"ENSG00000235703.6"	"LINC00894"	chrX	+	149942183	149942329	149941789	149941847	149943650	149943762
253	"ENSG00000235703.6"	"LINC00894"	chrX	+	149943650	149943762	149941789	149941847	149944017	149944100
266	"ENSG00000241769.7"	"LINC00893"	chrX	-	149538723	149538906	149538114	149538172	149539076	149539304
267	"ENSG00000241769.7"	"LINC00893"	chrX	-	149538723	149538906	149538114	149538172	149540372	149540454
282	"ENSG00000102081.14"	"FMR1"	chrX	+	147943130	147943326	147940575	147940662	147944868	147945051
307	"ENSG00000147274.14"	"RBMX"	chrX	-	136872267	136872345	136869186	136870417	136875085	136875168
308	"ENSG00000147274.14"	"RBMX"	chrX	-	136875470	136875585	136875257	136875383	136876502	136876655
