ID...1	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID...12	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
16	ENSG00000182093	GET1	chr21	+	39405913	39406298	39405913	39406058	39406561	39406731	16	4,1,1	2,0,1	0,0,0	8,5,2	298	149	0.000997959402983	0.0477678001642	0.5,1.0,0.333	0.0,0.0,0.0	0.611
36	ENSG00000159086	PAXBP1	chr21	-	32755212	32755353	32755229	32755353	32751118	32751218	36	184,168,186	221,208,185	217,254,281	174,194,197	166	149	0.000299681290619	0.0197257909621	0.428,0.42,0.474	0.528,0.54,0.561	-0.102
58	ENSG00000100038	TOP3B	chr22	-	21975904	21976187	21975980	21976187	21975639	21975807	58	4,2,3	19,11,11	0,0,0	8,13,20	225	149	0.000157364880407	0.0122712101214	0.122,0.107,0.153	0.0,0.0,0.0	0.127
193	ENSG00000105700	KXD1	chr19	+	18557761	18557949	18557761	18557914	18560419	18560550	193	1,0,2	18,7,7	5,3,2	7,6,2	184	149	0.000286705824822	0.019087053651	0.043,0.0,0.188	0.366,0.288,0.447	-0.29
204	ENSG00000126453	BCL2L12	chr19	+	49669023	49669164	49669023	49669115	49670215	49670488	204	4,6,12	40,32,46	0,0,2	30,52,55	198	149	0.000000226500181721	0.0000705636027297	0.07,0.124,0.164	0.0,0.0,0.027	0.11
230	ENSG00000104957	CCDC130	chr19	+	13731759	13731950	13731759	13731931	13732174	13732285	230	12,25,8	0,0,0	7,9,11	0,3,7	168	149	0.00000404188520253	0.000747539096953	1.0,1.0,1.0	1.0,0.727,0.582	0.23
314	ENSG00000142541	RPL13A	chr19	+	49489849	49490297	49489849	49489922	49490778	49490864	314	35,46,23	0,0,0	21,41,41	0,0,27	298	149	0.000734987772902	0.0381012199528	1.0,1.0,1.0	1.0,1.0,0.432	0.189
318	ENSG00000142541	RPL13A	chr19	+	49489849	49489922	49489849	49489912	49491039	49491099	318	33,40,25	0,12,0	23,18,34	0,0,0	159	149	0.000163229721488	0.0126211973927	1.0,0.757,1.0	1.0,1.0,1.0	-0.081
455	ENSG00000104859	CLASRP	chr19	+	45057749	45057898	45057749	45057882	45059267	45059364	455	967,884,903	96,59,59	911,853,1076	101,129,125	165	149	0.0000616788646739	0.00607111119352	0.901,0.931,0.933	0.891,0.857,0.886	0.044
480	ENSG00000159917	ZNF235	chr19	-	44298807	44298903	44298819	44298903	44236109	44236729	480	6,3,6	1,0,0	3,6,5	1,4,2	161	149	0.000115385055503	0.00969249568981	0.847,1.0,1.0	0.735,0.581,0.698	0.278
514	ENSG00000126249	PDCD2L	chr19	+	34404648	34404990	34404648	34404815	34413736	34413847	514	3,1,5	4,2,0	3,1,6	0,0,0	298	149	0.0000503468739049	0.00516151969105	0.273,0.2,1.0	1.0,1.0,1.0	-0.509
545	ENSG00000099949	LZTR1	chr22	+	20983026	20983122	20983026	20983089	20985840	20985897	545	0,0,0	18,32,47	5,1,3	20,22,25	182	149	0.000402610209695	0.0244449531008	0.0,0.0,0.0	0.17,0.036,0.089	-0.098
560	ENSG00000031823	RANBP3	chr19	-	5957906	5957973	5957917	5957973	5941798	5941835	560	27,20,11	486,606,479	6,5,12	531,604,562	160	149	0.0000347256560888	0.00400105642874	0.049,0.03,0.021	0.01,0.008,0.019	0.021
572	ENSG00000087460	GNAS	chr20	+	58898940	58899162	58898940	58898985	58903530	58903585	572	89,78,93	727,790,677	50,73,68	730,778,966	298	149	0.000825365497498	0.0416754378701	0.058,0.047,0.064	0.033,0.045,0.034	0.019
