ID...1	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID...12	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
5	ENSG00000157601	MX1	chr21	+	41445999	41449295	41445999	41446141	41449136	41449295	5	6,17,18	87,86,100	11,22,17	42,28,55	298	149	0.000393021270428	0.0143079174954	0.033,0.09,0.083	0.116,0.282,0.134	-0.109
20	ENSG00000182093	GET1	chr21	+	39405913	39406731	39405913	39406058	39406561	39406731	20	4,1,1	2,0,1	0,0,0	8,5,2	298	149	0.000997959402983	0.027618599074	0.5,1.0,0.333	0.0,0.0,0.0	0.611
36	ENSG00000160298	C21orf58	chr21	-	46314870	46315547	46314870	46315049	46315473	46315547	36	4,4,6	1,7,1	4,9,15	2,0,0	298	149	0.000549662591435	0.0180894149036	0.667,0.222,0.75	0.5,1.0,1.0	-0.287
78	ENSG00000100412	ACO2	chr22	+	41525192	41526453	41525192	41525348	41526261	41526453	78	22,15,15	80,72,87	6,7,7	92,70,62	298	149	0.000769486475393	0.0228918991255	0.121,0.094,0.079	0.032,0.048,0.053	0.054
114	ENSG00000100429	HDAC10	chr22	-	50245674	50246092	50245674	50245827	50245909	50246092	114	27,30,21	46,41,34	26,39,57	25,23,32	231	149	0.000302528574012	0.0119248338114	0.275,0.321,0.285	0.401,0.522,0.535	-0.192
127	ENSG00000015475	BID	chr22	-	17739348	17740176	17739348	17739488	17740081	17740176	127	15,11,23	0,0,0	7,18,18	1,1,4	298	149	0.000861253025254	0.0247532055879	1.0,1.0,1.0	0.778,0.9,0.692	0.21
129	ENSG00000100416	TRMU	chr22	+	46355443	46357337	46355443	46355588	46356841	46357337	129	95,65,55	5,3,3	70,72,100	17,9,16	298	149	0.000107826089688	0.00557355401643	0.905,0.915,0.902	0.673,0.8,0.758	0.164
155	ENSG00000100360	IFT27	chr22	-	36758210	36764036	36758210	36758409	36763918	36764036	155	47,62,46	0,0,0	53,52,64	6,1,2	298	149	0.000489792169964	0.0166926725749	1.0,1.0,1.0	0.815,0.963,0.941	0.094
184	ENSG00000067048	DDX3Y	chrY	+	12914883	12915227	12914883	12914982	12915066	12915227	184	169,137,201	350,482,492	99,77,117	413,415,461	233	149	0.00000762381802955	0.000776183373468	0.236,0.154,0.207	0.133,0.106,0.14	0.073
188	ENSG00000131002	TXLNGY	chrY	+	19593398	19597665	19593398	19593593	19597590	19597665	188	352,436,396	84,74,72	402,353,390	33,51,55	298	149	0.00100767142244	0.0277796026053	0.677,0.747,0.733	0.859,0.776,0.78	-0.086
216	ENSG00000105607	GCDH	chr19	+	12897302	12897863	12897302	12897428	12897702	12897863	216	7,4,9	47,29,71	2,0,1	36,26,48	298	149	0.000242580531388	0.0101069256669	0.069,0.065,0.06	0.027,0.0,0.01	0.052
225	ENSG00000170889	RPS9	chr19	+	54206275	54206724	54206275	54206462	54206552	54206724	225	132,102,82	34,36,37	110,96,124	15,21,22	239	149	0.00125814526568	0.0333630658603	0.708,0.639,0.58	0.821,0.74,0.778	-0.137
226	ENSG00000170889	RPS9	chr19	+	54206552	54207647	54206552	54206724	54207397	54207647	226	125,96,114	101,98,89	112,83,131	42,34,66	298	149	0.00000539532517507	0.000576572334158	0.382,0.329,0.39	0.571,0.55,0.498	-0.173
252	ENSG00000132024	CC2D1A	chr19	+	13926977	13928030	13926977	13927077	13927892	13928030	252	152,109,127	4,0,5	126,116,150	11,8,7	298	149	0.00170249074153	0.0413071159252	0.95,1.0,0.927	0.851,0.879,0.915	0.077
258	ENSG00000011243	AKAP8L	chr19	-	15397713	15398766	15397713	15397855	15398629	15398766	258	172,158,139	122,95,94	116,98,137	115,94,165	298	149	0.000384622090647	0.0141422965366	0.413,0.454,0.425	0.335,0.343,0.293	0.107
331	ENSG00000123815	COQ8B	chr19	-	40716586	40716882	40716586	40716703	40716861	40716882	331	2,3,1	13,17,11	15,1,3	6,3,5	298	149	0.000838526422413	0.0243394449753	0.071,0.081,0.043	0.556,0.143,0.231	-0.245
354	ENSG00000142541	RPL13A	chr19	+	49489849	49491547	49489849	49490864	49491424	49491547	354	672,692,665	17,5,14	615,590,670	9,0,0	298	149	0.0000771070243589	0.00434801329255	0.952,0.986,0.96	0.972,1.0,1.0	-0.025
375	ENSG00000099860	GADD45B	chr19	+	2476355	2476630	2476355	2476431	2476528	2476630	375	1,6,1	10,1,3	6,5,7	4,0,0	246	149	0.00192584331986	0.0448899523684	0.057,0.784,0.168	0.476,1.0,1.0	-0.489
391	ENSG00000142546	NOSIP	chr19	-	49557089	49558978	49557089	49558199	49558896	49558978	391	19,12,11	3,1,6	20,12,8	1,0,0	298	149	0.0000227440050851	0.00173927115792	0.76,0.857,0.478	0.909,1.0,1.0	-0.271
394	ENSG00000104872	PIH1D1	chr19	-	49447826	49448010	49447826	49447908	49448000	49448010	394	58,23,44	470,465,400	75,68,62	472,418,508	241	149	0.00141093105124	0.0361383264677	0.071,0.03,0.064	0.089,0.091,0.07	-0.028
438	ENSG00000130813	SHFL	chr19	+	10089110	10089378	10089110	10089208	10089306	10089378	438	23,22,18	39,54,38	13,13,16	14,9,9	247	149	0.00123810135585	0.0328926871382	0.262,0.197,0.222	0.359,0.466,0.517	-0.22
464	ENSG00000126934	MAP2K2	chr19	-	4094452	4095449	4094452	4094498	4095387	4095449	464	31,23,30	242,195,188	15,16,14	220,176,230	298	149	0.00192600219828	0.0448899523684	0.06,0.056,0.074	0.033,0.043,0.03	0.028
494	ENSG00000131408	NR1H2	chr19	+	50376472	50376826	50376472	50376576	50376718	50376826	494	23,12,8	377,352,365	16,29,23	242,257,299	291	149	0.000256385057142	0.0105106822348	0.03,0.017,0.011	0.033,0.055,0.038	-0.023
564	ENSG00000130724	CHMP2A	chr19	-	58551565	58551967	58551565	58551776	58551905	58551967	564	20,17,10	512,427,348	68,17,29	463,362,485	278	149	0.00000481644671824	0.00053060878074	0.021,0.021,0.015	0.073,0.025,0.031	-0.024
587	ENSG00000064607	SUGP2	chr19	-	18994365	18995280	18994365	18994486	18995143	18995280	587	65,74,59	405,355,245	75,110,87	306,272,334	298	149	0.0020084906595	0.0461419194746	0.074,0.094,0.107	0.109,0.168,0.115	-0.039
598	ENSG00000064545	TMEM161A	chr19	-	19132351	19132754	19132351	19132433	19132656	19132754	598	23,11,28	9,6,9	12,15,19	0,2,1	298	149	0.000029608406483	0.00211204165545	0.561,0.478,0.609	1.0,0.789,0.905	-0.349
600	ENSG00000129933	MAU2	chr19	+	19344848	19345369	19344848	19344926	19345303	19345369	600	7,5,3	27,39,39	0,0,2	39,33,27	298	149	0.000281072692815	0.0113114910354	0.115,0.06,0.037	0.0,0.0,0.036	0.059
