ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
8	"ENSG00000071889.16"	"FAM3A"	chrX	-	154515759	154516242	154515759	154515812	154515909	154516242	8	50,39,36	10,11,4	24,29,39	7,4,1	246	149	0.251500944516	1.0	0.752,0.682,0.845	0.675,0.815,0.959	-0.057
9	"ENSG00000071859.15"	"FAM50A"	chrX	+	154449680	154449931	154449680	154449735	154449882	154449931	9	58,60,28	191,134,204	60,41,59	195,154,226	296	149	0.96107575318	1.0	0.133,0.184,0.065	0.134,0.118,0.116	0.005
10	"ENSG00000102125.16"	"TAZ"	chrX	+	154412085	154413567	154412085	154412214	154413206	154413567	10	12,8,10	4,10,7	3,7,9	4,3,10	298	149	0.587614545019	1.0	0.6,0.286,0.417	0.273,0.538,0.31	0.061
11	"ENSG00000102125.16"	"TAZ"	chrX	+	154413206	154413567	154413206	154413252	154413481	154413567	11	10,5,6	9,16,8	10,4,9	6,5,6	298	149	0.110429250581	0.686487998237	0.357,0.135,0.273	0.455,0.286,0.429	-0.135
12	"ENSG00000102125.16"	"TAZ"	chrX	+	154413206	154413567	154413206	154413339	154413481	154413567	12	6,7,4	0,0,0	8,1,4	0,1,0	291	149	1	1.0	1.0,1.0,1.0	1.0,0.339,1.0	0.22
14	"ENSG00000102125.16"	"TAZ"	chrX	+	154413206	154413567	154413206	154413358	154413481	154413567	14	6,7,4	3,0,2	8,1,4	1,0,2	272	149	0.0889118538427	0.607114375817	0.523,1.0,0.523	0.814,1.0,0.523	-0.097
15	"ENSG00000102125.16"	"TAZ"	chrX	+	154419542	154419746	154419542	154419623	154419704	154419746	15	24,35,21	34,21,32	25,16,30	18,23,30	230	149	0.799019328365	1.0	0.314,0.519,0.298	0.474,0.311,0.393	-0.016
16	"ENSG00000102125.16"	"TAZ"	chrX	+	154419542	154420094	154419542	154419623	154420031	154420094	16	49,42,36	2,4,4	40,23,42	0,4,4	298	149	0.791443053998	1.0	0.925,0.84,0.818	1.0,0.742,0.84	0.0
17	"ENSG00000102125.16"	"TAZ"	chrX	+	154419542	154420094	154419542	154419746	154420031	154420094	17	50,43,35	48,28,31	35,23,45	25,23,29	298	149	0.672893708746	1.0	0.342,0.434,0.361	0.412,0.333,0.437	-0.015
18	"ENSG00000102125.16"	"TAZ"	chrX	+	154420031	154420264	154420031	154420094	154420211	154420264	18	13,10,5	71,55,55	6,8,6	48,42,61	266	149	0.577571780927	1.0	0.093,0.092,0.048	0.065,0.096,0.052	0.007
19	"ENSG00000102125.16"	"TAZ"	chrX	+	154420902	154421706	154420902	154421136	154421256	154421706	19	15,13,13	3,0,0	5,2,8	1,0,1	269	149	0.671435768737	1.0	0.735,1.0,1.0	0.735,1.0,0.816	0.061
21	"ENSG00000102030.16"	"NAA10"	chrX	-	153932070	153932431	153932070	153932115	153932315	153932431	21	81,66,101	348,270,241	81,94,94	278,237,311	298	149	0.357828156264	1.0	0.104,0.109,0.173	0.127,0.165,0.131	-0.012
22	"ENSG00000089820.15"	"ARHGAP4"	chrX	-	153910170	153910611	153910170	153910404	153910505	153910611	22	2,0,1	0,1,0	1,2,1	2,2,1	250	149	0.000966280085256	0.0333160862785	1.0,0.0,1.0	0.23,0.373,0.373	0.341
23	"ENSG00000089820.15"	"ARHGAP4"	chrX	-	153913217	153913600	153913217	153913302	153913408	153913600	23	0,0,1	1,4,7	0,0,1	8,4,6	255	149	1	1.0	0.0,0.0,0.077	0.0,0.0,0.089	-0.004
24	"ENSG00000180879.14"	"SSR4"	chrX	+	153798070	153798493	153798070	153798136	153798328	153798493	24	0,0,0	43,37,32	3,3,1	41,32,39	298	149	0.390685892829	1.0	0.0,0.0,0.0	0.035,0.045,0.013	-0.031
28	"ENSG00000198753.12"	"PLXNB3"	chrX	+	153777527	153778095	153777527	153777688	153777947	153778095	28	1,3,2	4,1,8	9,2,3	7,6,18	298	149	0.733469963865	1.0	0.111,0.6,0.111	0.391,0.143,0.077	0.07
33	"ENSG00000130822.15"	"PNCK"	chrX	-	153672565	153673078	153672565	153672697	153673008	153673078	33	0,0,2	0,2,0	2,0,0	0,0,0	298	149	1	1.0	NA,0.0,1.0	1.0,NA,NA	-0.5
37	"ENSG00000124260.12"	"MAGEA10"	chrX	-	152135760	152136080	152135760	152135834	152135989	152136080	37	1,0,0	1,0,0	0,0,0	0,0,3	298	149	1	1.0	0.333,NA,NA	NA,NA,0.0	0.333
43	"ENSG00000147274.14"	"RBMX"	chrX	-	136872267	136875168	136872267	136872345	136875085	136875168	43	46,35,37	76,41,107	37,34,44	59,46,69	298	149	0.362072497775	1.0	0.232,0.299,0.147	0.239,0.27,0.242	-0.024
44	"ENSG00000147274.14"	"RBMX"	chrX	-	136879016	136879453	136879016	136879123	136879318	136879453	44	15,11,18	1922,1992,2127	6,3,22	1716,1704,1906	298	149	1	1.0	0.004,0.003,0.004	0.002,0.001,0.006	0.001
45	"ENSG00000147274.14"	"RBMX"	chrX	-	136879016	136879453	136879016	136879158	136879318	136879453	45	1,4,0	24,22,42	1,0,0	11,27,17	298	149	0.570114233639	1.0	0.02,0.083,0.0	0.043,0.0,0.0	0.02
46	"ENSG00000198689.11"	"SLC9A6"	chrX	+	135985434	135985827	135985434	135985477	135985602	135985827	46	13,27,27	0,1,2	30,41,32	0,0,0	274	149	0.456187145363	1.0	1.0,0.936,0.88	1.0,1.0,1.0	-0.061
47	"ENSG00000165359.15"	"INTS6L"	chrX	+	135569336	135573033	135569336	135569431	135572814	135573033	47	4,2,0	1,0,0	7,3,4	4,0,1	298	149	1	1.0	0.667,1.0,NA	0.467,1.0,0.667	0.122
52	"ENSG00000101843.19"	"PSMD10"	chrX	-	108087952	108088099	108087952	108087972	108088095	108088099	52	247,183,221	7,5,8	229,265,229	5,7,7	272	149	0.650068176754	1.0	0.951,0.952,0.938	0.962,0.954,0.947	-0.007
57	"ENSG00000147180.16"	"ZNF711"	chrX	+	85246929	85247651	85246929	85247183	85247546	85247651	57	2,1,6	13,5,6	2,4,2	8,11,1	298	149	0.970893894617	1.0	0.071,0.091,0.333	0.111,0.154,0.5	-0.09
59	"ENSG00000225470.8"	"JPX"	chrX	+	73944338	73944662	73944338	73944465	73944583	73944662	59	0,1,0	20,24,17	0,0,0	28,16,20	267	149	1	1.0	0.0,0.023,0.0	0.0,0.0,0.0	0.008
60	"ENSG00000225470.8"	"JPX"	chrX	+	73998767	74000496	73998767	73998844	73998953	74000496	60	3,4,3	5,12,2	2,7,3	2,2,4	258	149	0.144962485106	0.802927130832	0.257,0.161,0.464	0.366,0.669,0.302	-0.152
61	"ENSG00000225470.8"	"JPX"	chrX	+	73998953	73999669	73998953	73999051	73999185	73999669	61	10,2,6	1,3,0	3,7,5	0,0,1	283	149	0.0461663794553	0.408162758019	0.84,0.26,1.0	1.0,1.0,0.725	-0.208
62	"ENSG00000225470.8"	"JPX"	chrX	+	73998767	74000496	73998767	73998844	73999354	74000496	62	11,10,15	4,0,3	7,14,5	0,5,0	298	149	0.532823540306	1.0	0.579,1.0,0.714	1.0,0.583,1.0	-0.097
64	"ENSG00000147099.21"	"HDAC8"	chrX	-	72329567	72330876	72329567	72330076	72330815	72330876	64	14,18,21	1,0,0	14,19,18	1,1,0	298	149	1	1.0	0.875,1.0,1.0	0.875,0.905,1.0	0.032
65	"ENSG00000147099.21"	"HDAC8"	chrX	-	72567581	72568030	72567581	72567796	72567888	72568030	65	3,5,3	0,0,0	2,3,2	3,2,0	241	149	0.000558409416523	0.0229242356613	1.0,1.0,1.0	0.292,0.481,1.0	0.409
66	"ENSG00000147162.14"	"OGT"	chrX	+	71544566	71548023	71544566	71544635	71547906	71548023	66	52,91,99	9,14,17	42,49,45	20,13,13	298	149	0.00802770366184	0.134386016883	0.743,0.765,0.744	0.512,0.653,0.634	0.151
67	"ENSG00000147140.16"	"NONO"	chrX	+	71297835	71298508	71297835	71297938	71298468	71298508	67	155,200,161	3173,2945,2628	209,224,213	2704,2544,3018	298	149	0.00576398502152	0.107766917437	0.024,0.033,0.03	0.037,0.042,0.034	-0.009
69	"ENSG00000184634.16"	"MED12"	chrX	+	71137725	71137943	71137725	71137780	71137855	71137943	69	155,164,132	8,6,11	153,135,146	11,21,20	224	149	0.0021859183541	0.0563577090046	0.928,0.948,0.889	0.902,0.81,0.829	0.075
