ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000271254"	NA	chrKI270711.1	-	7816	7989	7816	7930	7934	7989
1	"ENSG00000177398"	"UMODL1"	chr21	+	42110879	42111710	42110879	42111121	42111505	42111710
2	"ENSG00000160285"	"LSS"	chr21	-	46188445	46191235	46188445	46188821	46191075	46191235
3	"ENSG00000157601"	"MX1"	chr21	+	41421837	41422095	41421837	41421871	41421974	41422095
4	"ENSG00000157601"	"MX1"	chr21	+	41441715	41443866	41441715	41441914	41443787	41443866
5	"ENSG00000157601"	"MX1"	chr21	+	41445999	41449295	41445999	41446141	41449136	41449295
6	"ENSG00000182586"	"LINC00334"	chr21	+	45258450	45259285	45258450	45258713	45259049	45259285
7	"ENSG00000183250"	"LINC01547"	chr21	-	44933314	44935096	44933314	44934368	44934933	44935096
8	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44313912	44314021	44316243	44316339
9	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44320147	44319350	44319415	44320083	44320147
10	"ENSG00000141959"	"PFKL"	chr21	+	44319350	44321875	44319350	44320147	44321728	44321875
11	"ENSG00000141959"	"PFKL"	chr21	+	44324855	44326060	44324855	44324917	44325960	44326060
12	"ENSG00000160224"	"AIRE"	chr21	+	44286977	44287591	44286977	44287133	44287516	44287591
13	"ENSG00000160224"	"AIRE"	chr21	+	44288344	44289802	44288344	44288458	44289656	44289802
14	"ENSG00000160224"	"AIRE"	chr21	+	44292992	44293175	44292992	44293025	44293107	44293175
15	"ENSG00000160223"	"ICOSLG"	chr21	-	44226833	44230089	44226833	44229044	44230053	44230089
16	"ENSG00000160179"	"ABCG1"	chr21	+	42287888	42288312	42287888	42288037	42288210	42288312
17	"ENSG00000160179"	"ABCG1"	chr21	+	42287888	42288312	42287888	42288073	42288210	42288312
18	"ENSG00000235123"	"DSCAM-AS1"	chr21	+	40383082	40383584	40383082	40383408	40383505	40383584
19	"ENSG00000182093"	"GET1"	chr21	+	39390697	39391476	39390697	39390863	39391226	39391476
20	"ENSG00000182093"	"GET1"	chr21	+	39405913	39406731	39405913	39406058	39406561	39406731
21	"ENSG00000182093"	"GET1"	chr21	+	39405913	39406731	39405913	39406298	39406561	39406731
22	"ENSG00000205581"	"HMGN1"	chr21	-	39345829	39347292	39345829	39345958	39347113	39347292
23	"ENSG00000205581"	"HMGN1"	chr21	-	39345829	39347292	39345829	39345958	39347246	39347292
24	"ENSG00000205581"	"HMGN1"	chr21	-	39345145	39348339	39345145	39345274	39348291	39348339
25	"ENSG00000205581"	"HMGN1"	chr21	-	39348421	39348577	39348421	39348451	39348544	39348577
26	"ENSG00000243064"	"ABCC13"	chr21	+	14288403	14291747	14288403	14288546	14291569	14291747
27	"ENSG00000243064"	"ABCC13"	chr21	+	14316200	14317635	14316200	14316368	14317472	14317635
28	"ENSG00000154734"	"ADAMTS1"	chr21	-	26838438	26839762	26838438	26838614	26839586	26839762
29	"ENSG00000154734"	"ADAMTS1"	chr21	-	26839874	26840562	26839874	26840061	26840275	26840562
30	"ENSG00000154734"	"ADAMTS1"	chr21	-	26839874	26840562	26839874	26840061	26840313	26840562
31	"ENSG00000185917"	"SETD4"	chr21	-	36034540	36036251	36034540	36035960	36036084	36036251
32	"ENSG00000160200"	"CBS"	chr21	-	43053190	43053983	43053190	43053647	43053861	43053983
33	"ENSG00000241945"	"PWP2"	chr21	+	44120951	44122357	44120951	44121102	44122176	44122357
34	"ENSG00000241945"	"PWP2"	chr21	+	44124579	44126119	44124579	44124727	44126010	44126119
35	"ENSG00000160298"	"C21orf58"	chr21	-	46301129	46302154	46301129	46301713	46301996	46302154
36	"ENSG00000160298"	"C21orf58"	chr21	-	46314870	46315547	46314870	46315049	46315473	46315547
37	"ENSG00000155307"	"SAMSN1"	chr21	-	14612504	14612913	14612504	14612645	14612875	14612913
38	"ENSG00000159079"	"CFAP298"	chr21	-	32601666	32603292	32601666	32601973	32603160	32603292
39	"ENSG00000173276"	"ZBTB21"	chr21	-	41986830	41994108	41986830	41991889	41992492	41994108
40	"ENSG00000274276"	"CBSL"	chr21	-	6444868	6445661	6444868	6445325	6445539	6445661
41	"ENSG00000224924"	"LINC00320"	chr21	-	20742586	20743833	20742586	20742791	20743615	20743833
42	"ENSG00000156239"	"N6AMT1"	chr21	-	28872190	28876491	28872190	28872739	28876311	28876491
43	"ENSG00000224309"	"ANKRD30BP2"	chr21	+	13042778	13045270	13042778	13042952	13045162	13045270
44	"ENSG00000228314"	"CYP4F29P"	chr21	-	13846758	13847123	13846758	13846879	13847062	13847123
45	"ENSG00000160294"	"MCM3AP"	chr21	-	46246306	46246886	46246306	46246404	46246627	46246886
46	"ENSG00000205622"	NA	chr21	-	38904229	38905423	38904229	38904483	38904954	38905423
47	"ENSG00000205622"	NA	chr21	-	38923425	38923693	38923425	38923513	38923637	38923693
48	"ENSG00000157538"	"VPS26C"	chr21	-	37223419	37227806	37223419	37225626	37227653	37227806
49	"ENSG00000241837"	"ATP5PO"	chr21	-	33906448	33907453	33906448	33906500	33907340	33907453
50	"ENSG00000205726"	"ITSN1"	chr21	+	33829005	33829745	33829005	33829050	33829623	33829745
51	"ENSG00000205726"	"ITSN1"	chr21	+	33829005	33829745	33829005	33829168	33829623	33829745
52	"ENSG00000275895"	"U2AF1L5"	chr21	-	6492130	6496080	6492130	6492197	6495992	6496080
