ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000271254"	NA	chrKI270711.1	-	6990	7102	8603	8655	4611	6370	9364	9537
1	"ENSG00000271254"	NA	chrKI270711.1	-	7816	7989	9364	9537	6990	7102	10139	10191
2	"ENSG00000271254"	NA	chrKI270711.1	-	8603	8655	10139	10191	7816	7989	10910	11083
3	"ENSG00000271254"	NA	chrKI270711.1	-	9364	9537	10910	11083	6990	7102	11706	11758
4	"ENSG00000271254"	NA	chrKI270711.1	-	9364	9537	10910	11083	8603	8655	11706	11758
5	"ENSG00000155313"	"USP25"	chr21	+	15799756	15799843	15805120	15805258	15791501	15791664	15808808	15808885
6	"ENSG00000155313"	"USP25"	chr21	+	15805120	15805258	15808808	15808885	15799756	15799843	15811136	15811210
7	"ENSG00000155313"	"USP25"	chr21	+	15833347	15833548	15842397	15842540	15831400	15831629	15864267	15864446
8	"ENSG00000155313"	"USP25"	chr21	+	15833347	15833548	15864267	15864446	15831400	15831629	15866265	15866344
9	"ENSG00000155313"	"USP25"	chr21	+	15842397	15842540	15864267	15864446	15833347	15833548	15866265	15866344
10	"ENSG00000160285"	"LSS"	chr21	-	46222629	46222738	46227551	46227690	46221853	46221975	46228433	46228599
11	"ENSG00000160285"	"LSS"	chr21	-	46222662	46222738	46227551	46227690	46221853	46221975	46228433	46228599
12	"ENSG00000160285"	"LSS"	chr21	-	46227551	46227690	46228433	46228599	46222629	46222738	46228731	46228774
13	"ENSG00000157578"	"LCA5L"	chr21	-	39429130	39429211	39444134	39444201	39422411	39423490	39445724	39445805
14	"ENSG00000157578"	"LCA5L"	chr21	-	39429130	39429211	39435419	39435573	39422987	39423490	39445724	39445761
15	"ENSG00000157578"	"LCA5L"	chr21	-	39429130	39429394	39435419	39435542	39423419	39423490	39444134	39444201
20	"ENSG00000186866"	"POFUT2"	chr21	-	45283382	45283527	45285268	45285328	45282348	45282459	45285677	45285928
21	"ENSG00000141959"	"PFKL"	chr21	+	44304274	44304455	44305256	44305417	44300050	44300190	44305799	44305935
22	"ENSG00000141959"	"PFKL"	chr21	+	44306680	44306754	44311005	44311083	44300052	44300190	44312104	44312294
23	"ENSG00000141959"	"PFKL"	chr21	+	44311005	44311083	44312104	44312294	44306680	44306754	44312977	44313143
24	"ENSG00000141959"	"PFKL"	chr21	+	44323765	44323918	44324490	44324655	44322961	44323049	44324855	44324917
25	"ENSG00000141959"	"PFKL"	chr21	+	44325152	44325264	44325960	44326060	44324855	44324917	44326158	44326264
29	"ENSG00000160191"	"PDE9A"	chr21	+	42687916	42687994	42698967	42699011	42686191	42686262	42732069	42732124
31	"ENSG00000160191"	"PDE9A"	chr21	+	42698967	42699011	42733355	42733426	42653778	42653883	42743775	42743860
32	"ENSG00000160191"	"PDE9A"	chr21	+	42698967	42699011	42732069	42732124	42687916	42687994	42733355	42733426
33	"ENSG00000160191"	"PDE9A"	chr21	+	42698967	42699011	42733355	42733426	42687916	42687994	42743775	42743860
36	"ENSG00000160191"	"PDE9A"	chr21	+	42733355	42733426	42743775	42743860	42653778	42653883	42751115	42751197
37	"ENSG00000160191"	"PDE9A"	chr21	+	42733355	42733426	42743775	42743860	42698967	42699011	42751115	42751197
39	"ENSG00000285815"	"GET1-SH3BGR"	chr21	+	39475134	39475215	39499822	39499915	39462374	39462560	39508997	39509027
45	"ENSG00000205581"	"HMGN1"	chr21	-	39345829	39345958	39347915	39347952	39345145	39345274	39348291	39348339
48	"ENSG00000205581"	"HMGN1"	chr21	-	39347246	39347292	39347915	39347952	39345145	39345274	39348291	39348339
49	"ENSG00000205581"	"HMGN1"	chr21	-	39347378	39347478	39347915	39347952	39345145	39345274	39348291	39348339
50	"ENSG00000205581"	"HMGN1"	chr21	-	39347378	39347478	39347915	39347952	39345829	39345958	39348291	39348339
51	"ENSG00000205581"	"HMGN1"	chr21	-	39347378	39347483	39347915	39347952	39345145	39345274	39348291	39348339
52	"ENSG00000205581"	"HMGN1"	chr21	-	39347378	39347483	39348291	39348339	39345145	39345274	39348421	39348451
53	"ENSG00000205581"	"HMGN1"	chr21	-	39347378	39347483	39347915	39347952	39345829	39345958	39348291	39348339
54	"ENSG00000205581"	"HMGN1"	chr21	-	39347378	39347483	39348291	39348339	39345829	39345958	39348421	39348451
55	"ENSG00000205581"	"HMGN1"	chr21	-	39348291	39348339	39348421	39348451	39345145	39345274	39348544	39348577
56	"ENSG00000205581"	"HMGN1"	chr21	-	39348291	39348339	39348421	39348577	39345145	39345274	39348902	39349054
57	"ENSG00000185658"	"BRWD1"	chr21	-	39238478	39238573	39247700	39247832	39236718	39236784	39250795	39250889
59	"ENSG00000185917"	"SETD4"	chr21	-	36045581	36046011	36053582	36053620	36043685	36043956	36057108	36057204
60	"ENSG00000185917"	"SETD4"	chr21	-	36045581	36046011	36048307	36048396	36043781	36043956	36053582	36053620
61	"ENSG00000185917"	"SETD4"	chr21	-	36048307	36048396	36053582	36053620	36045581	36046011	36057108	36057204
62	"ENSG00000157540"	"DYRK1A"	chr21	+	37421773	37421866	37425689	37425781	37420311	37420384	37428866	37428908
63	"ENSG00000157540"	"DYRK1A"	chr21	+	37421773	37421866	37428866	37428908	37420311	37420384	37430268	37430400
64	"ENSG00000157540"	"DYRK1A"	chr21	+	37425689	37425781	37428866	37428908	37421773	37421866	37430268	37430400
65	"ENSG00000160214"	"RRP1"	chr21	+	43800516	43800614	43800861	43800881	43799569	43799649	43802273	43802387
66	"ENSG00000160214"	"RRP1"	chr21	+	43800861	43800881	43802273	43802387	43800516	43800614	43803511	43805293
