ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
4	"ENSG00000157578"	"LCA5L"	chr21	-	39429130	39429394	39429130	39429211	39444134	39444201
6	"ENSG00000157601"	"MX1"	chr21	+	41421837	41422095	41421974	41422095	41420609	41420817
11	"ENSG00000186866"	"POFUT2"	chr21	-	45263927	45267713	45263927	45265635	45269838	45270019
14	"ENSG00000141959"	"PFKL"	chr21	+	44313912	44316339	44316243	44316339	44313637	44313682
20	"ENSG00000160191"	"PDE9A"	chr21	+	42698912	42699011	42698967	42699011	42687916	42687994
21	"ENSG00000160191"	"PDE9A"	chr21	+	42698912	42699011	42698967	42699011	42697414	42697490
26	"ENSG00000205581"	"HMGN1"	chr21	-	39347378	39347483	39347378	39347478	39347915	39347952
28	"ENSG00000205581"	"HMGN1"	chr21	-	39345145	39348339	39345145	39345274	39348421	39348451
29	"ENSG00000205581"	"HMGN1"	chr21	-	39348421	39348577	39348421	39348451	39348902	39349054
34	"ENSG00000185917"	"SETD4"	chr21	-	36058815	36058973	36058815	36058924	36059821	36060242
42	"ENSG00000160298"	"C21orf58"	chr21	-	46301129	46302154	46301129	46301713	46302484	46302576
55	"ENSG00000205622"	NA	chr21	-	38923637	38923784	38923637	38923693	38926024	38926305
59	"ENSG00000205726"	"ITSN1"	chr21	+	33772038	33772323	33772060	33772323	33765874	33766012
75	"ENSG00000100221"	"JOSD1"	chr22	-	38699802	38700618	38699802	38700123	38700799	38700943
76	"ENSG00000100221"	"JOSD1"	chr22	-	38699802	38700618	38699802	38700123	38700903	38700930
101	"ENSG00000239900"	"ADSL"	chr22	+	40349831	40353117	40353072	40353117	40346528	40346656
102	"ENSG00000239900"	"ADSL"	chr22	+	40349831	40353117	40353072	40353117	40346528	40346711
104	"ENSG00000239900"	"ADSL"	chr22	+	40361487	40363071	40362980	40363071	40361272	40361342
106	"ENSG00000133460"	"SLC2A11"	chr22	+	23875116	23875241	23875120	23875241	23862103	23862202
129	"ENSG00000182944"	"EWSR1"	chr22	+	29292487	29292606	29292499	29292606	29288605	29288755
131	"ENSG00000182944"	"EWSR1"	chr22	+	29291561	29291599	29291564	29291599	29288986	29289062
132	"ENSG00000182944"	"EWSR1"	chr22	+	29292487	29292606	29292499	29292606	29292158	29292169
135	"ENSG00000100027"	"YPEL1"	chr22	-	21703838	21704125	21703838	21703882	21710486	21710908
136	"ENSG00000100151"	"PICK1"	chr22	+	38057752	38057850	38057819	38057850	38057264	38057436
137	"ENSG00000100151"	"PICK1"	chr22	+	38057752	38057850	38057819	38057850	38057482	38057587
143	"ENSG00000183963"	"SMTN"	chr22	+	31099061	31099896	31099744	31099896	31098666	31098840
146	"ENSG00000100429"	"HDAC10"	chr22	-	50245674	50246092	50245674	50245827	50246297	50246376
149	"ENSG00000100429"	"HDAC10"	chr22	-	50248830	50248890	50248830	50248859	50249327	50249454
153	"ENSG00000170638"	"TRABD"	chr22	+	50197822	50198186	50198074	50198186	50197448	50197588
162	"ENSG00000093010"	"COMT"	chr22	+	19962232	19962815	19962526	19962815	19961696	19961874
164	"ENSG00000100417"	"PMM1"	chr22	-	41583958	41584372	41583958	41584058	41584526	41584603
166	"ENSG00000100401"	"RANGAP1"	chr22	-	41280932	41281212	41280932	41281082	41285985	41286187
168	"ENSG00000100416"	"TRMU"	chr22	+	46350345	46350463	46350349	46350463	46337778	46337944
182	"ENSG00000100031"	"GGT1"	chr22	+	24610249	24610531	24610357	24610531	24607953	24608023
183	"ENSG00000100031"	"GGT1"	chr22	+	24610249	24610531	24610454	24610531	24607953	24608023
184	"ENSG00000100031"	"GGT1"	chr22	+	24610357	24610531	24610454	24610531	24607953	24608023
189	"ENSG00000133466"	"C1QTNF6"	chr22	-	37182151	37182735	37182151	37182582	37185217	37185455
197	"ENSG00000100395"	"L3MBTL2"	chr22	+	41227088	41227869	41227803	41227869	41226661	41226744
223	"ENSG00000184708"	"EIF4ENIF1"	chr22	-	31449347	31449531	31449347	31449408	31454179	31454376
241	"ENSG00000274602"	"PI4KAP1"	chr22	-	18536649	18537412	18536649	18536808	18538432	18538558
249	"ENSG00000278558"	"TMEM191B"	chr22	+	18529605	18530008	18529935	18530008	18529440	18529497
252	"ENSG00000067048"	"DDX3Y"	chrY	+	12914883	12915227	12915066	12915227	12914563	12914649
256	"ENSG00000131002"	"TXLNGY"	chrY	+	19593398	19597665	19597590	19597665	19567349	19567570
258	"ENSG00000131002"	"TXLNGY"	chrY	+	19591779	19591959	19591919	19591959	19587209	19587507
260	"ENSG00000131002"	"TXLNGY"	chrY	+	19591779	19591959	19591919	19591959	19590752	19590772
272	"ENSG00000167491"	"GATAD2A"	chr19	+	19465339	19465614	19465344	19465614	19457111	19457229
273	"ENSG00000167491"	"GATAD2A"	chr19	+	19465339	19465614	19465344	19465614	19458465	19458614
274	"ENSG00000167491"	"GATAD2A"	chr19	+	19465339	19465614	19465344	19465614	19464681	19464965
280	"ENSG00000105576"	"TNPO2"	chr19	-	12723248	12723365	12723248	12723360	12723772	12723932
283	"ENSG00000120784"	"ZFP30"	chr19	-	37654711	37654879	37654711	37654785	37655099	37655412
296	"ENSG00000089356"	"FXYD3"	chr19	+	35122764	35122954	35122917	35122954	35121221	35121245
312	"ENSG00000064961"	"HMG20B"	chr19	+	3575501	3575660	3575539	3575660	3573691	3573800
319	"ENSG00000105607"	"GCDH"	chr19	+	12897302	12897863	12897702	12897863	12896909	12897013
327	"ENSG00000189144"	"ZNF573"	chr19	-	37771563	37771696	37771563	37771690	37772937	37772982
337	"ENSG00000075702"	"WDR62"	chr19	+	36073341	36073531	36073356	36073531	36067827	36068010
355	"ENSG00000132024"	"CC2D1A"	chr19	+	13927174	13928030	13927892	13928030	13926977	13927077
358	"ENSG00000104957"	"CCDC130"	chr19	+	13759099	13759272	13759110	13759272	13758867	13759010
366	"ENSG00000011243"	"AKAP8L"	chr19	-	15397713	15399410	15397713	15397855	15400294	15400358
367	"ENSG00000011243"	"AKAP8L"	chr19	-	15397713	15399984	15397713	15397855	15400294	15400358
369	"ENSG00000011243"	"AKAP8L"	chr19	-	15397713	15400358	15397713	15399410	15400793	15400864
381	"ENSG00000104915"	"STX10"	chr19	-	13145287	13145395	13145287	13145385	13149498	13150313
413	"ENSG00000129351"	"ILF3"	chr19	+	10683124	10683262	10683136	10683262	10681992	10682192
432	"ENSG00000132017"	"DCAF15"	chr19	+	13959581	13959673	13959583	13959673	13959044	13959479
440	"ENSG00000123815"	"COQ8B"	chr19	-	40703540	40703855	40703540	40703622	40710058	40710136
441	"ENSG00000123815"	"COQ8B"	chr19	-	40705095	40705181	40705095	40705174	40710058	40710136
442	"ENSG00000123815"	"COQ8B"	chr19	-	40705095	40705447	40705095	40705174	40710058	40710136
451	"ENSG00000160410"	"SHKBP1"	chr19	+	40583600	40583717	40583608	40583717	40583465	40583485
459	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490297	49490231	49490297	49487607	49487644
460	"ENSG00000142541"	"RPL13A"	chr19	+	49490126	49490297	49490231	49490297	49489849	49489912
462	"ENSG00000142541"	"RPL13A"	chr19	+	49490231	49490576	49490474	49490576	49489849	49489922
464	"ENSG00000142541"	"RPL13A"	chr19	+	49490778	49491547	49491424	49491547	49490474	49490576
484	"ENSG00000099797"	"TECR"	chr19	+	14565065	14565290	14565201	14565290	14564948	14564992
500	"ENSG00000142546"	"NOSIP"	chr19	-	49557089	49558978	49557089	49557249	49559933	49560039
512	"ENSG00000104872"	"PIH1D1"	chr19	-	49451484	49451591	49451484	49451578	49453392	49453494
516	"ENSG00000205517"	"RGL3"	chr19	-	11402010	11402541	11402010	11402132	11402649	11402706
517	"ENSG00000205517"	"RGL3"	chr19	-	11406721	11406864	11406721	11406831	11415936	11416148
518	"ENSG00000205517"	"RGL3"	chr19	-	11406721	11406864	11406721	11406831	11416613	11416667
520	"ENSG00000205517"	"RGL3"	chr19	-	11416613	11417059	11416613	11416667	11418670	11418784
529	"ENSG00000063176"	"SPHK2"	chr19	+	48625890	48626362	48626067	48626362	48624005	48624430
530	"ENSG00000063176"	"SPHK2"	chr19	+	48625890	48626362	48626067	48626362	48624951	48625076
531	"ENSG00000063177"	"RPL18"	chr19	-	48615876	48615946	48615876	48615905	48616725	48616824
543	"ENSG00000166398"	"GARRE1"	chr19	+	34349015	34349153	34349119	34349153	34347876	34348042
544	"ENSG00000168661"	"ZNF30"	chr19	+	34933610	34933723	34933624	34933723	34931842	34931993
545	"ENSG00000168661"	"ZNF30"	chr19	+	34933610	34933723	34933627	34933723	34931842	34931993
547	"ENSG00000115268"	"RPS15"	chr19	+	1438806	1438892	1438810	1438892	1438418	1438580
593	"ENSG00000130811"	"EIF3G"	chr19	-	10118867	10119171	10118867	10118956	10119653	10119700
595	"ENSG00000130813"	"SHFL"	chr19	+	10089110	10089378	10089306	10089378	10087250	10087300
596	"ENSG00000130813"	"SHFL"	chr19	+	10089306	10089695	10089656	10089695	10087250	10087300
602	"ENSG00000115257"	"PCSK4"	chr19	-	1483649	1483941	1483649	1483767	1484026	1484127
605	"ENSG00000115286"	"NDUFS7"	chr19	+	1388832	1391050	1390870	1391050	1388524	1388593
606	"ENSG00000063244"	"U2AF2"	chr19	+	55662501	55662618	55662504	55662618	55661770	55661834
607	"ENSG00000173581"	"CCDC106"	chr19	+	55648945	55649077	55649001	55649077	55641061	55641183
610	"ENSG00000063241"	"ISOC2"	chr19	-	55455259	55455378	55455259	55455330	55456348	55456489
626	"ENSG00000213024"	"NUP62"	chr19	-	49927693	49927848	49927693	49927815	49929349	49929763
627	"ENSG00000213024"	"NUP62"	chr19	-	49927693	49927848	49927693	49927815	49929416	49929504
633	"ENSG00000123143"	"PKN1"	chr19	+	14470770	14470851	14470781	14470851	14470631	14470682
636	"ENSG00000065000"	"AP3D1"	chr19	-	2109085	2109958	2109085	2109207	2110135	2110224
678	"ENSG00000105193"	"RPS16"	chr19	-	39433521	39433761	39433521	39433569	39435606	39435708
