ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
105	"ENSG00000102225.16"	"CDK16"	chrX	+	47225964	47226703	47225964	47226027	47226582	47226703
123	"ENSG00000100299.18"	"ARSA"	chr22	-	50626590	50627406	50626590	50626760	50627165	50627406
136	"ENSG00000188130.14"	"MAPK12"	chr22	-	50255614	50256199	50255614	50255694	50256084	50256199
161	"ENSG00000100316.16"	"RPL3"	chr22	-	39313190	39314208	39313190	39313310	39314106	39314208
168	"ENSG00000100360.15"	"IFT27"	chr22	-	36758210	36764036	36758210	36758409	36763918	36764036
174	"ENSG00000100225.18"	"FBXO7"	chr22	+	32487744	32493281	32487744	32487828	32493104	32493281
179	"ENSG00000185133.14"	"INPP5J"	chr22	+	31126612	31127532	31126612	31126721	31127356	31127532
207	"ENSG00000131002.12"	"TXLNGY"	chrY	+	19593398	19597665	19593398	19593593	19597590	19597665
223	"ENSG00000206140.11"	"TMEM191C"	chr22	+	21467893	21468431	21467893	21468017	21468353	21468431
340	"ENSG00000124228.14"	"DDX27"	chr20	+	49233567	49236231	49233567	49233709	49236149	49236231
365	"ENSG00000149636.15"	"DSN1"	chr20	-	36770872	36771473	36770872	36771024	36771424	36771473
370	"ENSG00000214078.12"	"CPNE1"	chr20	-	35630438	35631034	35630438	35630490	35630900	35631034
377	"ENSG00000088340.16"	"FER1L4"	chr20	-	35559340	35560638	35559340	35559627	35560539	35560638
490	"ENSG00000140854.13"	"KATNB1"	chr16	+	57736977	57737283	57736977	57737067	57737225	57737283
532	"ENSG00000039650.12"	"PNKP"	chr19	-	49861448	49861881	49861448	49861510	49861771	49861881
550	"ENSG00000178038.17"	"ALS2CL"	chr3	-	46679209	46681407	46679209	46679287	46681245	46681407
594	"ENSG00000168090.10"	"COPS6"	chr7	+	100090591	100091152	100090591	100090654	100091037	100091152
666	"ENSG00000214944.9"	"ARHGEF28"	chr5	+	73897961	73904260	73897961	73898093	73904221	73904260
671	"ENSG00000214087.8"	"ARL16"	chr17	-	81682033	81683594	81682033	81682675	81683535	81683594
675	"ENSG00000164889.14"	"SLC4A2"	chr7	+	151074038	151074841	151074038	151074293	151074674	151074841
711	"ENSG00000104695.13"	"PPP2CB"	chr8	-	30799545	30799755	30799545	30799648	30799716	30799755
758	"ENSG00000092531.10"	"SNAP23"	chr15	+	42513173	42513447	42513173	42513209	42513398	42513447
764	"ENSG00000186088.16"	"GSAP"	chr7	-	77329332	77330367	77329332	77329391	77330181	77330367
783	"ENSG00000132424.16"	"PNISR"	chr6	-	99414571	99416428	99414571	99414686	99416348	99416428
792	"ENSG00000092010.15"	"PSME1"	chr14	+	24136984	24137431	24136984	24137017	24137320	24137431
813	"ENSG00000168765.17"	"GSTM4"	chr1	+	109656711	109657671	109656711	109656787	109657589	109657671
