ID...1	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID...14	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
12	ENSG00000157578	LCA5L	chr21	-	39429130	39429211	39435419	39435573	39422987	39423490	39445724	39445761	12	0,2,3	1,0,2	0,0,0	5,4,1	303	230	0.00168369694823	0.030325670977	0.0,1.0,0.532	0.0,0.0,0.0	0.511
13	ENSG00000157578	LCA5L	chr21	-	39429130	39429394	39435419	39435542	39423419	39423490	39444134	39444201	13	2,2,4	1,1,0	0,10,2	4,4,1	272	413	0.00219169545781	0.0370200710783	0.752,0.752,1.0	0.0,0.791,0.752	0.32
42	ENSG00000205581	HMGN1	chr21	-	39345829	39345958	39347378	39347478	39345145	39345274	39348291	39348339	42	181,160,173	607,680,546	126,119,149	700,637,680	249	278	0.000895385188321	0.0186447227967	0.25,0.208,0.261	0.167,0.173,0.197	0.061
43	ENSG00000205581	HMGN1	chr21	-	39345829	39345958	39347378	39347483	39345145	39345274	39348291	39348339	43	299,245,270	607,680,546	200,162,232	700,637,680	254	278	0.0000536200282121	0.00206308042795	0.35,0.283,0.351	0.238,0.218,0.272	0.085
44	ENSG00000205581	HMGN1	chr21	-	39345829	39345958	39347915	39347952	39345145	39345274	39348291	39348339	44	104,107,123	607,680,546	66,56,70	700,637,680	186	278	0.000000160009468009	0.0000183118635182	0.204,0.19,0.252	0.124,0.116,0.133	0.091
47	ENSG00000205581	HMGN1	chr21	-	39347246	39347292	39347915	39347952	39345145	39345274	39348291	39348339	47	104,107,123	10,10,9	66,56,70	10,13,18	186	195	0.000815044345395	0.0173728858236	0.916,0.918,0.935	0.874,0.819,0.803	0.091
57	ENSG00000185658	BRWD1	chr21	-	39218528	39218660	39224407	39224469	39215236	39215362	39225085	39225197	57	14,24,37	0,2,2	11,12,15	8,1,2	211	281	0.00296104854835	0.0462275350207	1.0,0.941,0.961	0.647,0.941,0.909	0.135
60	ENSG00000183844	FAM3B	chr21	+	41345685	41345736	41346208	41346407	41338377	41338501	41347012	41347100	60	20,10,15	10,17,11	11,11,14	31,41,33	200	348	0.000449445861295	0.0109717469184	0.777,0.506,0.704	0.382,0.318,0.425	0.287
115	ENSG00000286129	NA	chr22	+	22307532	22307591	22308696	22308819	22307105	22307245	22309735	22309883	115	2,4,4	16,9,23	1,2,0	12,29,19	208	272	0.00235799287507	0.0391516164942	0.14,0.368,0.185	0.098,0.083,0.0	0.171
146	ENSG00000182944	EWSR1	chr22	+	29273737	29273864	29278130	29278216	29272379	29272431	29282389	29282557	146	53,135,98	332,321,285	122,140,143	297,298,276	276	235	0.0029083964375	0.0456729744704	0.12,0.264,0.226	0.259,0.286,0.306	-0.08
177	ENSG00000183597	TANGO2	chr22	+	20043354	20043443	20052464	20052584	20036758	20036854	20055942	20056013	177	48,38,62	23,19,30	35,46,29	29,39,38	238	269	0.00203781946005	0.0349676871775	0.702,0.693,0.7	0.577,0.571,0.463	0.161
180	ENSG00000183597	TANGO2	chr22	+	20053436	20053551	20055942	20056013	20052464	20052584	20063337	20063442	180	46,48,52	39,21,39	38,22,28	38,48,49	264	220	0.00130026202799	0.0249023103299	0.496,0.656,0.526	0.455,0.276,0.323	0.208
189	ENSG00000100401	RANGAP1	chr22	-	41256190	41256290	41256710	41256824	41256020	41256105	41257947	41258106	189	390,290,420	3057,3079,2642	232,263,295	2772,2643,3177	263	249	0.00132490643003	0.0252513089396	0.108,0.082,0.131	0.073,0.086,0.081	0.027
194	ENSG00000100416	TRMU	chr22	+	46346421	46346544	46350345	46350463	46337778	46337944	46352120	46352174	194	109,85,105	231,204,170	55,61,80	193,190,230	272	267	0.00146622042361	0.0272421593202	0.317,0.29,0.377	0.219,0.24,0.255	0.09
195	ENSG00000100416	TRMU	chr22	+	46346421	46346544	46350349	46350463	46337778	46337944	46352120	46352174	195	109,85,105	230,204,171	55,61,80	191,189,229	272	263	0.00164128426732	0.0297306230299	0.314,0.287,0.373	0.218,0.238,0.252	0.089
243	ENSG00000093000	NUP50	chr22	+	45171599	45171683	45178237	45178900	45170987	45171177	45181285	45181367	243	55,74,76	2352,2467,2568	88,85,85	2030,2149,2250	233	812	0.00290005520226	0.0455638207948	0.075,0.095,0.093	0.131,0.121,0.116	-0.035
268	ENSG00000228315	GUSBP11	chr22	-	23659864	23660000	23683724	23683867	23638486	23638942	23690235	23690356	268	11,5,2	8,8,10	5,1,0	22,8,15	292	285	0.0024856013145	0.0407452931171	0.573,0.379,0.163	0.182,0.109,0.0	0.275
275	ENSG00000228315	GUSBP11	chr22	-	23695172	23695517	23700725	23700845	23683724	23683867	23705428	23705541	275	2,5,1	16,21,27	0,0,1	12,17,9	269	494	0.000685479579665	0.0151908826778	0.187,0.304,0.064	0.0,0.0,0.169	0.129
279	ENSG00000100325	ASCC2	chr22	-	29832244	29832342	29833540	29833614	29825621	29825780	29834488	29834550	279	14,18,13	172,172,135	5,2,6	165,149,158	223	247	0.0000188850649276	0.000887011558898	0.083,0.104,0.096	0.032,0.015,0.04	0.065
299	ENSG00000160336	ZNF761	chr19	+	53445000	53445219	53446226	53446337	53431983	53432028	53447195	53447283	299	70,78,106	363,543,328	54,49,33	312,412,416	368	260	0.000114856487674	0.00378768261566	0.12,0.092,0.186	0.109,0.078,0.053	0.053
349	ENSG00000257103	LSM14A	chr19	+	34208928	34209051	34215123	34215300	34196633	34196763	34215595	34215661	349	354,329,449	1243,1324,1295	274,239,251	1306,1201,1265	272	326	0.000163215090626	0.00503610254208	0.254,0.229,0.294	0.201,0.193,0.192	0.064
360	ENSG00000075702	WDR62	chr19	+	36092688	36092811	36094030	36094164	36090444	36090520	36097026	36097079	360	3,7,0	70,66,49	3,11,17	60,59,77	272	283	0.00182876376272	0.0323458888913	0.043,0.099,0.0	0.049,0.162,0.187	-0.085
446	ENSG00000142541	RPL13A	chr19	+	49490231	49490576	49490778	49490864	49489849	49489922	49491039	49491099	446	7005,6785,7517	43297,39879,31601	5093,5356,7094	40364,35422,45897	494	235	0.00133664126144	0.0254453632547	0.071,0.075,0.102	0.057,0.067,0.068	0.019
450	ENSG00000142541	RPL13A	chr19	+	49490474	49490576	49490778	49490864	49489849	49490297	49491039	49491099	450	9451,7961,9791	43297,39879,31603	6581,6211,7962	40364,35425,45873	251	235	0.0000517362724237	0.00201027114501	0.17,0.157,0.225	0.132,0.141,0.14	0.046
468	ENSG00000126460	PRRG2	chr19	+	49583206	49583304	49583541	49583717	49581315	49581481	49583912	49583952	468	127,113,100	79,72,47	123,113,140	46,52,32	247	325	0.00198251002078	0.0343544209594	0.679,0.674,0.737	0.779,0.741,0.852	-0.094
496	ENSG00000267120	NA	chr19	-	35744625	35744738	35745124	35745212	35744322	35744421	35745347	35745432	496	257,302,224	93,84,84	230,234,296	56,53,58	237	262	0.00219054358379	0.0370069732855	0.753,0.799,0.747	0.82,0.83,0.849	-0.067
505	ENSG00000216490	IFI30	chr19	+	18175039	18175222	18175310	18175385	18173812	18173973	18175604	18175697	505	211,170,176	163,138,95	186,188,220	215,187,227	332	224	0.00211463565494	0.036046709328	0.466,0.454,0.556	0.369,0.404,0.395	0.103
