ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
11	"ENSG00000141959"	"PFKL"	chr21	+	44324855	44326060	44324855	44324917	44325960	44326060
85	"ENSG00000239900"	"ADSL"	chr22	+	40361272	40363071	40361272	40361342	40362980	40363071
91	"ENSG00000133460"	"SLC2A11"	chr22	+	23883771	23884429	23883771	23883873	23884301	23884429
95	"ENSG00000182944"	"EWSR1"	chr22	+	29288605	29291599	29288605	29288755	29291561	29291599
99	"ENSG00000182944"	"EWSR1"	chr22	+	29298732	29299851	29298732	29298895	29299598	29299851
124	"ENSG00000093010"	"COMT"	chr22	+	19961696	19962815	19961696	19961874	19962232	19962815
161	"ENSG00000100225"	"FBXO7"	chr22	+	32487744	32493281	32487744	32487828	32493104	32493281
180	"ENSG00000278558"	"TMEM191B"	chr22	+	18529605	18530008	18529605	18529689	18529935	18530008
188	"ENSG00000131002"	"TXLNGY"	chrY	+	19593398	19597665	19593398	19593593	19597590	19597665
252	"ENSG00000132024"	"CC2D1A"	chr19	+	13926977	13928030	13926977	13927077	13927892	13928030
257	"ENSG00000104957"	"CCDC130"	chr19	+	13758867	13759272	13758867	13759010	13759110	13759272
263	"ENSG00000011243"	"AKAP8L"	chr19	-	15397713	15400358	15397713	15397855	15400294	15400358
266	"ENSG00000011243"	"AKAP8L"	chr19	-	15397713	15400864	15397713	15399410	15400793	15400864
309	"ENSG00000130734"	"ATG4D"	chr19	+	10546838	10547253	10546838	10547075	10547188	10547253
343	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490576	49489849	49489922	49490474	49490576
347	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490864	49489849	49489912	49490778	49490864
348	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490864	49489849	49489922	49490778	49490864
349	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49490864	49489849	49490297	49490778	49490864
352	"ENSG00000142541"	"RPL13A"	chr19	+	49489849	49491547	49489849	49490864	49491424	49491547
401	"ENSG00000063177"	"RPL18"	chr19	-	48616078	48617423	48616078	48616202	48617315	48617423
408	"ENSG00000267796"	"LIN37"	chr19	+	35752433	35752999	35752433	35752484	35752913	35752999
466	"ENSG00000213024"	"NUP62"	chr19	-	49927693	49929504	49927693	49927815	49929416	49929504
467	"ENSG00000213024"	"NUP62"	chr19	-	49927693	49929504	49927693	49927848	49929416	49929504
