ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
14090	"ENSG00000271254"	NA	chrKI270711.1	-	9457	9537	10910	11083	8603	8655	11706	11758
14091	"ENSG00000277196"	NA	chrKI270734.1	-	148413	148478	149051	149100	148115	148232	150349	150499
14092	"ENSG00000155313"	"USP25"	chr21	+	15791495	15791664	15799756	15799843	15765996	15766141	15805120	15805258
14093	"ENSG00000155313"	"USP25"	chr21	+	15791503	15791664	15799756	15799843	15765996	15766141	15805120	15805258
14094	"ENSG00000155313"	"USP25"	chr21	+	15799756	15799843	15805120	15805155	15791501	15791664	15808808	15808885
14095	"ENSG00000155313"	"USP25"	chr21	+	15799756	15799843	15805120	15805261	15791501	15791664	15808808	15808885
14096	"ENSG00000155313"	"USP25"	chr21	+	15805120	15805155	15808808	15808885	15799756	15799843	15811136	15811210
14097	"ENSG00000155313"	"USP25"	chr21	+	15805120	15805155	15808808	15809238	15799756	15799843	15811136	15811210
14098	"ENSG00000155313"	"USP25"	chr21	+	15805120	15805258	15808808	15809238	15799756	15799843	15811136	15811210
14099	"ENSG00000155313"	"USP25"	chr21	+	15818820	15818846	15824965	15825061	15811136	15811210	15826203	15826365
14100	"ENSG00000155313"	"USP25"	chr21	+	15833326	15833548	15842397	15842540	15831400	15831629	15864267	15864446
14101	"ENSG00000155313"	"USP25"	chr21	+	15833326	15833548	15864267	15864446	15831400	15831629	15866265	15866344
14102	"ENSG00000155313"	"USP25"	chr21	+	15833338	15833548	15842397	15842540	15831400	15831629	15864267	15864446
14103	"ENSG00000155313"	"USP25"	chr21	+	15833338	15833548	15864267	15864446	15831400	15831629	15866265	15866344
14104	"ENSG00000155313"	"USP25"	chr21	+	15833349	15833548	15842397	15842540	15831400	15831629	15864267	15864446
14105	"ENSG00000155313"	"USP25"	chr21	+	15833349	15833548	15864267	15864446	15831400	15831629	15866265	15866344
14106	"ENSG00000155313"	"USP25"	chr21	+	15842403	15842540	15864267	15864446	15833347	15833548	15866265	15866344
14107	"ENSG00000155313"	"USP25"	chr21	+	15842406	15842540	15864267	15864446	15833347	15833548	15866265	15866344
14108	"ENSG00000155313"	"USP25"	chr21	+	15842409	15842540	15864267	15864446	15833347	15833548	15866265	15866344
14109	"ENSG00000155313"	"USP25"	chr21	+	15847662	15847776	15848173	15848241	15842517	15842540	15849776	15849872
14110	"ENSG00000155313"	"USP25"	chr21	+	15847662	15847776	15848173	15848250	15842517	15842540	15849776	15849872
14111	"ENSG00000160285"	"LSS"	chr21	-	46194191	46194661	46194992	46195228	46191880	46191959	46195675	46195756
14112	"ENSG00000160285"	"LSS"	chr21	-	46194191	46194670	46194992	46195228	46191880	46191959	46195675	46195756
14113	"ENSG00000160285"	"LSS"	chr21	-	46194452	46194661	46194992	46195228	46191880	46191959	46195675	46195756
14114	"ENSG00000160285"	"LSS"	chr21	-	46194452	46194670	46194992	46195228	46191880	46191959	46195675	46195756
14115	"ENSG00000160285"	"LSS"	chr21	-	46194490	46194661	46194992	46195228	46191880	46191959	46195675	46195756
14116	"ENSG00000160285"	"LSS"	chr21	-	46194490	46194670	46194992	46195228	46191880	46191959	46195675	46195756
14117	"ENSG00000160285"	"LSS"	chr21	-	46227524	46227690	46228433	46228599	46222662	46222738	46228731	46228781
14118	"ENSG00000160285"	"LSS"	chr21	-	46227524	46227690	46228433	46228467	46222662	46222738	46228731	46228822
14119	"ENSG00000160285"	"LSS"	chr21	-	46227551	46227690	46228433	46228467	46222629	46222738	46228731	46228822
14120	"ENSG00000160285"	"LSS"	chr21	-	46227584	46227690	46228433	46228599	46222662	46222738	46228731	46228781
14121	"ENSG00000160285"	"LSS"	chr21	-	46227584	46227690	46228433	46228467	46222662	46222738	46228731	46228822
14122	"ENSG00000160284"	"SPATC1L"	chr21	-	46168307	46168658	46182623	46182849	46161915	46162067	46184355	46184476
14123	"ENSG00000160284"	"SPATC1L"	chr21	-	46168307	46168658	46182623	46182958	46161915	46162067	46184355	46184476
14124	"ENSG00000160284"	"SPATC1L"	chr21	-	46168371	46168658	46182623	46182849	46161915	46162067	46184355	46184476
14125	"ENSG00000160284"	"SPATC1L"	chr21	-	46168371	46168658	46182623	46182958	46161915	46162067	46184355	46184476
14126	"ENSG00000157601"	"MX1"	chr21	+	41420557	41420817	41421837	41421871	41420365	41420440	41421974	41422095
14127	"ENSG00000157601"	"MX1"	chr21	+	41449218	41449295	41451166	41451243	41445999	41446141	41452620	41452869
14128	"ENSG00000186866"	"POFUT2"	chr21	-	45277232	45277600	45277764	45277773	45277016	45277142	45278102	45278169
14129	"ENSG00000186866"	"POFUT2"	chr21	-	45277530	45277600	45277764	45277773	45277016	45277142	45278102	45278169
14130	"ENSG00000141959"	"PFKL"	chr21	+	44306680	44306754	44311005	44311088	44300052	44300190	44312104	44312294
14131	"ENSG00000141959"	"PFKL"	chr21	+	44307179	44307328	44307963	44308082	44306680	44306754	44311005	44311083
14132	"ENSG00000141959"	"PFKL"	chr21	+	44307179	44307328	44307963	44308111	44306680	44306754	44311005	44311083
14133	"ENSG00000141959"	"PFKL"	chr21	+	44307259	44307328	44307963	44308082	44306680	44306754	44311005	44311083
14134	"ENSG00000141959"	"PFKL"	chr21	+	44307259	44307328	44307963	44308111	44306680	44306754	44311005	44311083
14135	"ENSG00000141959"	"PFKL"	chr21	+	44325073	44325264	44325960	44326060	44324855	44324917	44326158	44326264
14136	"ENSG00000141959"	"PFKL"	chr21	+	44325073	44325266	44325960	44326060	44324855	44324917	44326158	44326264
14137	"ENSG00000141959"	"PFKL"	chr21	+	44325133	44325264	44325960	44326060	44324855	44324917	44326158	44326264
14138	"ENSG00000141959"	"PFKL"	chr21	+	44325133	44325266	44325960	44326060	44324855	44324917	44326158	44326264
14139	"ENSG00000141959"	"PFKL"	chr21	+	44325152	44325266	44325960	44326060	44324855	44324917	44326158	44326264
14140	"ENSG00000160191"	"PDE9A"	chr21	+	42687517	42687994	42698967	42699011	42653812	42653883	42732069	42732124
14141	"ENSG00000160191"	"PDE9A"	chr21	+	42687517	42687994	42698967	42699011	42653812	42653883	42733355	42733426
14142	"ENSG00000160191"	"PDE9A"	chr21	+	42724555	42724634	42731750	42731949	42698967	42699011	42732069	42732124
14143	"ENSG00000160191"	"PDE9A"	chr21	+	42731750	42731949	42732069	42732124	42698967	42699011	42733355	42733426
14144	"ENSG00000160188"	"RSPH1"	chr21	-	42482636	42482708	42485668	42485765	42477290	42477444	42486370	42486461
14145	"ENSG00000160188"	"RSPH1"	chr21	-	42492965	42493079	42493477	42493591	42492757	42492863	42496132	42496246
14146	"ENSG00000160188"	"RSPH1"	chr21	-	42492982	42493079	42493477	42493591	42492757	42492863	42496132	42496246
14147	"ENSG00000183036"	"PCP4"	chr21	+	39883452	39883553	39887826	39888180	39867450	39867510	39898475	39898527
14148	"ENSG00000183036"	"PCP4"	chr21	+	39883452	39883553	39888028	39888180	39867450	39867510	39898475	39898527
14149	"ENSG00000183036"	"PCP4"	chr21	+	39883452	39883632	39887826	39888180	39867450	39867510	39898475	39898527
14150	"ENSG00000183036"	"PCP4"	chr21	+	39883452	39883632	39888028	39888180	39867450	39867510	39898475	39898527
14151	"ENSG00000183036"	"PCP4"	chr21	+	39916069	39916186	39926046	39926191	39898475	39898527	39928983	39929397
14152	"ENSG00000285815"	"GET1-SH3BGR"	chr21	+	39499822	39499915	39509001	39509027	39475134	39475215	39511679	39511809
