ID...1	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID...12	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
16	ENSG00000182093	GET1	chr21	+	39405913	39406298	39405913	39406058	39406561	39406731	16	4,2,1	2,0,1	0,0,0	8,5,2	389	149	0.000281596143755	0.0184967534426	0.434,1.0,0.277	0.0,0.0,0.0	0.57
36	ENSG00000159086	PAXBP1	chr21	-	32755212	32755353	32755229	32755353	32751118	32751218	36	184,168,186	221,208,185	217,254,281	174,194,197	166	149	0.000299681290619	0.0193876308597	0.428,0.42,0.474	0.528,0.54,0.561	-0.102
58	ENSG00000100038	TOP3B	chr22	-	21975904	21976187	21975980	21976187	21975639	21975807	58	4,2,3	19,11,11	0,0,0	8,13,20	225	149	0.000157364880407	0.0118356795315	0.122,0.107,0.153	0.0,0.0,0.0	0.127
193	ENSG00000105700	KXD1	chr19	+	18557761	18557949	18557761	18557914	18560419	18560550	193	1,0,2	18,7,7	5,3,2	7,6,2	184	149	0.000286705824822	0.0187334269785	0.043,0.0,0.188	0.366,0.288,0.447	-0.29
204	ENSG00000126453	BCL2L12	chr19	+	49669023	49669164	49669023	49669115	49670215	49670488	204	4,6,12	40,32,46	0,0,2	30,52,55	198	149	0.000000226500181721	0.0000641644083073	0.07,0.124,0.164	0.0,0.0,0.027	0.11
230	ENSG00000104957	CCDC130	chr19	+	13731759	13731950	13731759	13731931	13732174	13732285	230	12,25,8	0,0,0	7,9,11	0,3,7	168	149	0.00000404188520253	0.00072602645205	1.0,1.0,1.0	1.0,0.727,0.582	0.23
290	ENSG00000123815	COQ8B	chr19	-	40703368	40703622	40703540	40703622	40702599	40702693	290	10,13,10	58,46,44	21,19,24	37,27,57	321	149	0.000502371870199	0.0277818946708	0.074,0.116,0.095	0.209,0.246,0.163	-0.111
314	ENSG00000142541	RPL13A	chr19	+	49489849	49490297	49489849	49489922	49490778	49490864	314	52,67,59	0,0,0	43,71,85	0,0,27	524	149	0.000400312775407	0.0237696337353	1.0,1.0,1.0	1.0,1.0,0.472	0.176
318	ENSG00000142541	RPL13A	chr19	+	49489849	49489922	49489849	49489912	49491039	49491099	318	33,40,25	0,12,0	23,18,34	0,0,0	159	149	0.000163229721488	0.0122054075233	1.0,0.757,1.0	1.0,1.0,1.0	-0.081
323	ENSG00000142541	RPL13A	chr19	+	49489849	49491266	49489849	49490864	49491424	49491547	323	30,45,45	17,5,14	53,57,41	9,0,0	551	149	0.000437834345375	0.0252288310158	0.323,0.709,0.465	0.614,1.0,1.0	-0.372
347	ENSG00000126460	PRRG2	chr19	+	49583206	49583717	49583206	49583304	49583912	49583952	347	92,75,53	1,1,0	51,56,37	3,3,3	562	149	0.000181211431909	0.0131227278607	0.961,0.952,1.0	0.818,0.832,0.766	0.166
455	ENSG00000104859	CLASRP	chr19	+	45057749	45057898	45057749	45057882	45059267	45059364	455	967,884,903	96,59,59	911,853,1076	101,129,125	165	149	0.0000616788646739	0.00579871501713	0.901,0.931,0.933	0.891,0.857,0.886	0.044
480	ENSG00000159917	ZNF235	chr19	-	44298807	44298903	44298819	44298903	44236109	44236729	480	6,3,6	1,0,0	3,6,5	1,4,2	161	149	0.000115385055503	0.00937652397079	0.847,1.0,1.0	0.735,0.581,0.698	0.278
514	ENSG00000126249	PDCD2L	chr19	+	34404648	34404990	34404648	34404815	34413736	34413847	514	6,3,8	4,2,0	6,3,12	0,0,0	324	149	0.000126218774507	0.0100317280752	0.408,0.408,1.0	1.0,1.0,1.0	-0.395
545	ENSG00000099949	LZTR1	chr22	+	20983026	20983122	20983026	20983089	20985840	20985897	545	0,0,0	18,32,47	5,1,3	20,22,25	182	149	0.000402610209695	0.0238619835435	0.0,0.0,0.0	0.17,0.036,0.089	-0.098
560	ENSG00000031823	RANBP3	chr19	-	5957906	5957973	5957917	5957973	5941798	5941835	560	27,20,11	486,606,479	6,5,12	531,604,562	160	149	0.0000347256560888	0.00377207439265	0.049,0.03,0.021	0.01,0.008,0.019	0.021
572	ENSG00000087460	GNAS	chr20	+	58898940	58899162	58898940	58898985	58903530	58903585	572	90,84,99	727,790,677	50,77,71	730,778,966	326	149	0.000484720467065	0.0270107750044	0.054,0.046,0.063	0.03,0.043,0.033	0.019
592	ENSG00000000419	DPM1	chr20	-	50945736	50945923	50945846	50945923	50942030	50942126	592	238,242,231	29,19,21	240,232,240	6,8,14	259	149	0.0000665229097716	0.00617290365912	0.825,0.88,0.864	0.958,0.943,0.908	-0.08
627	ENSG00000214078	CPNE1	chr20	-	35664358	35664900	35664759	35664900	35658929	35658982	627	135,204,181	22,32,29	243,196,236	14,16,16	550	149	0.0000264883662495	0.0030580985279	0.624,0.633,0.628	0.825,0.768,0.8	-0.169
628	ENSG00000214078	CPNE1	chr20	-	35664358	35664900	35664759	35664900	35658929	35659014	628	135,206,181	72,112,115	240,196,236	52,72,71	550	149	0.000015577570747	0.00200466030002	0.337,0.333,0.299	0.556,0.424,0.474	-0.162
657	ENSG00000234684	SDCBP2-AS1	chr20	+	1325420	1325782	1325420	1325529	1373077	1373178	657	2,2,4	5,2,1	2,4,2	0,0,0	402	149	0.000000000130045973989	0.000000100755860281	0.129,0.27,0.597	1.0,1.0,1.0	-0.668
682	ENSG00000101361	NOP56	chr20	+	2655933	2656214	2655933	2656034	2656400	2656549	682	402,337,436	424,313,373	537,452,531	312,314,404	329	149	0.000870181914488	0.0422005416237	0.3,0.328,0.346	0.438,0.395,0.373	-0.077
769	ENSG00000238105	GOLGA2P5	chr12	-	100158678	100158873	100158797	100158873	100157996	100158077	769	42,24,42	62,49,66	47,46,53	50,33,44	268	149	0.000860094623404	0.0419009430702	0.274,0.214,0.261	0.343,0.437,0.401	-0.144
815	ENSG00000165280	VCP	chr9	-	35059442	35059801	35059492	35059801	35059063	35059219	815	41,24,30	1495,1206,1304	19,14,21	1567,1544,1722	199	149	0.00035537447107	0.0220160989756	0.02,0.015,0.017	0.009,0.007,0.009	0.009
848	ENSG00000198755	RPL10A	chr6	+	35468419	35468873	35468419	35468439	35469380	35469529	848	68,50,53	0,1,0	40,70,83	0,3,5	583	149	0.000781948550159	0.038916586888	1.0,0.927,1.0	1.0,0.856,0.809	0.087
918	ENSG00000172663	TMEM134	chr11	-	67467164	67467388	67467311	67467388	67465055	67465267	918	4,5,14	1,0,1	7,4,3	2,1,3	296	149	0.000851837321933	0.0415616470594	0.668,1.0,0.876	0.638,0.668,0.335	0.301
963	ENSG00000198301	SDAD1	chr4	-	75990695	75990945	75990751	75990945	75981932	75982037	963	21,26,19	305,336,284	6,2,5	196,187,140	205	149	0.0000619569116167	0.00581635205609	0.048,0.053,0.046	0.022,0.008,0.025	0.031
1067	ENSG00000177302	TOP3A	chr17	-	18308312	18308424	18308350	18308424	18306890	18306966	1067	5,5,8	31,31,55	2,0,0	34,29,33	187	149	0.0000229349190795	0.00270119579913	0.114,0.114,0.104	0.045,0.0,0.0	0.096
1121	ENSG00000105443	CYTH2	chr19	+	48474837	48474953	48474837	48474949	48478068	48478145	1121	17,14,13	139,148,157	29,18,29	114,138,106	153	149	0.000448455972073	0.02567979496	0.106,0.084,0.075	0.199,0.113,0.21	-0.086
1296	ENSG00000118495	PLAGL1	chr6	-	143965849	143966198	143966157	143966198	143964786	143964818	1296	8,27,21	29,34,45	7,5,7	43,42,33	457	149	0.0000657616071423	0.00611107790302	0.083,0.206,0.132	0.05,0.037,0.065	0.09
1306	ENSG00000182149	IST1	chr16	+	71895552	71895595	71895552	71895589	71915628	71915728	1306	6,12,4	0,3,5	1,7,7	0,0,0	155	149	0.0000796246060026	0.00707229269835	1.0,0.794,0.435	1.0,1.0,1.0	-0.257
1335	ENSG00000214293	APTR	chr7	-	77695895	77696255	77696171	77696255	77685201	77685328	1335	93,148,131	3,1,6	119,72,105	0,0,0	425	149	0.000878966039935	0.042562341991	0.916,0.981,0.884	1.0,1.0,1.0	-0.073
1338	ENSG00000121766	ZCCHC17	chr1	+	31296981	31297213	31296981	31297075	31319108	31319166	1338	23,23,20	20,11,10	28,22,41	5,6,3	287	149	0.000216338772132	0.0151380642881	0.374,0.521,0.509	0.744,0.656,0.876	-0.291
1348	ENSG00000143569	UBAP2L	chr1	+	154234590	154234792	154234590	154234759	154236565	154236611	1348	16,28,16	0,0,1	19,19,23	5,2,6	182	149	0.00000545507522764	0.00089989859444	1.0,1.0,0.929	0.757,0.886,0.758	0.176
1455	ENSG00000171365	CLCN5	chrX	+	49923406	49923741	49923406	49923482	49925170	49925314	1455	0,11,11	2,3,1	4,10,1	0,1,0	408	149	0.0000260413027129	0.003017318941	0.0,0.572,0.801	1.0,0.785,1.0	-0.471
1482	ENSG00000068796	KIF2A	chr5	+	62352587	62352710	62352587	62352653	62353274	62353375	1482	320,413,432	334,385,381	279,345,306	405,373,480	206	149	0.000963705396826	0.0455341948922	0.409,0.437,0.451	0.333,0.401,0.316	0.082
